Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,3.937795764991063e-08,1.589692959880281e-07,0.011150378262737,0.05985172929366048,1.1999998644157943,1.1999732599955444,0.37683120175437607,0.22921736864349565,0.0003814865146772229,0.35120151002305683,0.3830386472908818,9.64561743754994e-09,3.1955411034165684e-09,3.075306287589591e-09,2.169709060532496e-08
2,6.297990768757397e-08,2.1153177743410047e-07,0.008625919131414821,0.057225012309146124,1.1999998165754495,1.1998933674867287,0.3701203447742242,0.2161521519288751,0.0004105694306489405,0.3418872990470589,0.3874724879025477,1.7349585731193797e-08,4.796075983195316e-09,4.825492335962271e-09,2.9851792534616155e-08
3,1.7640844510072704e-09,7.56073809682136e-09,0.010595967771757985,0.05700413831958628,1.199999992740998,1.199997186081834,0.3677714503890658,0.22526674896705565,1.2466693365177487e-05,0.33130381094251204,0.3990440063853144,1.5272561472794226e-09,2.8871063599656888e-11,2.2444819556487388e-11,4.5270201237372614e-10
4,-2.4424768031517716e-08,-8.910909963184167e-08,0.011712448608447265,0.05741590462541225,1.2000000908680053,1.20004301863357,0.3720501897296218,0.23053760298363976,-0.001047935699673366,0.32889030121443324,0.40292677545531375,-9.147163897631216e-09,-2.0577899086849077e-09,-1.9846570617047785e-09,-1.809820154746847e-08
5,-1.3666748728944382e-08,-6.370247631886249e-08,0.011752774621159973,0.05801100979145696,1.2000000782115874,1.2000258153029495,0.3792899939127193,0.2331074248577046,-0.0011383098227492048,0.3321776951205756,0.40087304258586365,-9.103269497756132e-09,-1.2776820026171206e-09,-1.1119581605428948e-09,-1.748029976226186e-08
6,6.4768326404800555e-09,1.1291001729049498e-08,0.01177573092832256,0.05867112769865372,1.1999999893517466,1.1999996880780588,0.3843412340517121,0.24091049238169604,0.0018405327319093415,0.33571983535687583,0.3987797239395786,1.4533936249916552e-09,3.3990500893320695e-10,4.080656571596837e-10,6.066854928207778e-10
7,2.3889901413799595e-08,9.984199700549604e-08,0.01233190923148063,0.058895972469506674,1.1999998483657035,1.199988098030797,0.38533661899778937,0.25357801037924765,0.006863566235906502,0.3363948205180826,0.3998199470920691,2.680957175703102e-08,1.1266265860818683e-09,8.752656457247688e-10,2.8939326416982164e-08
8,5.967841708331795e-08,2.2997961942880158e-07,0.012641495900133509,0.0576984039284473,1.1999996963826596,1.199929658691383,0.3894395544868203,0.2504342528328164,0.005273645591236657,0.33875460073652536,0.3987534574958581,6.771752849705674e-08,9.876119551428032e-10,6.68724988051985e-10,4.240326276724734e-08
9,5.906628274145508e-08,2.165273834857436e-07,0.013837174698946929,0.05713741988010307,1.19999972300025,1.1998753323870512,0.39227206642145834,0.24827404144957962,0.0026433583231691734,0.34296280238458143,0.39697775806999924,6.602900829887198e-08,5.917684716492406e-10,4.0282790692477755e-10,3.192253875024279e-08
10,3.035182664850752e-08,1.0238476338348719e-07,0.0161988676086199,0.057369638048939825,1.199999867754381,1.199881738451789,0.3916411214200761,0.2534062651997672,0.0009900213688437077,0.3466803140645636,0.396109952573745,3.2579271819159674e-08,2.739425622329663e-10,2.550025874336119e-10,1.1611271168691384e-08
11,4.741709873217322e-09,7.915880203424638e-09,0.019617714079990488,0.05781583495547201,1.1999999928997531,1.1999974714405033,0.3869245847966417,0.26629198961085426,0.00022594972460250484,0.3473481329506852,0.39720160192016574,8.253714455856221e-10,2.5304221273647e-10,3.059573433055224e-10,3.301221592600029e-10
12,5.359785433105554e-09,1.933872500924653e-08,0.02353926660691185,0.05795926639631045,1.1999999996976385,1.200173278027611,0.37811350901885094,0.28443548544170644,0.00019657182776648425,0.3436312307042138,0.4003559990716124,-4.691580156641578e-09,7.042464913776006e-10,6.599095700930388e-10,1.070374498405248e-08
13,2.2998674140809515e-08,8.628676879383683e-08,0.02562672985529756,0.057533105272451535,1.1999999454356036,1.1999685133655718,0.3676516951693101,0.2935138443767517,0.00047976987957126885,0.3390904769346355,0.4018833651875577,4.905770787857794e-09,1.6278187958756455e-09,1.5151129906506715e-09,3.041275740692053e-08
14,4.193590295907202e-08,1.374779010484795e-07,0.023976510045919337,0.056423498401521804,1.1999999091985378,1.1990723818571292,0.358547021419699,0.2821779724393631,0.0006675398673659407,0.33758517820437606,0.3984702952392364,1.2878836373145912e-08,2.859737276261439e-09,2.889949292627995e-09,4.386568755127701e-08
15,5.271985565594176e-08,1.5455220532886538e-07,0.0202001674469212,0.05487857116328319,1.1999999012343312,1.1980848764281273,0.3536109256830807,0.2628012120831317,0.0006758791590387156,0.3392724909394024,0.3921019512478107,1.5689020857843548e-08,3.753754762310562e-09,3.9892756955528566e-09,4.7326740477031414e-08
16,4.746663020079392e-08,1.323803137067871e-07,0.01678805083829023,0.05323694357803139,1.199999914581622,1.1978336871351851,0.3556057358078642,0.2536875148692028,0.0005017854676125926,0.3433840340315668,0.3860881369969245,1.3097726541711151e-08,3.5430677537347825e-09,3.81456830192267e-09,4.002404047821741e-08
17,2.438992946661773e-08,7.803775896514882e-08,0.015643225625079762,0.051851453569199284,1.199999937993819,1.198790082880648,0.36507230645293764,0.2668866104970682,0.0001948432204559678,0.3486325131677091,0.3833218435612075,6.1622350544720375e-09,1.9410474312846627e-09,1.951773721709583e-09,2.3821556762344026e-08
18,6.093875940858642e-09,4.741967673130168e-08,0.016319623712608096,0.05113181067276836,1.1999999430834098,1.1999996479497652,0.3736655995191062,0.2894313412196039,1.4983702318824554e-05,0.3516549812146209,0.38502881117923343,1.1233453457010826e-09,5.817636998659416e-10,3.2472059478466323e-10,1.1126638190821602e-08
19,1.2846117127497723e-08,8.467530872101582e-08,0.017780299856119546,0.05133806938593381,1.199999910428977,1.2004463656296889,0.37384429427545524,0.3052215288905811,0.0002103760833700327,0.34965101746152716,0.3912987267471456,3.187557911174052e-09,9.733509898355697e-10,7.370157655160682e-10,1.2468068602174616e-08
20,3.117798098220224e-08,1.3815071815929115e-07,0.018973933710297434,0.05207479243819704,1.1999998736144084,1.2002934998322765,0.37016783222227356,0.31064180121396673,0.0007717942180724196,0.34414595970743683,0.3993443146274224,8.240662111618733e-09,2.199503109200165e-09,2.1734968663613833e-09,2.0316992089482572e-08
21,3.918671557356108e-08,1.3224117364843508e-07,0.018845611154684857,0.052782669617136034,1.1999998794749185,1.1999991346255623,0.3702208454176508,0.3051979873562771,0.0016256631319623033,0.3377465853788047,0.4056590585491258,9.838269524000928e-09,2.7378037103787623e-09,2.9143092268005544e-09,2.2630142809463738e-08
22,2.3798076477630222e-08,3.910975716198223e-08,0.016776481336453763,0.05300637540593891,1.199999947715869,1.1999146602779633,0.3788329740663848,0.29083808612810513,0.002576421828741729,0.3329206200607913,0.4078199187359924,4.668570149470191e-09,1.6583614566922798e-09,1.870994995593629e-09,1.2134253181899997e-08
23,7.25184930033447e-09,2.19908041583772e-08,0.0138919464732916,0.05270652307023456,1.1999999895232143,1.1999646918594349,0.3898138909601071,0.27927877491635233,0.002940565224775662,0.3315795819733807,0.40773776139045903,1.9500676859111117e-09,4.013850550691792e-10,4.806835986210758e-10,6.360486788276961e-10
