Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,3.937795764991063e-08,1.589692959880281e-07,0.011150378262737,0.05985172929366048,1.1999998644157943,1.1999732599955444,0.37683120175437607,0.22921736864349565,0.0003814865146772229,0.35120151002305683,0.3830386472908818,9.64561743754994e-09,3.1955411034165684e-09,3.075306287589591e-09,2.169709060532496e-08
2,6.297990768757397e-08,2.1153177743410047e-07,0.008625919131414821,0.057225012309146124,1.1999998165754495,1.1998933674867287,0.3701203447742242,0.2161521519288751,0.0004105694306489405,0.3418872990470589,0.3874724879025477,1.7349585731193797e-08,4.796075983195316e-09,4.825492335962271e-09,2.9851792534616155e-08
3,1.7640844510072704e-09,7.56073809682136e-09,0.010595967771757985,0.05700413831958628,1.199999992740998,1.199997186081834,0.3677714503890658,0.22526674896705565,1.2466693365177487e-05,0.33130381094251204,0.3990440063853144,1.5272561472794226e-09,2.8871063599656888e-11,2.2444819556487388e-11,4.5270201237372614e-10
4,3.3350005141648653e-09,8.804159307564072e-09,0.01098922215727951,0.05755980144594209,1.1999999916112474,1.1999980200805755,0.37329471160994787,0.2304813301052691,0.0006218220395465655,0.3327758190806333,0.3989559122367358,1.5026353065168335e-09,1.325490453775069e-10,1.509850987575528e-10,5.0402983918941e-10
5,4.905916577322461e-09,1.0047580518306786e-08,0.011382476542801034,0.05811546457229791,1.199999990481497,1.1999988540793172,0.37881797283083,0.23569591124348258,0.0012311773857279535,0.33424782721875457,0.3988678180881572,1.4780144657542443e-09,2.362270271553569e-10,2.7952537795861825e-10,5.553576660050939e-10
6,6.4768326404800555e-09,1.1291001729049498e-08,0.01177573092832256,0.05867112769865372,1.1999999893517466,1.1999996880780588,0.3843412340517121,0.24091049238169604,0.0018405327319093415,0.33571983535687583,0.3987797239395786,1.4533936249916552e-09,3.3990500893320695e-10,4.080656571596837e-10,6.066854928207778e-10
7,2.3889901413799595e-08,9.984199700549604e-08,0.01233190923148063,0.058895972469506674,1.1999998483657035,1.199988098030797,0.38533661899778937,0.25357801037924765,0.006863566235906502,0.3363948205180826,0.3998199470920691,2.680957175703102e-08,1.1266265860818683e-09,8.752656457247688e-10,2.8939326416982164e-08
8,5.967841708331795e-08,2.2997961942880158e-07,0.012641495900133509,0.0576984039284473,1.1999996963826596,1.199929658691383,0.3894395544868203,0.2504342528328164,0.005273645591236657,0.33875460073652536,0.3987534574958581,6.771752849705674e-08,9.876119551428032e-10,6.68724988051985e-10,4.240326276724734e-08
9,4.1366181346617737e-08,1.559583730203426e-07,0.014966901960085835,0.057737547604122204,1.1999997952216908,1.1999522629410897,0.38860123125676077,0.25572016509216233,0.003591080302358607,0.34161911147457863,0.39823617230396063,4.542014281323303e-08,7.427553743406922e-10,5.478024398031641e-10,2.8378882564584895e-08
10,2.305394560991753e-08,8.193712661188361e-08,0.01729230802003816,0.05777669127979711,1.199999894060722,1.1999748671907966,0.38776290802670127,0.2610060773515083,0.001908515013480556,0.3444836222126319,0.3977188871120632,2.3122757129409323e-08,4.97898793538581e-10,4.2687989155434325e-10,1.435450236192245e-08
11,4.741709873217322e-09,7.915880203424638e-09,0.019617714079990488,0.05781583495547201,1.1999999928997531,1.1999974714405033,0.3869245847966417,0.26629198961085426,0.00022594972460250484,0.3473481329506852,0.39720160192016574,8.253714455856221e-10,2.5304221273647e-10,3.059573433055224e-10,3.301221592600029e-10
12,1.3870192007013417e-08,4.710132449863074e-08,0.022622221967644025,0.057674470113961776,1.1999999691676784,1.1999829924030374,0.37728813998297595,0.279902916993803,0.0003528598020868869,0.34321930494266034,0.3995424835538617,2.8655711167217084e-09,9.404305043060578e-10,9.10535166978097e-10,1.5371439783090268e-08
13,2.2998674140809515e-08,8.628676879383683e-08,0.02562672985529756,0.057533105272451535,1.1999999454356036,1.1999685133655718,0.3676516951693101,0.2935138443767517,0.00047976987957126885,0.3390904769346355,0.4018833651875577,4.905770787857794e-09,1.6278187958756455e-09,1.5151129906506715e-09,3.041275740692053e-08
14,3.115465949413765e-08,1.0165128376482026e-07,0.022680503516295115,0.056101051374311484,1.1999999351509432,1.1992569046221095,0.3636363753821615,0.28023840120756877,0.00048710840891837674,0.3405216626336126,0.3966182891240133,7.636422705808913e-09,2.2662351151620245e-09,2.281598094408004e-09,3.361651843068616e-08
15,3.931064484746579e-08,1.1701579873580368e-07,0.019734277177292675,0.05466899747617144,1.1999999248662825,1.1985452958786473,0.35962105559501284,0.26696295803838577,0.0004944469382654847,0.3419528483325897,0.3913532130604689,1.0367074623760032e-08,2.9046514344484035e-09,3.048083198165337e-09,3.6820279454451786e-08
16,4.746663020079392e-08,1.323803137067871e-07,0.01678805083829023,0.05323694357803139,1.199999914581622,1.1978336871351851,0.3556057358078642,0.2536875148692028,0.0005017854676125926,0.3433840340315668,0.3860881369969245,1.3097726541711151e-08,3.5430677537347825e-09,3.81456830192267e-09,4.002404047821741e-08
17,2.6780253070826278e-08,8.989999521904439e-08,0.016553837275449165,0.052184377125399875,1.1999999288325158,1.1989166675424752,0.3646356676634852,0.27155942804440336,0.00025838458496570853,0.34751950762309386,0.385558474088079,7.110535943706117e-09,2.062415726800362e-09,2.0696444483536666e-09,2.5575339334519507e-08
18,6.093875940858642e-09,4.741967673130168e-08,0.016319623712608096,0.05113181067276836,1.1999999430834098,1.1999996479497652,0.3736655995191062,0.2894313412196039,1.4983702318824554e-05,0.3516549812146209,0.38502881117923343,1.1233453457010826e-09,5.817636998659416e-10,3.2472059478466323e-10,1.1126638190821602e-08
19,1.7124822485092787e-08,7.569350903701281e-08,0.017161619526633684,0.05168209698755759,1.1999999218805795,1.1999994768416975,0.3725173481519544,0.2946868899318283,0.0005518768455333175,0.34701884926934884,0.3919055603025309,4.028320071801032e-09,1.3004437033702151e-09,1.187916805456627e-09,1.496113973036898e-08
20,2.8155769029326934e-08,1.0396734134272394e-07,0.01800361534065927,0.05223238330234681,1.1999999006777489,1.19999930573363,0.3713690967848026,0.29994243864405273,0.0010887699887478105,0.34238271732407677,0.3987823094258284,6.93329479790098e-09,2.0191237068744887e-09,2.0511130161285906e-09,1.879564126991636e-08
21,3.918671557356108e-08,1.3224117364843508e-07,0.018845611154684857,0.052782669617136034,1.1999998794749185,1.1999991346255623,0.3702208454176508,0.3051979873562771,0.0016256631319623033,0.3377465853788047,0.4056590585491258,9.838269524000928e-09,2.7378037103787623e-09,2.9143092268005544e-09,2.2630142809463738e-08
22,2.3219282436947774e-08,7.711598890340614e-08,0.016368778813988228,0.05274459634368529,1.1999999344990664,1.1999819132424987,0.380017368188879,0.29223838113631473,0.002283114178368983,0.3346630836760927,0.40669840996979245,5.89416860495602e-09,1.5695943827239707e-09,1.6974964127108151e-09,1.1633095744145717e-08
23,7.25184930033447e-09,2.19908041583772e-08,0.0138919464732916,0.05270652307023456,1.1999999895232143,1.1999646918594349,0.3898138909601071,0.27927877491635233,0.002940565224775662,0.3315795819733807,0.40773776139045903,1.9500676859111117e-09,4.013850550691792e-10,4.806835986210758e-10,6.360486788276961e-10
