Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.106350318559726e-09,4.1443681367522745e-09,7.1455028645766065e-06,0.050587937844598925,1.1999999825860066,1.1510643537298468,0.4798150902495,0.10971395944034704,6.8971160267244415e-09,0.2801834941108132,0.21580426633953248,4.750910247476568e-09,1.0883436616413255e-10,1.0930250394023728e-10,4.1893965228283785e-11
2,1.9192093461774485e-09,3.864475087524163e-09,5.120579058291535e-06,0.04839726213861168,1.199999985104954,1.1483520625583383,0.4789983785773448,0.11695090832152935,5.3382379834343005e-09,0.27498585727926744,0.21432247880164748,4.729684806353759e-09,1.1872650106205041e-10,1.10168270881911e-10,4.38310178059952e-11
3,2.3048311313539723e-09,4.704515458756256e-09,7.97273618029596e-06,0.048064148388926406,1.1999999813490674,1.1467048941510416,0.4596476015542718,0.10676891085194408,6.76185391172442e-09,0.28549460889300826,0.2107953222355986,5.061438929045755e-09,9.829278554091212e-11,1.065655979487869e-10,6.169109373261253e-11
4,4.7003841260386315e-09,1.3210784767987956e-08,0.0036418386816462244,0.05485863490903299,1.1999999433774102,1.1534552221948253,0.4442939554201551,0.10655765818072555,1.0662071346792323e-08,0.2932715600098589,0.2131239477984983,4.73937904288104e-09,2.2732827369223546e-10,2.078975207001675e-10,1.0953215580465056e-10
5,5.454079551021026e-09,1.6533843490508065e-08,0.009772149330553264,0.061003977516395635,1.1999999261423349,1.1600136048638778,0.4291645889757415,0.11138433583385796,1.190432363011959e-08,0.2933470408988341,0.22048609892983734,3.877935732542304e-09,2.6975637421424815e-10,2.298388017983186e-10,1.1397206166475057e-10
6,2.776374891137777e-09,8.122744014381677e-09,0.015976840639844805,0.05933435600733139,1.1999999613143226,1.158294463630653,0.4097757306927712,0.11250909568225162,1.0840292126183906e-08,0.285708900586226,0.22925428096627984,3.89093179028401e-09,5.472525122521754e-11,9.091725030998579e-11,9.093082364973292e-11
7,9.277916182620338e-09,3.231473333380596e-08,0.018157079568013684,0.05878535256844753,1.1999998812612098,1.1586533519716098,0.40439305483707705,0.11447942694459742,3.988157250815944e-08,0.2816640626735223,0.23049821644797966,1.1567926888865298e-08,1.5337849133690064e-10,5.176541802213501e-10,5.90279332721187e-10
8,2.1179096128357488e-08,7.551684423881164e-08,0.016488434873203024,0.06043582670817582,1.1999997313728967,1.1620293531186427,0.41391277457285275,0.11796377732861682,8.255806923908043e-08,0.28211906563071565,0.2247802568099547,2.2341060323394526e-08,4.933078936911761e-10,1.2593659137563535e-09,1.35218773136912e-09
9,3.191624909450471e-09,1.1834026475385999e-08,0.016123152145778703,0.06182335329049954,1.19999995162095,1.163701412986661,0.4254464946194289,0.12242534386194776,7.637613423978142e-09,0.2812062166762752,0.22440478812215967,2.01360819176269e-09,6.892066652755946e-11,8.542907027246793e-11,2.678059835719877e-10
10,3.040214816977498e-09,1.1676134790714858e-08,0.017902868181417085,0.0626162627077795,1.1999999573587783,1.163433185609042,0.4352663374239412,0.127073634204763,8.373634120712073e-09,0.27863152247131706,0.22969572433161256,2.346310675812073e-09,6.648187244676292e-11,7.388593351432845e-11,1.3194472473564478e-10
