Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.7693314002397145e-08,8.871820690540217e-08,2.562255831883685e-05,0.037164503676008695,1.199999864820033,1.1998687107188648,0.04244548290862157,4.819760278640713e-08,6.241846833208205e-08,0.4347249118239543,0.26099100110648793,3.005267588335523e-08,-8.622290706893243e-10,-7.522339630195466e-09,-1.953508303624629e-08
2,1.6680586403471832e-08,7.562919518842902e-08,3.4861423390242445e-05,0.037758898052956416,1.1999998759531931,1.1999657461349624,0.04845216771782373,4.377809590904985e-08,5.509236903756076e-08,0.4345915911954452,0.2590618235476788,2.111239328266294e-08,1.9893423280447786e-09,-4.2480392965092e-09,-1.4687321910612384e-08
3,8.128658246374e-08,1.9851596068748856e-07,0.00013169995306921826,0.03947557730270578,1.1999998538587522,1.1999932582253474,0.045989258981554974,1.9654607644081765e-07,1.354561546716115e-07,0.4370113806084282,0.25663279933589783,4.480954244934729e-08,3.442288156310004e-08,2.4189518293124604e-08,2.3925969094932777e-09
4,3.573587484414635e-08,1.1842237429521096e-07,7.015466023954354e-05,0.03986195391954588,1.1999998619737795,1.1999843619681727,0.0397026685983505,8.168214048547207e-08,8.09629215657541e-08,0.4367305543910765,0.2563141954568688,2.8993503361744857e-08,1.2979423403081454e-08,4.910094943508603e-09,-8.555577057119316e-09
5,6.402039265116063e-08,1.8143732233179735e-07,6.470333579209492e-05,0.038036887824354,1.1999998532539056,1.1999798075576156,0.04545167897725963,1.6190265956090514e-07,1.1189080172248343e-07,0.4360624596213463,0.25598114341007544,3.708808540802529e-08,2.7763287100932046e-08,1.7851423237587886e-08,-2.0167589942973226e-09
6,9.230491045817491e-08,2.444522703683837e-07,5.9252011344646286e-05,0.03621182172916212,1.1999998445340316,1.1999752531470584,0.05120068935616877,2.421231786363382e-07,1.4281868187921277e-07,0.43539436485161614,0.2556480913632821,4.518266745430572e-08,4.254715079878264e-08,3.079275153166717e-08,4.5220590685246715e-09
7,4.619863464918768e-08,1.4889142526892093e-07,1.7138444065204944e-05,0.03512122864913038,1.1999999601121245,1.199988636722458,0.06723101610328364,1.025337487925986e-07,6.133752168978553e-08,0.4375864633202463,0.2524942041189138,8.926540517720801e-09,6.593794184928496e-08,1.7666597990695912e-08,-1.3555109208486687e-09
8,4.068070277522512e-08,1.5369213690848803e-07,2.0614621307887133e-05,0.036127155083828896,1.1999999824976901,1.1999828144322922,0.06453658238305492,9.435659905509365e-08,5.995047152674011e-08,0.4380381143662424,0.2518435644190971,3.998538651045386e-09,6.588497393169566e-08,1.1853966619366901e-08,-1.3357317205860365e-09
9,3.5162770901262546e-08,1.5849284854805514e-07,2.409079855056932e-05,0.03713308151852742,1.2000000048832558,1.1999769921421266,0.0618421486628262,8.617944931758871e-08,5.856342136369468e-08,0.4384897654122385,0.2511929247192804,-9.294632156300288e-10,6.583200601410634e-08,6.0413352480378915e-09,-1.3159525203234045e-09
10,6.463135817204436e-08,2.1787534831478018e-07,3.0679905913116206e-05,0.03720663095516301,1.1999999308970877,1.1999724807729089,0.05434897850644593,1.6133341522094492e-07,1.0964265266980517e-07,0.43579554519216923,0.2514628384953676,2.02042947890996e-08,6.921283257755616e-08,2.2886822225545966e-08,4.460631646859134e-09
