Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.293852587404878e-05,0.020080286880515524,0.03457874501208477,0.02615723758319756,1.1574201421204096,1.1668311218937584,5.642411187485448e-07,7.880430618069158e-09,0.2279791174543573,6.14901461997879e-08,-4.464892289209498e-09,-2.8414478180164463e-09,0.2349006200726948,0.4286997624633311,-7.124614416577927e-09
2,0.0122691834209132,0.03350492857361338,0.03382537280345558,0.02508733421471997,1.1642098895188495,1.1692574929484725,0.017749085238350715,6.772274692526125e-08,0.22759876678394994,1.236167013537236e-07,1.5993862046362166e-08,2.7654938159347004e-07,0.3149246987164241,0.38675509912419387,1.0364692577715207e-09
3,0.020513977013031016,0.04055539284411477,0.035980052466534934,0.0294790431045408,1.1687847566368956,1.1735211829796341,0.029082228098608606,7.229092700061706e-08,0.2302117809679556,1.7677440414295222e-07,1.9213845021639646e-08,0.007949380412920159,0.3256885830627586,0.38463517989742296,1.1802880424383976e-09
4,0.02243930741313304,0.04544880822379182,0.03665943854709459,0.03284948905603266,1.168723356351176,1.1771033588081392,0.031278688314582366,5.755944460802331e-08,0.2356979195901841,1.592375872900472e-07,2.41258140588011e-08,0.018384312475771932,0.3244912582128625,0.3837374341949013,1.0897938172032844e-09
5,1.3450968375284621e-05,0.0009268482493622043,0.0332003308536189,0.01389626192487592,1.1716363179608764,1.1472255937931723,0.011560405516284223,2.546539136513788e-08,0.2319982132988845,4.0538989575250796e-08,1.3288945211922409e-08,1.0316732597701823e-05,0.2618417144237752,0.4039963287030574,7.757233004693086e-10
6,5.008444635410621e-06,0.001891917245791736,0.03175551973975491,0.019697218867638373,1.1653549246415758,1.1564459005473713,0.00034783159342119407,8.282897204880612e-08,0.2415488772155732,7.352751336941446e-08,3.632496793011788e-08,4.225420769941825e-05,0.25628579231553794,0.4011210813446419,2.586708414906252e-09
7,1.92997043959262e-05,0.015478303031430737,0.03396538273892977,0.029111393874341862,1.1600509394194134,1.1693081285222011,3.321525017355644e-05,1.7047535417979792e-08,0.2515306270996481,2.398247753660399e-07,5.501407787462925e-08,0.00046323258137877287,0.2717816739362353,0.3873420129043516,2.411139032292526e-10
8,0.009126698731384345,0.035885244644516534,0.02515848117310892,0.03182014307489823,1.1658771866639588,1.177458511640279,0.028286874010485137,3.4152972321487907e-08,0.24323766061805024,8.364575549296544e-08,3.050433497079745e-08,0.02236477195420816,0.3638172006884725,0.33807043414961085,6.583827305850361e-10
9,7.56235234561163e-06,0.00133547631130475,0.024981465284221883,0.01678350739728752,1.1725214672176971,1.154754390017467,0.012344197798645942,6.550931577510762e-08,0.2365278514177331,2.7265271261307703e-07,9.854535398346106e-08,0.007541455961291756,0.29671211635466144,0.3723611012142589,2.192204471896669e-09
10,6.506681572324051e-08,4.348862929079527e-07,0.03225772166236334,0.016500554582153267,1.1673763415062528,1.1601780313804322,5.443621236895536e-06,1.0284829501270183e-08,0.2408460115982833,3.7072718226046214e-09,4.0281244800181236e-09,7.338908206473291e-05,0.2861718416010546,0.3712362858757871,2.5324261356911466e-10
11,2.80869333606542e-07,6.905648343450212e-06,0.03214853379683439,0.018779577331982624,1.1634827122061748,1.1657444480663992,5.036750396275657e-05,9.951151060876722e-09,0.2424566459027876,1.2363458307805473e-08,1.0085734213115569e-08,3.517960378421506e-07,0.28934101747093965,0.3655342182737388,4.3753649415290943e-10
12,1.8912762321537934e-07,2.0684881807579391e-07,0.031806864282892325,0.008801843187134941,1.1740173169505996,1.1552581715572348,0.004354674777065164,1.4930519037213475e-08,0.2313981184386773,1.985157426467672e-08,1.7568780905729094e-08,5.174443269067403e-08,0.2833844369937023,0.3686147422196838,5.779248871645873e-10
13,1.3861217106604335e-07,1.117080175211657e-07,0.030760870923185562,0.012373303046839463,1.1756236255767127,1.160491398497552,0.003369326986124819,1.4791816193272934e-08,0.22790587539332896,1.3128060997826035e-08,1.2422400519427123e-08,6.804114455792713e-08,0.2803061131680377,0.368945367045173,5.518573596353416e-10
14,3.57869873183943e-07,3.4749762378597082e-06,0.028253445473933724,0.019530384635865795,1.1634784928386441,1.1729481282813057,8.363576234566196e-06,3.1016094999418127e-08,0.2332172304774549,9.941935941397552e-08,2.3216977568012133e-08,5.443541194156225e-05,0.2827022884768606,0.36785782496655,2.637836760346466e-09
