Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.36203220302838e-05,0.006448398340106667,0.025679219980662315,0.022284044508876232,1.1217483834248132,1.0751693033827372,1.5537727752860475e-08,1.3285161202953539e-08,0.17093831065224666,2.1685964520875187e-09,8.280418996332226e-10,2.936446138805777e-09,0.2903622434755925,0.3367553539515942,1.9935737996849304e-10
2,0.00023350466506572807,0.02326732836114272,0.02356954146361784,0.031767342477025035,1.1111097616435692,1.0926889491496543,2.2746333421731505e-08,5.03880174692066e-08,0.17968101979045525,3.0919720330750528e-09,1.88208411392541e-09,3.913338967209929e-09,0.3429061715980448,0.2919558681708863,4.3893591726721917e-10
3,0.00016063452628654456,0.012365024648554306,0.02490503274936064,0.02385365904536265,1.1175208829560357,1.0799558289549165,2.465439568381613e-08,2.5712908640730632e-08,0.1744315349449433,2.533714725001899e-09,1.3228261258084713e-09,3.441145218730455e-09,0.3205587780764484,0.3121032434287486,3.5439360750182563e-10
4,0.0011163435457768039,0.009840908379414502,0.029683392897128093,0.022566824413981463,1.1186011386092634,1.0669316843922396,6.129673327259684e-08,4.099667177075337e-08,0.17528899967257444,6.151431192684021e-09,3.441327398278466e-09,7.549555686631835e-09,0.3130490343004177,0.31779828886412403,5.25968791249781e-10
5,0.0005528422832194907,0.021840012143931636,0.026689564548158486,0.03047284553595412,1.1096200591858891,1.0879582371376608,4.5077258737647546e-08,8.614354662455865e-08,0.18092326504960504,7.710775363116968e-09,3.714935728241744e-09,8.779874038452496e-09,0.3130462550289369,0.3207976811829216,5.680578109233722e-10
6,0.02509049075240132,0.03700316218955756,0.02562689244183546,0.027875611520783626,1.1293649196261086,1.0895356852233329,9.372093418712559e-06,3.422345888713056e-07,0.17937326655755248,2.9475801436090172e-09,2.1890983463603847e-09,4.239256509679117e-09,0.4039219508163535,0.2736897232064848,6.717256136858198e-10
7,0.03389495397906347,0.038792919824166376,0.025312134530637645,0.02600345027298297,1.1371009408989068,1.0866041138383449,0.002037696562007279,1.0494635261431918e-07,0.1782893665452603,6.531809483065125e-09,3.3699767975513607e-09,7.457228594573499e-09,0.4316821324944857,0.2563335523344544,3.825474096529141e-10
8,0.0319528509689591,0.0378412466351681,0.024568859373871054,0.02617704441259139,1.136039804312836,1.087527935087414,0.004473690110551434,8.872608788935883e-08,0.17947464592530551,4.92442968470822e-09,2.0831468128272684e-09,6.9054934794601796e-09,0.42343036048539584,0.26157530394429995,1.125117199781773e-09
9,0.0010807329223367866,0.014168880094348175,0.023418352815538786,0.022617819869980453,1.1205010030854188,1.0782942292751323,1.3910498521767188e-07,6.267237756723045e-08,0.17654013827883616,7.6774192804067e-09,4.012250750440573e-09,9.45608611497734e-09,0.3223190508680195,0.31501631800223545,6.713942543012006e-10
10,2.8465963969918987e-05,0.009531236895111038,0.025870642167973367,0.022903526852333104,1.1193743909232832,1.0766781170437147,4.419550605006508e-08,2.2178108445985263e-08,0.17456447884094972,1.9825702802421924e-09,1.3170222928438895e-09,2.4640301928053248e-09,0.33259999596108275,0.2949348137587712,7.268118317996919e-10
11,0.0005413740844066433,0.013332864993507314,0.028136522481678274,0.025297937391679008,1.1177090584104121,1.0723432060693594,1.100442651064146e-07,4.73870645426994e-08,0.17815776977629752,6.6922952762450994e-09,3.768578583266177e-09,7.499948899907835e-09,0.3485547549615376,0.2821132719797589,1.0342341371130163e-09
12,0.001306683964246366,0.03141395666203566,0.019960814399681368,0.036551281927114036,1.1085524962315427,1.1061146068414751,7.199712788630578e-08,3.7094548357851296e-07,0.18439904184431205,9.715218572835691e-09,5.0927579638924656e-09,9.788760808971296e-09,0.3612885347958355,0.280597889768093,9.994016058578515e-10
13,0.0010530225814202698,0.03542657639708285,0.017696382493606014,0.039246602238734864,1.1054547664301628,1.1156284544890125,4.5487205389075735e-08,1.5540947671971618e-06,0.1854914163166436,8.334791434450366e-09,3.784883794513812e-09,9.080087487812623e-09,0.33677312920337393,0.3045953081238605,9.883517996794393e-10
14,0.0009704073619456896,0.03390810027390581,0.015975640769115413,0.03895324880470689,1.1055038888026691,1.1151968788477895,5.2321648036262424e-08,1.3656830917905349e-06,0.1851821034016025,7.619840401531601e-09,4.062836911136274e-09,8.11089894074697e-09,0.3558096992507686,0.2875806704084725,1.114826216104364e-09
15,0.0008749816517093815,0.035129652661621484,0.015404319805214263,0.0391902341116841,1.1063902960808107,1.113508963297164,4.993224099232492e-08,7.822094146731673e-07,0.1854495559068748,8.33998867201485e-09,3.876783759183021e-09,1.016276708270318e-08,0.33972697156442383,0.3013738209325282,8.793264058844507e-10
16,0.0007520770749060214,0.03518564113425588,0.017943140550969978,0.039287566254980304,1.1065229186858108,1.1130402569290032,4.994957128679854e-08,8.059116719948754e-07,0.1857911310182898,7.145541212523657e-09,3.766295912027161e-09,7.861707811794868e-09,0.3575972240112437,0.2838118113944213,9.710262060882248e-10
17,0.0006091288231260103,0.03479432936506033,0.018908204503450345,0.03853869724721267,1.1060413475400717,1.1121202441364413,4.698589346137051e-08,5.090872504184586e-07,0.18679840684913526,5.749661353692442e-09,3.3506982138603875e-09,6.934535830476251e-09,0.361932657758372,0.2791709779399471,7.658181113561442e-10
18,0.0006794741432383908,0.03456573534355507,0.017458880945694553,0.03808823320141981,1.1064998576472171,1.1097912632154578,4.615674142032546e-08,1.7462489705013558e-07,0.1862902993432269,5.805560609806647e-09,3.362848696920749e-09,6.183323597732907e-09,0.36057423313570064,0.2798136662565903,5.776555776707048e-10
