Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.7128835225041597e-07,1.675200240804999e-07,0.030855943530614813,0.06730276336458246,1.1467335245967851,1.1273668846929794,0.1736564188821091,0.2594944329561633,0.27827848844920244,1.445116198596128e-07,0.09608888524054272,3.5345610539434373e-09,0.15707933962826287,7.056661586614318e-09,9.503514722226693e-09
2,1.6559748285660278e-07,8.33551590164169e-08,0.016377151007194904,0.06946888092434568,1.1324126181878054,1.12821692381074,0.18087451859933867,0.2789645757964139,0.2660485061874687,8.141111348586959e-08,0.0965488945450796,1.1868036720305132e-09,0.1370218762766088,1.2001217041713846e-07,6.18277493167393e-10
3,6.384106546081669e-06,2.424726115353655e-06,0.02285108235496987,0.0677992744417263,1.1363625523394476,1.1232996430599418,0.17458492625947686,0.2637090190090576,0.2732653338557415,2.3566717329661687e-06,0.08823454483342925,2.8604580562432655e-08,0.1375361732855824,1.276926101104619e-06,1.3411179265296303e-08
4,1.2602615609306735e-05,4.7660970716908935e-06,0.02932501370274484,0.06612966795910694,1.1403124864910898,1.1183823623091433,0.16829533391961501,0.24845346222170125,0.28048216152401423,4.631932352446468e-06,0.07992019512177889,5.6022357452834794e-08,0.138050470294556,2.4338400317920994e-06,2.6204081037425215e-08
5,1.88211246725318e-05,7.1074680280281314e-06,0.03579894505051981,0.06446006147648756,1.144262420642732,1.1134650815583451,0.1620057415797532,0.2331979054343449,0.287698989192287,6.907192971926767e-06,0.07160584541012854,8.344013434323694e-08,0.1385647673035296,3.59075396247958e-06,3.899698280955413e-08
6,6.367449389217702e-08,4.0389126640713435e-08,0.05146710766867416,0.06793730281113489,1.1434357572222182,1.1177537804742623,0.08819667346792795,0.16767557410101006,0.31989822479775226,6.818208252217328e-09,0.052570956834358334,2.528490500381463e-09,0.041755902440677686,0.02996370939524305,7.009255988438114e-09
7,2.5993331938879224e-08,1.4090467926500613e-08,0.050693966344950436,0.06856665390196412,1.147260707978013,1.1221652756727656,0.08152730067355242,0.14926202870874314,0.32293804624877204,3.76820771527595e-09,0.045254075515555436,1.5143965563622334e-09,0.015797710884161167,0.037085530873730496,2.7333295388315054e-09
8,2.1915740422738347e-07,1.488988028810945e-07,0.049718466975056295,0.06812772423386718,1.1450928319337268,1.1219971198844874,0.08112561446494754,0.1528742797980176,0.3210060343323655,2.2556710875156923e-07,0.04819962955610254,8.666365243733433e-09,0.03046605359383683,0.02781427695058415,1.4038990630203647e-06
9,4.1232147651588773e-07,2.837071378356884e-07,0.048742967605162155,0.06768879456577023,1.1429249558894408,1.121828964096209,0.08072392825634266,0.15648653088729203,0.31907402241595906,4.473660097878625e-07,0.05114518359664964,1.5818333931104633e-08,0.04513439630351249,0.0185430230274378,2.805064796501898e-06
10,6.05485548804392e-07,4.185154727902823e-07,0.04776746823526802,0.06724986489767329,1.1407570798451547,1.1216608083079307,0.08032224204773777,0.1600987819765665,0.3171420104995526,6.691649108241557e-07,0.05409073763719675,2.2970302618475834e-08,0.05980273901318815,0.009271769104291453,4.206230529983431e-06
11,7.986496210928963e-07,5.533238077448761e-07,0.04679196886537388,0.06681093522957635,1.1385892038008685,1.1214926525196525,0.07992055583913289,0.16371103306584095,0.3152099985831461,8.90963811860449e-07,0.05703629167774385,3.0122271305847034e-08,0.07447108172286382,5.15181145102121e-07,5.607396263464965e-06
12,8.818267071193504e-09,1.784292529849305e-08,0.03775817690535715,0.07218422455543973,1.1326219615735629,1.132272919028381,0.07370172694091975,0.18097686883869016,0.31464646265936125,1.4200829974287057e-08,0.05555438788086952,4.812593550128942e-10,0.08088729029903946,4.92707773449682e-09,5.739560510601066e-08
13,2.3428759259794093e-07,3.3348606690134743e-07,0.025236953365261227,0.06808252951885453,1.1345757413069677,1.127404417661509,0.14211974255056553,0.2475135368914189,0.28048971139881484,6.378404449274451e-08,0.07061347081678092,1.7256167923536356e-09,0.1378562778581642,8.76826947720608e-09,1.112054948832805e-08
14,3.492229775932789e-07,3.720008021216926e-07,0.028576334575915012,0.06732136147290763,1.1358422819113825,1.1254878720932329,0.14541604857280474,0.24257926381083625,0.2829009186013051,6.686883547537085e-08,0.06712734623560147,1.7332103870653958e-09,0.13983146068451136,8.132521215410124e-09,1.1055156657912509e-08
15,4.6415836258861684e-07,4.105155373420378e-07,0.0319157157865688,0.0665601934269607,1.1371088225157973,1.1235713265249565,0.14871235459504395,0.23764499073025358,0.2853121258037954,6.99536264579972e-08,0.06364122165442204,1.7408039817771562e-09,0.14180664351085853,7.496772953614166e-09,1.0989763827496968e-08
16,5.790937475839549e-07,4.4903027256238294e-07,0.03525509699722258,0.0657990253810138,1.138375363120212,1.1216547809566804,0.15200866061728313,0.23271071764967094,0.2877233330062857,7.303841744062355e-08,0.0601550970732426,1.7483975764889163e-09,0.1437818263372057,6.86102469181821e-09,1.0924370997081427e-08
