Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,3.2542933553372683e-08,2.622284498287164e-08,0.02739457609627818,0.04224584177778127,1.1658565877714162,1.1035378142881478,2.567693505751682e-05,0.003394083222714393,0.17909960602096708,7.124720296108585e-09,3.378722170119527e-06,1.2119890161559424e-09,0.053226469507584966,1.7294083958383137e-08,1.4703035198650746e-09
2,1.4046315985469727e-07,1.1140588392524707e-07,0.02494835506468473,0.04190231948804291,1.1633872390497104,1.1031599119416555,0.0003295775163947082,0.000819057663026279,0.18011648642629124,1.2466811136922801e-08,0.0011091054157596214,5.473344848585753e-09,0.053255013545555806,8.471782901243761e-08,5.056030481791778e-09
3,2.5244598471675137e-08,2.429557193795288e-08,0.024666302838103223,0.04165158019977775,1.1615193801576755,1.102038447980663,2.246923631084446e-05,0.0032541980480621764,0.17639729713426736,4.257601645578814e-09,1.2535949385114396e-07,1.0299564083013517e-09,0.05459578591795672,1.1784958698733055e-08,1.1802938929342913e-09
4,-2.815966614627707e-08,-1.5833271139753426e-08,0.022832505667332168,0.04138489294765637,1.1618676318057313,1.0998902108879682,-0.00013181083347050068,0.0037841220623394804,0.17373539913820246,-3.646956583624289e-10,-0.0005382959775607226,-1.059706729181046e-09,0.0523252788161459,0.003994213731736083,-7.523360123492264e-10
5,-7.81738043660587e-09,-1.0903057506243669e-11,0.020825750808304615,0.04118401502465192,1.1640429468432254,1.0979565336295183,-9.236543325735296e-05,0.0023455460909921275,0.17214943061061005,-8.770384399218866e-11,-0.0003650308894301024,-2.8464441631970373e-10,0.045797316745155164,0.009523824962961705,-2.219500174337962e-10
6,2.994850144152638e-08,2.8156149037837053e-08,0.021298500768237208,0.041178325788313166,1.1671553611542358,1.097859885292047,9.677436343620434e-07,0.0005882111943081925,0.17021434901880492,2.444495122435217e-09,1.3889086591708711e-08,1.229276137433493e-09,0.03543505728843465,0.01251665967557047,1.0701958398722603e-09
7,4.101541422448427e-08,3.471051275575875e-08,0.02586920044552104,0.04152329569673777,1.1702286470326437,1.1006984404395745,3.776212131780577e-05,-0.00020484646847466575,0.1670526374468272,4.951960833176051e-09,0.0001466841450749977,1.8035988004951403e-09,0.022195951767844453,0.010176360052049915,1.754150348414598e-09
8,3.0062348230740027e-08,2.4291434731099788e-08,0.03202022430324486,0.04247875961021894,1.1719415224115415,1.1054731955452723,2.523559362248849e-05,-0.00021741034232044504,0.16397688144561845,6.611319114528894e-09,0.00010383575315978959,1.5495117527557635e-09,0.00917462645888439,0.00480988021709806,1.7851816036547668e-09
9,1.3968682674292772e-08,1.1187316355040784e-08,0.03619992919567188,0.04433064348959876,1.1708864416338232,1.1106608525595982,1.7171807007552402e-08,3.122675644286941e-08,0.16284719218284546,6.963337351302911e-09,1.007710985039988e-05,1.0256142519743691e-09,1.3754642032091878e-09,2.280965566628709e-09,1.4498625277082904e-09
10,6.280836396020341e-09,6.694440985657427e-09,0.03606430876236026,0.047235124323453746,1.1662349774094383,1.115092234074752,-9.208262712780042e-06,3.3231500784950896e-05,0.16502450232211488,5.865379593937924e-09,-2.5917353986737135e-05,6.944688320280342e-10,-0.002878467417187885,-0.00158670641787361,1.022279001937212e-09
11,7.213386744315451e-09,1.0140619848605724e-08,0.03409990378404818,0.050829383211298235,1.1594751759165507,1.119014645249905,-5.532347891978862e-06,1.2910173967489377e-05,0.1698730305107927,4.441196555396426e-09,-1.5209070057180498e-05,6.344911312661181e-10,-0.0017291796485697378,-0.0009485376280523022,7.265687446896489e-10
12,1.3647950694449529e-08,1.7861546136436764e-08,0.0340008918267688,0.05462085228038098,1.152674201700379,1.1230295118859686,9.148471566142346e-09,0.00020602854854983322,0.17625781689218467,4.1311356142715664e-09,1.2065642905124935e-06,8.280600641560499e-10,1.003139261858817e-09,2.130019964574966e-09,7.743824335602377e-10
13,1.927307034034068e-08,2.344670545482402e-08,0.03667856708141165,0.0576742640444269,1.1482536224793949,1.126354201931183,1.3649714010154664e-08,0.0007686090052232058,0.18150399473411646,4.444596900750288e-09,1.814528783310228e-06,1.058515445857287e-09,1.3576533600217485e-09,2.87058656716512e-09,9.877015262346451e-10
14,1.4670580282102488e-08,1.9330161836733804e-08,0.03511310913080976,0.05813510705056308,1.1486573905097572,1.1248507052493792,-3.3154551798943064e-07,0.001463483782470157,0.17979427214224492,1.2621081928566073e-09,1.8020150213455688e-05,8.285181685467554e-10,-0.00010004037953535872,6.955240933182202e-06,4.878613240799685e-10
15,2.589160836493034e-08,3.4517406827468155e-08,0.03230348975272431,0.05711238818238318,1.1511029485995672,1.1217203671568423,2.2495654231636317e-08,0.0021448083732568133,0.1758402597057527,4.912916586056031e-09,7.044875014044649e-07,1.5035999220908296e-09,2.071772109076171e-09,4.400721101906355e-09,1.4386508018235768e-09
16,7.326352324506978e-08,9.042114845351647e-08,0.03294584441715124,0.05624795030529202,1.1522416864480074,1.1211422665089745,3.1992014685826807e-07,0.002856589455588485,0.175617004650558,2.366099158035655e-08,-8.678739221646885e-05,4.131982883590617e-09,4.5068585588548e-05,-0.0002869971574943302,5.563895451705056e-09
17,1.155562886965319e-07,1.3876532556690435e-07,0.03572328779295402,0.055908762261948824,1.1520416939398954,1.1224830030125295,3.572879281513011e-07,0.004199976271589091,0.17808449139051538,4.1129525728088394e-08,-0.0001312497439928004,6.430741282088736e-09,2.7155834368575763e-05,-0.00046942558730427616,9.395443942743617e-09
18,9.615051727276922e-08,1.1385168472604144e-07,0.03781567934871295,0.05614307438932642,1.151300236006456,1.123906056587098,6.92622293905537e-08,0.006915403704412203,0.18044893863646366,3.478151734466235e-08,1.7988346572520778e-05,5.284162359613179e-09,2.469017726859287e-08,3.57961634747595e-08,8.167150738153381e-09
19,2.292479711691986e-09,2.5866268585785115e-09,0.038151834779564665,0.05652472628563668,1.151145269082199,1.1239381588729958,1.8881698373401182e-09,0.009019612253618041,0.1808768120711829,1.3178675425599033e-09,1.025728683466502e-05,1.5934550357546104e-10,7.709606331403019e-10,1.0542794576331406e-09,2.836511916954712e-10
20,-4.3043837700545636e-08,-4.7012960071029006e-08,0.04062501836750354,0.05533598109285772,1.153266304395636,1.1225689491162472,1.9066507239151665e-06,0.0023792296578724133,0.18074587585240162,-5.961119253999352e-09,-0.0015281557244069127,-1.7009288934145892e-09,2.606561678522902e-06,-0.005026694567182955,-5.393177086661425e-09
21,-3.1958459251680373e-08,-3.1558055489723624e-08,0.042751945343610535,0.05280895720944631,1.1566386998020215,1.1201909211748347,3.1860659669738595e-06,-0.004884151633836267,0.17987538345852155,4.073932670095921e-09,-0.002543028716901504,-6.933385987067134e-10,1.6808271322220882e-06,-0.008349791732313903,-5.73420082032338e-09
22,3.713673580963975e-09,3.032230735392459e-09,0.04001795461959915,0.049781839532669014,1.1594766019374756,1.1172064696295492,2.562277599450981e-09,9.5725600959406e-05,0.17745489895512712,2.200191153412329e-09,2.179099225649989e-06,2.2987104401357658e-10,2.156131399672607e-10,5.732060300714496e-10,1.6383196132309556e-10
23,4.1987189946970104e-08,2.7148394330672255e-08,0.031248922905666544,0.04722550813577363,1.1603566422869547,1.11399154657513,-6.993502272421761e-06,0.02127248156414701,0.17370382982409008,-1.8087104225647494e-08,0.006630217467241108,-2.2465687431216e-10,-3.434797326560546e-07,0.021774062837502727,1.0641944868780934e-08
24,1.0027500150354717e-07,7.641935339628983e-08,0.0286328781059444,0.04664162379593252,1.15930539173076,1.1108163341621078,7.999491614975708e-07,0.026949188375294867,0.1729609572124312,2.75795730706631e-08,0.0078086719439786545,3.285274475765917e-09,2.1136595339650953e-09,0.025852133443928,1.3792248072110886e-08
25,2.2431070696324192e-07,1.692629377559507e-07,0.03844323121156658,0.04874238640691959,1.1573273157272848,1.1085554678220235,8.581670835473252e-08,0.002604168651043819,0.17789171365003326,1.5248308215518044e-07,3.5889488676387e-05,1.1686020742969597e-08,8.567415240760507e-09,2.7252508867243032e-08,3.812389257064025e-09
26,4.130982453159831e-07,2.0062415619179006e-07,0.038927334105957105,0.051010740975530974,1.1570627324484901,1.1094764498177887,-7.607300850149648e-05,0.011148722061600632,0.1820462625513734,1.0769421686680173e-07,0.00462340221843971,8.770045963213799e-09,-1.4332845168757698e-07,0.010961419158989037,1.1177786031244446e-09
27,2.0165617023476121e-07,7.436714136851857e-08,0.035055622913922564,0.051844953851346055,1.1584642249817998,1.1119548132318722,0.00022663292479957882,0.03390774372665052,0.18306157137068652,2.476597419863442e-09,0.013967196146655541,9.151919515128346e-10,3.2765332766052878e-09,0.03483161915894852,9.78388127695107e-10
28,1.0402608474572427e-07,5.320204840659958e-08,0.034840828054363525,0.05051466699609121,1.1596082504348917,1.1139547636330438,0.0009843302691432386,0.0389445524303737,0.18087988614256453,3.3103504656050352e-09,0.014896824727125784,1.444963862104775e-09,5.570493157916892e-09,0.03593305118617302,1.1628355044882368e-09
29,2.3024450117191e-06,8.148610666043598e-07,0.030055519272656376,0.047815273790150666,1.1578643579957726,1.113840224107977,0.0008552032304574101,0.0386584570223463,0.17864734218821982,4.729542852937842e-08,0.009781758151195693,1.2816818511861517e-08,1.2957666451658083e-08,0.037251237506967384,1.985292012516901e-08
30,1.628875103372444e-06,4.5554620305045274e-07,0.030816383383072125,0.04526508894758993,1.1592663364255855,1.1067384429486826,0.0004280617990065128,0.028389396498875265,0.18059894389073805,3.04440848433965e-08,0.005730654664765733,8.972404406854481e-09,7.454025039816466e-06,0.03643567115249457,1.3714290351984117e-08
31,7.092951986337084e-08,2.1228032314040807e-08,0.030892120707488875,0.047460191887281226,1.1562895241003286,1.1091199749977876,0.0001582477405972,0.03499179362840312,0.18130248805681806,1.306830259597642e-09,0.00843133007027873,4.965053446130136e-10,1.669613236917723e-09,0.03909656040753113,4.592779438783871e-10
32,5.14286723605606e-07,6.674270208786817e-07,0.024259783700584767,0.0559534925096041,1.1442001529520012,1.1296415839211709,0.00015907918784660436,0.07036613776396376,0.17800763895657892,2.1961091464436812e-09,0.016782113790021518,8.394839162845533e-10,3.4861881855321133e-09,0.047987014235729576,7.022772262709453e-10
33,5.47255735968017e-07,7.366739726747534e-07,0.024472877299261352,0.060411617542140576,1.1400207013076626,1.1351051466751039,9.741780358574407e-05,0.0709242236332942,0.18269135104413076,-4.268436067831105e-08,0.013237075497335854,-3.164833261498953e-09,0.00011550165885069156,0.04247634791487603,-1.4216892919215209e-08
34,1.702043575008743e-07,4.0513318285334687e-07,0.030577105894725107,0.06060374754582463,1.1419868488445717,1.1314291507489758,6.397180394388972e-08,0.05220637031742397,0.18686180775288794,7.463574476304223e-09,0.009691575822335208,7.365405928035177e-10,1.6551927025777954e-09,0.02609928395971286,3.067177398734917e-09
35,1.2933561044095892e-07,3.126562261886334e-07,0.03701010051315565,0.05934872367233145,1.143261563363741,1.1330782573376759,-1.8991213214781353e-05,0.045925600116780686,0.18084576208572165,2.450743909700076e-07,0.018833861832124377,2.243679862528554e-08,-0.0004674750622081925,0.009531807214855125,8.443889422230883e-08
36,1.6869885503230258e-07,2.4783749529750073e-07,0.040472573297959516,0.057718296501312966,1.1425578827596756,1.135816134766877,1.648948051932417e-08,0.04395167033245999,0.1760048784611383,3.065981304925542e-07,0.02073454672149836,2.817844567114373e-08,1.8480039043973882e-06,2.839142091164936e-06,1.0562479766850024e-07
37,1.0319013714303393e-08,9.961067608711584e-09,0.04111521651967701,0.05656942636920333,1.141254329014373,1.1324510339644536,7.747249391117764e-09,0.032841538678882336,0.1827977313084004,2.026995043541889e-09,0.002769755412002669,4.4684596477122064e-10,0.002074939777991025,3.570515910234388e-08,1.671696122077166e-09
38,6.667230795626093e-08,5.497151313432598e-08,0.04500421039977701,0.056841856084130615,1.1429908954367525,1.1257587881197495,4.886399238791307e-08,0.021533366562732446,0.1883758075745375,5.605912231557595e-09,0.00043903942429065037,2.517453773442309e-09,0.0035406911716625994,5.931346715742456e-08,4.4953847387728505e-09
39,1.6289988575936672e-07,1.8707149774970656e-07,0.043238441068656625,0.056968645872032396,1.1432432619848043,1.1274610930970856,4.217639335210066e-07,0.02919899106116048,0.18327324320768312,1.9050416073899063e-07,0.010915808148958287,1.9694006658980207e-08,0.004768623622431643,-0.0001238278684320866,7.274089274944571e-08
40,2.148158666428556e-07,2.6981158170094626e-07,0.03983105050680973,0.05654540294280476,1.1424739128996961,1.1318598874309236,2.213001967021076e-08,0.04051582968604836,0.1760992831773188,3.639406021393033e-07,0.021973034380118682,3.4251787575748136e-08,0.00506415630209165,9.581283022023064e-07,1.2708053006904463e-07
41,2.2382215350005453e-07,2.624558898874331e-07,0.04127973275330795,0.055696362913924505,1.142547883313114,1.130644608616197,-1.6207787882812906e-07,0.03673284207620631,0.17654471978900518,4.2311582313651496e-07,0.02502894235216975,3.779074607951023e-08,0.0036488988687015753,6.642105839563808e-05,1.2172355136122315e-07
42,2.1939419945830284e-07,2.104194826295179e-07,0.04548478279105768,0.05469258092177454,1.1431032127060814,1.1255627063030371,-9.447334711201262e-08,0.02366871298305925,0.18189160956164974,4.0520737776545433e-07,0.021766944476927647,3.440591686429242e-08,0.0014922325041137774,4.992707086893458e-05,8.642975737503704e-08
43,2.380258452034432e-07,1.8065515410279237e-07,0.048197145838924,0.05384181698246432,1.1432211916469572,1.1208761331803747,2.3436665811973207e-08,0.013284558436185806,0.1863198250674966,3.823870618936525e-07,0.01643675021056311,3.1316105908686084e-08,4.812711289624902e-07,1.8291331658088434e-07,6.984658538089267e-08
44,2.778179110851569e-07,2.0394404309180213e-07,0.04712450564322944,0.05363839561227452,1.1422575824095311,1.119691105477535,3.015939345754211e-08,0.01401047543998862,0.18580040386876628,3.931514324093361e-07,0.014284141617837769,3.2517643374497124e-08,9.392234154281626e-07,5.186194136675334e-07,9.352596249097518e-08
45,2.3770550812254117e-07,1.9732802696090914e-07,0.04645148108931531,0.05469737991455846,1.1408345669408455,1.120147432302918,-4.1750180726706297e-08,0.019929987953432073,0.18316568352791437,3.6683844654986774e-07,0.020526703728120536,3.12910113983749e-08,0.0002617905692968952,0.00013861647827355126,9.12627450883522e-08
46,1.9585621505477735e-07,1.6546676825942837e-07,0.04691935370673685,0.05531831983839155,1.140522930299488,1.1178553411753114,1.6241188642869443e-08,0.020705613131366558,0.18182572675869246,3.012802476387173e-07,0.025328144300345544,2.6390437268125103e-08,2.3027270490623398e-07,2.185095536296981e-07,5.225615901293976e-08
47,2.470984433693083e-07,1.3939462966056546e-07,0.04809845957810812,0.053874376727207345,1.1423802186354977,1.1101762349698951,3.239357262191467e-07,0.009981334506376524,0.18387223513324874,2.211879081897099e-07,0.01882163999485856,1.915333267554063e-08,-0.0009696459966622568,-0.0006831453149426149,-5.808763742637883e-09
48,3.35278447490379e-07,1.3185533375708938e-07,0.050275428881521936,0.051535235156321156,1.144736891058609,1.102850063117423,5.102474943172037e-07,-0.0017830110990793187,0.18733690549599802,1.566187924126803e-07,0.007068192956677502,1.2553625960421655e-08,-0.0014741805107795843,-0.0010602296592908005,-3.380364618999239e-08
