Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.5681035751483926e-09,2.2715280139785857e-09,1.1934337812535498e-09,1.9915336556782025e-05,0.17687557067551185,0.09082044488732828,1.0966405604451293,0.9166220250490228,1.4552065842159595e-09,0.34917981651344554,0.6697680607928685,1.199999998923081,-3.034093941103685e-11,-3.327403329026453e-11,-5.278087357483983e-12
2,6.28221043502751e-08,2.171673902597192e-08,1.9603051869984215e-08,2.4631732319339482e-06,0.1786374569235112,0.09752816524500384,1.0825460761362438,0.9120522925172272,-5.101488363396842e-09,0.3465414673885471,0.6790708283419774,1.1999999681923772,-7.144331978577019e-09,-8.102087813835412e-09,-8.687537449802399e-09
3,1.1038985596768043e-07,4.029549713900957e-08,3.0595609352596155e-08,1.4150694305418973e-05,0.18020521674973794,0.09739257254422794,1.084099720049301,0.9140093487407042,1.3805835122762186e-08,0.3484915472780723,0.6691983273351245,1.1999999491638775,-7.0998340417178615e-09,-7.769941224396703e-09,-6.5059438116560534e-09
4,1.2497705514114434e-07,6.202824380600123e-08,3.6424566017446123e-08,7.58635298934585e-06,0.18372107366748497,0.09241038758694302,1.095004540945513,0.9205921647848243,4.029633210155546e-09,0.34635521053399254,0.6645293301168747,1.1999999548284468,-9.301238499020966e-09,-1.0281071982856059e-08,-9.556534778631913e-09
5,1.1248152048976736e-07,7.234793104225602e-08,3.373907615128603e-08,6.202361274798137e-07,0.1843313098575507,0.08852592874713902,1.0963284272817548,0.9265455207881976,-1.0454780546235541e-08,0.3441148798510664,0.6655493087074612,1.1999999628362028,-9.9399609926698e-09,-1.1128454498010164e-08,-1.1913114197036909e-08
6,8.858879660827364e-08,6.724541365815396e-08,2.2724082722921665e-08,7.189311866098484e-07,0.17913364540352328,0.09050669757379033,1.0783827959342027,0.9289938775523467,2.6785327000072435e-10,0.3462451686587929,0.6660908874323904,1.1999999555606091,-5.7957549235893745e-09,-6.345637760068199e-09,-6.669347499436552e-09
7,7.797997717555313e-08,8.180234424405786e-08,1.9187225918899094e-08,-4.1070971681405434e-05,0.17650742863607008,0.0947390253754312,1.0701538615813555,0.9341262644099435,1.668301719519696e-08,0.348249515661283,0.660771016486741,1.1999999569791455,-5.699379525644825e-09,-5.9444533905485036e-09,-2.523256587812838e-09
8,9.272291971775633e-08,7.93919391931947e-08,2.7373958934899706e-08,1.0257451889264438e-06,0.17445217233547486,0.09654030576924624,1.0692922526802089,0.9361165588991908,2.541861352710533e-08,0.3498285559254398,0.6575367887485476,1.1999999541073578,-8.311892003323616e-09,-8.674007405948939e-09,-2.708988850160296e-09
9,1.1976093298938253e-07,3.926693786429897e-08,3.910084025970768e-08,0.00013879248040637158,0.1708469799436699,0.0938973182919393,1.0669972001047725,0.9280442383091976,1.961188009576482e-08,0.3521206400214687,0.6614727453352653,1.1999999389011355,-8.87753676537049e-09,-9.406106709859908e-09,-6.082472692346996e-09
10,9.559188597012836e-08,3.577889671413276e-08,3.073699915949892e-08,9.036076788221338e-06,0.17258567543640832,0.0920683716127063,1.0680709211567605,0.9143786452395548,2.9911472721497717e-09,0.3534152561121168,0.6608971813437207,1.1999999521429996,-7.402053722370237e-09,-8.067725025113602e-09,-8.530330017382263e-09
11,6.052354611800806e-08,6.2536353432356235e-09,2.7803140150559133e-08,3.362126067404588e-06,0.17417907574245106,0.0905622904837343,1.0679227691530708,0.9044583823145882,-7.883855197316239e-09,0.3491344084509749,0.6655600899185087,1.1999999729143775,-1.3939357230225447e-08,-1.5626655916258562e-08,-1.6374375553531593e-08
12,3.826802592873253e-08,-3.9886882724793305e-09,2.36974846184557e-08,2.0108795482902654e-05,0.1752643528336123,0.09030956073389042,1.0698508212936082,0.9055279678612205,-1.4096805735765218e-08,0.3473880400328049,0.66868501108235,1.199999987088787,-1.7186014944779514e-08,-1.946588953097236e-08,-2.032581461676832e-08
13,2.6776727941477863e-08,3.23365476472418e-09,1.6562180424979075e-08,1.2493848444461613e-05,0.1760255845841644,0.09067572351283423,1.0744048234209544,0.9140346772143343,-1.606686413296954e-08,0.3489533842398985,0.6672827542072458,1.1999999952901297,-1.5742139078862623e-08,-1.798844948285571e-08,-1.8951485879290468e-08
14,2.0517897281815785e-08,2.6436906323364263e-09,9.13052787140447e-09,8.165268922497983e-08,0.17614534004622714,0.09036014158273094,1.0805870962263902,0.923721732271948,-1.2573962087924854e-08,0.351691062528016,0.6610554057876832,1.2000000001925917,-1.256377437148477e-08,-1.442990502135806e-08,-1.4257389194812057e-08
15,1.7283082121790033e-08,-1.4384318748816007e-08,5.068719172007828e-09,-2.4095118747984828e-06,0.17545394335349487,0.08938251222311903,1.0861353603138093,0.9294346253753115,-4.519220632785598e-09,0.35392693793964713,0.6511646651362448,1.20000000277133,-1.0436947723802722e-08,-1.1888593669325657e-08,-9.013012590641012e-09
