Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,9.218960397111738e-08,1.8538048043716035e-07,5.616046793830968e-08,5.25544545034267e-09,0.2038565185285313,0.1534132801655185,0.986623268631,0.9596989581125605,-1.4337218043764857e-08,0.5280727200888077,0.6449638431500242,1.1999999871362943,-1.5290496829945688e-08,-1.6855192719578073e-08,-1.888263719860948e-08
2,1.0305677541693317e-07,1.8325940920601e-07,6.126293303890174e-08,5.2378499826736864e-08,0.20600160036147488,0.1549932485549611,0.9958497391482056,0.9749814221621788,-1.6618976191696566e-08,0.5268114235440583,0.6465779512547212,1.1999999859883224,-1.7266369179865844e-08,-1.900920423606191e-08,-2.1275656438582246e-08
3,1.4787162534966508e-07,4.106727630192821e-07,1.0171442653292992e-07,-3.0098616783875e-08,0.2044652768172898,0.17353031355161294,0.9941116776232588,0.9624578527103996,-1.784473582180957e-08,0.5293241049077585,0.6359028499299096,1.199999975117793,-2.8396530778265567e-08,-3.1186327804275333e-08,-3.4880086924701137e-08
4,1.430414948508173e-07,4.760407964381875e-07,9.748475270337668e-08,-3.202453166138011e-08,0.2055912825136461,0.17449472969526855,0.9920812137596912,0.9583250796070888,-1.7778228117530614e-08,0.5315890676686901,0.6314461103442166,1.1999999791316758,-2.8245768058818883e-08,-3.106431984355432e-08,-3.472910907016726e-08
5,1.3987306567545207e-07,5.052558377987231e-07,9.264051630662626e-08,-2.784734549503578e-08,0.20691580580910293,0.17239737700342156,0.9887687349352506,0.9534906801721458,-1.7539139629108662e-08,0.5334496838113134,0.6297447226628623,1.1999999817636815,-2.8228500857019023e-08,-3.104976403261961e-08,-3.4658545870282774e-08
6,1.469050380229054e-07,5.23587949463172e-07,9.523304523328106e-08,-3.386565401578185e-08,0.2078883074787634,0.17034925645543883,0.9843244312900987,0.9463950300775789,-1.7334228241749203e-08,0.534844949145227,0.629520375350798,1.199999980294231,-3.029896066000677e-08,-3.3271568646196264e-08,-3.7051185938840765e-08
7,1.4826685604081563e-07,4.86040297241557e-07,9.452519409747137e-08,-3.5269892719716136e-08,0.20882725579604328,0.16617151240206396,0.9824968388829814,0.9432377603720864,-1.7211860446445087e-08,0.5348805079420836,0.6298378786566949,1.1999999793552234,-3.093881080560642e-08,-3.3915455506408116e-08,-3.769260251998064e-08
8,1.413134270871225e-07,3.8511340876888194e-07,8.872743866821886e-08,-2.9591800856188272e-08,0.20978572880651175,0.15950100223508748,0.9839107137236893,0.9450521428971181,-1.7180097325028446e-08,0.5334073009138255,0.630541367621998,1.1999999797186423,-2.9561661850122015e-08,-3.23457115836091e-08,-3.588039115439227e-08
9,1.3100180144983698e-07,2.8809649260723403e-07,8.111700640249603e-08,-2.22957738376168e-08,0.2105757375914388,0.1546807233653281,0.9865675292731764,0.9501195034117682,-1.7305727408088323e-08,0.5323989022506334,0.6302794920289633,1.1999999813277846,-2.7471280423938602e-08,-3.0031662102328256e-08,-3.327434672203593e-08
10,1.222890294169701e-07,2.622787573187004e-07,7.497112475727532e-08,-1.8846207076420264e-08,0.21100929323209427,0.15605367320360436,0.9884687589923961,0.9567211676751299,-1.765553922621376e-08,0.533828886142688,0.6277009016598458,1.1999999841259474,-2.5971433157441207e-08,-2.844263228709457e-08,-3.1534264102871875e-08
