Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.721820011242144e-07,5.876192438260799e-07,1.351098200869987e-07,-3.582972359350872e-08,0.21179121080470792,0.13620939786184116,0.8208185500440864,0.7392080772252737,3.780235985771582e-08,0.5333866940687915,0.6624129952639717,1.1999999642114445,-2.887736423108123e-08,-3.243407782831945e-08,-3.733272938133133e-08
2,2.547639128676857e-07,6.057182136145735e-07,1.3437014778531964e-07,-3.37458816051892e-08,0.2080616746699748,0.1399434557924414,0.8296014926991659,0.7450611588639634,3.4253496903204726e-08,0.5288733811794927,0.6659127030487384,1.199999963907993,-2.7159315839625078e-08,-3.0482274694171984e-08,-3.5067446554287093e-08
3,2.652283448798388e-07,6.093525949089854e-07,1.445672331252671e-07,-3.54685822037498e-08,0.20738145043319148,0.14222737219668874,0.8362426676715213,0.7355897441853358,2.5928137614592386e-08,0.5292528508461254,0.6638716242655407,1.1999999597962143,-2.8748179121738458e-08,-3.2206641710716064e-08,-3.6998344865470296e-08
4,2.651233968560059e-07,5.456088076871526e-07,1.387758261252955e-07,-3.077808922287933e-08,0.20831678458941272,0.1393283292737722,0.8355968183812564,0.7374801598875589,2.2502963111639437e-08,0.5278083892705193,0.6664883863592637,1.199999959339401,-2.703998819143127e-08,-3.0389586786173256e-08,-3.497485178702721e-08
5,2.65018448832173e-07,4.818650204653197e-07,1.3298441912532393e-07,-2.608759624200886e-08,0.20925211874563396,0.13642928635085563,0.8349509690909915,0.7393705755897819,1.907778860868649e-08,0.5263639276949132,0.6691051484529867,1.199999958882588,-2.5331797261124084e-08,-2.8572531861630448e-08,-3.2951358708584125e-08
6,2.6491350080834006e-07,4.1812123324348694e-07,1.2719301212535234e-07,-2.1397103261138384e-08,0.2101874529018552,0.13353024342793907,0.8343051198007265,0.7412609912920051,1.5652614105733542e-08,0.5249194661193071,0.6717219105467098,1.1999999584257748,-2.3623606330816897e-08,-2.6755476937087637e-08,-3.092786563014104e-08
7,2.6480855278450713e-07,3.543774460216541e-07,1.2140160512538074e-07,-1.6706610280267913e-08,0.21112278705807644,0.13063120050502253,0.8336592705104616,0.7431514069942281,1.2227439602780593e-08,0.523475004543701,0.6743386726404328,1.1999999579689615,-2.191541540050971e-08,-2.493842201254483e-08,-2.8904372551697958e-08
8,2.961075202231874e-07,3.6683729496086544e-07,1.355764631327329e-07,-1.927812844114476e-08,0.21864865880158604,0.12926353743218627,0.8461976290338898,0.7422740769595338,1.6922655466363924e-08,0.5178224122113211,0.6823861984108706,1.1999999544713815,-2.352878190113198e-08,-2.660229244682444e-08,-3.071637290586528e-08
9,2.9952983701781625e-07,4.4927302820033475e-07,1.4416738012487605e-07,-2.2725316227418187e-08,0.21766815247432286,0.13310551401301796,0.8445161065211618,0.7476709104274077,1.755334612698147e-08,0.5169582204753884,0.6785595642699316,1.1999999484340573,-2.3571363386336736e-08,-2.680626452224667e-08,-3.1154784521670215e-08
10,3.0295215381244507e-07,5.31708761439804e-07,1.5275829711701923e-07,-2.6172504013691615e-08,0.2166876461470597,0.13694749059384967,0.8428345840084337,0.7530677438952815,1.8184036787599022e-08,0.5160940287394556,0.6747329301289927,1.1999999423967334,-2.3613944871541496e-08,-2.70102365976689e-08,-3.159319613747514e-08
11,3.0637447060707394e-07,6.141444946792733e-07,1.6134921410916238e-07,-2.961969179996504e-08,0.21570713981979653,0.14078946717468135,0.8411530614957057,0.7584645773631554,1.881472744821657e-08,0.515229837003523,0.6709062959880537,1.1999999363594092,-2.3656526356746252e-08,-2.721420867309113e-08,-3.2031607753280074e-08
12,3.0766577780405665e-07,6.683211835729048e-07,1.635016787573236e-07,-3.023515866106835e-08,0.21828956036525266,0.1430007085259746,0.8287299129647415,0.7591316783318048,1.604649591691557e-08,0.5144174592721353,0.681283423955781,1.199999938559615,-2.3411504709541023e-08,-2.697224250968656e-08,-3.17528360727259e-08
13,2.8961801652905977e-07,4.4557077609611933e-07,1.5363192846346724e-07,-2.7399313903638822e-08,0.2132538464239596,0.13175797873685732,0.817060012010676,0.7595323319055131,1.9587854282302786e-08,0.5139562847394659,0.671779634241789,1.1999999430920154,-2.6275552620654908e-08,-2.9718279257155955e-08,-3.439503997681685e-08
14,2.8847258585601885e-07,4.3203584738723775e-07,1.5344258077861814e-07,-2.7541161238146182e-08,0.2106236125692926,0.13014454922261245,0.8149904812580928,0.7571076235041239,1.604887837470548e-08,0.5161974151859288,0.6670524260830858,1.1999999431755872,-2.657212793140969e-08,-3.000397477247547e-08,-3.468711862384246e-08
15,2.873271551829779e-07,4.185009186783561e-07,1.5325323309376904e-07,-2.7683008572653538e-08,0.2079933787146256,0.12853111970836756,0.8129209505055096,0.7546829151027348,1.2509902467108173e-08,0.5184385456323916,0.6623252179243825,1.199999943259159,-2.6868703242164475e-08,-3.0289670287794984e-08,-3.497919727086807e-08
16,2.8618172450993696e-07,4.0496598996947454e-07,1.5306388540891993e-07,-2.7824855907160897e-08,0.2053631448599586,0.1269176901941227,0.8108514197529264,0.7522582067013456,8.970926559510867e-09,0.5206796760788545,0.6575980097656793,1.1999999433427309,-2.7165278552919257e-08,-3.05753658031145e-08,-3.527127591789368e-08
17,2.899470586879301e-07,4.0592318849221455e-07,1.5633676013210824e-07,-3.135613250869023e-08,0.20507721562773865,0.12611954268451775,0.8140212492057642,0.7556427614793779,8.037591582227751e-09,0.5190588931830515,0.6591316501872974,1.1999999436610134,-2.9402277721822863e-08,-3.2901548050565585e-08,-3.7720532963122896e-08
18,2.9472317270717177e-07,4.428010466869636e-07,1.6286090461532093e-07,-3.386778185335476e-08,0.2043484943679424,0.1276056930517536,0.8171578193628127,0.759914183577539,2.697197417796677e-09,0.5160822492863991,0.6644315704350773,1.199999939124185,-2.9620095257636678e-08,-3.315909134825524e-08,-3.8051319826174027e-08
19,2.9102255896778944e-07,4.201032005696037e-07,1.5907034006275683e-07,-3.218351791564136e-08,0.20502911733260612,0.1272371905717432,0.818992746688246,0.7672197034992134,4.565129007158391e-09,0.5166488176224785,0.6646535834814342,1.1999999402439059,-2.914709043543918e-08,-3.262607569826477e-08,-3.742603449685696e-08
20,2.8732194522840717e-07,3.9740535445224385e-07,1.5527977551019275e-07,-3.0499253977927965e-08,0.20570974029726988,0.1268686880917328,0.8208276740136793,0.7745252234208877,6.433060596520104e-09,0.517215385958558,0.6648755965277912,1.1999999413636266,-2.8674085613241676e-08,-3.20930600482743e-08,-3.6800749167539884e-08
21,2.8362133148902484e-07,3.7470750833488396e-07,1.5148921095762864e-07,-2.8814990040214564e-08,0.2063903632619336,0.1265001856117224,0.8226626013391125,0.7818307433425621,8.300992185881817e-09,0.5177819542946374,0.6650976095741481,1.1999999424833476,-2.8201080791044177e-08,-3.156004439828383e-08,-3.6175463838222815e-08
22,2.568792319798293e-07,3.195438794001769e-07,1.4075441785701006e-07,-2.4124183747440054e-08,0.21109124628267395,0.13347113386856538,0.8299511881548345,0.7940669194225444,4.272889692839522e-09,0.5193111910870789,0.664239159523737,1.1999999485935495,-2.571314203278336e-08,-2.8793370122485723e-08,-3.30203800558232e-08
23,2.673195740258882e-07,3.3434005055041766e-07,1.420246977546528e-07,-2.6590217877091038e-08,0.21313081112119187,0.13245408228375433,0.8305978647877515,0.7877161745947515,5.522375258471299e-09,0.5205284037949716,0.6643587497962274,1.1999999481021988,-2.6694265046097848e-08,-2.996520616659013e-08,-3.4361533214163606e-08
24,2.777599160719471e-07,3.4913622170065847e-07,1.4329497765229553e-07,-2.905625200674202e-08,0.21517037595970975,0.13143703069894327,0.8312445414206687,0.7813654297669586,6.7718608241030766e-09,0.5217456165028642,0.6644783400687179,1.1999999476108478,-2.767538805941234e-08,-3.113704221069454e-08,-3.5702686372504005e-08
25,2.88200258118006e-07,3.6393239285089923e-07,1.4456525754993826e-07,-3.1522286136393005e-08,0.21720994079822767,0.13041997911413222,0.8318912180535858,0.7750146849391657,8.021346389734855e-09,0.5229628292107569,0.6645979303412083,1.199999947119497,-2.8656511072726827e-08,-3.230887825479895e-08,-3.704383953084441e-08
26,2.6436007634770843e-07,3.077463623428367e-07,1.2372186050753526e-07,-2.122496190906482e-08,0.21629607527146424,0.1287773565425649,0.8242352113791556,0.7529648650064664,7.360195019312826e-10,0.5210954341405782,0.6706436950518628,1.199999951026039,-2.4646195604702426e-08,-2.7835978288375002e-08,-3.192013849820872e-08
27,2.349170881438478e-07,2.863483686323385e-07,1.1775541799988134e-07,-1.7217319636196865e-08,0.21173709832416587,0.12739212628435925,0.8235534842747478,0.7376638434940676,7.819808473849155e-09,0.51087146601332,0.6766713081573599,1.19999995077253,-2.2979827190716207e-08,-2.594295608828373e-08,-2.9667235676508462e-08
28,2.3308381802898597e-07,2.794361395241193e-07,1.1722308686171074e-07,-1.5476059444722997e-08,0.21142927076479204,0.1289727988482015,0.8267266052437447,0.7454448470555517,6.543533007065814e-09,0.5132315780611079,0.675141814213565,1.1999999516678508,-2.144170244586315e-08,-2.4360081983481773e-08,-2.8025829878787714e-08
29,2.3125054791412413e-07,2.7252391041590006e-07,1.1669075572354014e-07,-1.3734799253249127e-08,0.21112144320541817,0.1305534714120438,0.8298997262127416,0.753225850617036,5.267257540282473e-09,0.5155916901088958,0.6736123202697701,1.1999999525631715,-1.9903577701010097e-08,-2.2777207878679818e-08,-2.6384424081066962e-08
30,2.294172777992623e-07,2.6561168130768087e-07,1.1615842458536954e-07,-1.1993539061775258e-08,0.21081361564604434,0.13213414397588605,0.8330728471817385,0.7610068541785201,3.9909820734991325e-09,0.5179518021566837,0.6720828263259753,1.1999999534584922,-1.836545295615704e-08,-2.119433377387786e-08,-2.4743018283346213e-08
31,2.24972458457081e-07,2.4836002897026997e-07,1.0095329499061793e-07,5.1917682823658345e-09,0.20898463952807617,0.13317035111111306,0.8315872116791989,0.760489782749936,-4.532316140255547e-10,0.5208431847659825,0.6694861061166812,1.1999999572903506,-1.305296687739971e-08,-1.496687472032119e-08,-1.749104771374143e-08
32,2.205276391148997e-07,2.311083766328591e-07,8.574816539586632e-08,2.2377075626506927e-08,0.20715566341010802,0.13420655824634006,0.8301015761766594,0.7599727113213519,-4.897445301550242e-09,0.5237345673752813,0.6668893859073871,1.1999999611222092,-7.740480798642383e-09,-8.73941566676452e-09,-1.0239077144136648e-08
33,2.1751892285026537e-07,2.358888615521802e-07,8.678353159140874e-08,1.8380146337272026e-08,0.20955416794034917,0.13355921956216746,0.8382718730900404,0.7630071542636483,-4.2162048457619925e-09,0.5210082974659745,0.6701383703526222,1.199999961000309,-8.029938089290769e-09,-9.069611489366899e-09,-1.0624355315881984e-08
34,2.1451020658563107e-07,2.4066934647150127e-07,8.781889778695116e-08,1.4383217048037123e-08,0.21195267247059035,0.13291188087799488,0.8464421700034215,0.7660415972059446,-3.5349643899737423e-09,0.5182820275566676,0.6733873547978575,1.1999999608784087,-8.319395379939153e-09,-9.399807311969277e-09,-1.100963348762732e-08
35,2.1150149032099675e-07,2.4544983139082237e-07,8.885426398249358e-08,1.038628775880222e-08,0.2143511770008315,0.13226454219382228,0.8546124669168025,0.7690760401482409,-2.8537239341854924e-09,0.5155557576473608,0.6766363392430926,1.1999999607565084,-8.608852670587539e-09,-9.730003134571656e-09,-1.1394911659372656e-08
36,2.395970200845774e-07,2.8571394247717933e-07,1.1530445877803757e-07,1.7772084936830337e-09,0.2138960678070781,0.1308736659760338,0.8491040865183199,0.7632507359082858,1.9307941225263476e-09,0.5131430224159491,0.674125213764901,1.1999999487576758,-1.2012434165246825e-08,-1.3577396606559295e-08,-1.5885584649067547e-08
37,2.6769254984815804e-07,3.2597805356353625e-07,1.4175465357358154e-07,-6.831870771436154e-09,0.21344095861332466,0.12948278975824534,0.8435957061198375,0.7574254316683309,6.715312179238188e-09,0.5107302871845374,0.6716140882867092,1.1999999367588432,-1.5416015659906113e-08,-1.7424790078546935e-08,-2.037625763876244e-08
38,2.6026209334623244e-07,3.2838011035808266e-07,1.347311468016196e-07,-1.3114869124697183e-08,0.21375013675500276,0.1294334234676081,0.843000724946467,0.7511211537403801,1.6329896804317864e-08,0.5083243464676827,0.6663515620443645,1.199999945666379,-1.9543074978983212e-08,-2.2104646121230828e-08,-2.5652064323862026e-08
