Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,9.513644999651613e-08,1.4172519481361771e-08,5.153622695381208e-08,3.1889929448004246e-08,0.10914469166529384,0.025356946226940742,0.7617763141598999,0.905944181147326,4.4163176034536994e-08,0.14756507500588648,0.7503201132359159,1.008316068995115,-2.2157838725453964e-08,-2.3155989376353516e-08,-2.2435106428986814e-08
2,2.246058742997038e-07,5.812406253794037e-09,1.3294608891657346e-07,2.892617398939639e-07,0.11004549962079603,0.02146440638305919,0.7830226205957435,0.9100507467688921,1.0818185538304775e-07,0.14460368178557195,0.7581599587009646,1.0096857830442292,-5.084086177973773e-08,-5.3318866264834777e-08,-5.1940391877733394e-08
3,2.0437382857141442e-07,1.2770950268513715e-08,1.1746385926737172e-07,1.4826519689422177e-07,0.1102234897983783,0.02140552018267205,0.7985457330384503,0.9254639308957444,9.634769307616016e-08,0.14150969936508934,0.767462185455427,1.0126836430812625,-4.774451170455792e-08,-5.008576602509925e-08,-4.8790251066695135e-08
4,1.2342212005884382e-07,1.2992651280286498e-08,6.794555129242753e-08,5.558437876072618e-08,0.11003100728449704,0.023011645025743318,0.8118385056228613,0.948683496489575,5.375210606023208e-08,0.13951056475606036,0.7751469707753444,1.019169561979101,-3.279481522963426e-08,-3.4148137531833416e-08,-3.2894518723600206e-08
5,1.1401994581620073e-07,5.449451752790808e-09,6.095739936785407e-08,4.5881168767576796e-08,0.11559564447634832,0.025348891374672392,0.8374249117636027,0.9768749353583828,4.300458081942424e-08,0.13308746366767898,0.7796143055872223,1.035927888414474,-3.0068780545377686e-08,-3.2088069734142144e-08,-3.1513356736172084e-08
6,6.989928945265067e-08,8.318939199024277e-10,3.850121078879041e-08,1.143670341517701e-08,0.11840085845773855,0.027303444064220826,0.8460597468075657,0.9922553702648901,2.523830262012292e-08,0.1310307536952238,0.7827082264085657,1.0472140674150867,-2.154781719294397e-08,-2.3045242354677848e-08,-2.2062378978778312e-08
7,8.13843932157344e-08,1.711298211140147e-08,4.949738526081026e-08,-9.456080020306774e-09,0.11812358038430384,0.029385632669269694,0.8456977164571178,0.9922109731602168,3.1500016926579965e-08,0.13205439511663744,0.7782987982598687,1.0508240070822383,-2.5924721895710696e-08,-2.7705893625400562e-08,-2.6300037956458168e-08
8,1.0192541928657805e-07,3.164189811958831e-08,6.693051395745338e-08,-1.904905765078874e-08,0.11720989879623565,0.028219417468619005,0.8402039973931059,0.9785896054154328,4.259063854179219e-08,0.13334238305125864,0.7708345547410717,1.047806740589091,-3.369019768988304e-08,-3.59717622483292e-08,-3.352194598969126e-08
9,1.1062403677135844e-07,3.4129206982037684e-08,7.334408893852345e-08,-9.74882478768514e-09,0.11294753300297378,0.02416974237568376,0.8196662525800279,0.9481619260347156,4.823956737816836e-08,0.13831682699745673,0.7666108774665743,1.0323928905076925,-3.3483715596023385e-08,-3.5068221845129976e-08,-3.343555692007846e-08
10,9.914036004909164e-08,1.3773656222440203e-08,5.365060255386198e-08,3.196874726858995e-08,0.1111942219632536,0.023704099521422658,0.8166472939238227,0.9398490509070502,4.149717025058711e-08,0.13937723824033485,0.7647619198327306,1.022970254187502,-2.363967286802144e-08,-2.4776815597147198e-08,-2.40535386352787e-08
11,1.0333681504783008e-07,1.6263502030696576e-08,5.4703068192600647e-08,3.463107682772777e-08,0.1112340313982212,0.0236726012459466,0.8184872397876473,0.9432911425175712,4.173703358946456e-08,0.13914959175530014,0.7643584615883892,1.0165681694577318,-2.23752598741166e-08,-2.3488531640518694e-08,-2.285191302403424e-08
12,1.195253503345464e-07,1.728513926782131e-08,6.335771539543781e-08,4.351756092376202e-08,0.11135707375226957,0.02216796086325173,0.8196794349622161,0.9447370264995212,4.8029111593093256e-08,0.1392464768377626,0.7695984552325631,1.0140982695925755,-2.621823532051036e-08,-2.7469769275012642e-08,-2.6658131710159568e-08
13,5.468707596184648e-08,1.4714777474148816e-08,3.392879479632973e-08,7.806541607447997e-09,0.11069086243061474,0.023659752981935785,0.7944535653455551,0.9418641536602518,2.7314625574315727e-08,0.13686116030034992,0.752033489100343,1.0204019483656914,-1.5236347545398013e-08,-1.581910290599538e-08,-1.5159069046935107e-08
14,8.862962477300726e-08,1.5286057783291406e-08,4.746224751483736e-08,2.3038786044686355e-08,0.11178792891725907,0.02215610779688744,0.8154779297251054,0.9577029865908312,3.7011775846844785e-08,0.13835020927612351,0.7691282937449566,1.0188281854436192,-2.075681402328813e-08,-2.166106537705964e-08,-2.0927183286549146e-08
15,2.3439876271904345e-07,9.61226305901784e-09,1.3135774192753614e-07,2.296442925872237e-07,0.11013568218344284,0.019615421485084668,0.818886151692932,0.9641688062602752,1.0055438937866224e-07,0.14122714681745338,0.7718552802723715,1.0157262313940492,-5.6155975125661585e-08,-5.850821012622634e-08,-5.629798047842836e-08
