Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.7847031252553575e-07,1.7403519423676315e-07,8.215871419970975e-08,-2.4256109915503663e-08,0.19213566432115792,0.0828988215977675,1.0976232161122683,1.1999600436986555,5.031940898051398e-09,0.21906213241214686,0.8094697902561059,1.1645148755395878,-4.451636831769677e-08,-4.632637891376328e-08,-4.677350659767984e-08
2,1.2308142364727536e-07,9.198032761026392e-08,4.6186389876716445e-08,6.304035936198989e-08,0.19238979670844544,0.07939070341503063,1.102729138187906,1.19998528465857,-9.324013124482684e-09,0.22272669637013212,0.8132693954050558,1.1671690285093297,-2.7892662070279245e-08,-2.9011645659858202e-08,-2.9201956920035215e-08
3,1.1976284484823457e-07,8.492287369138923e-08,4.582658854357768e-08,1.1549973416085427e-07,0.1908677701541472,0.0786995653138174,1.0953350975014675,1.1999685509376072,-1.0947255424366252e-08,0.2219890906568252,0.8057509481330687,1.167101162410535,-2.8988550669046564e-08,-3.0116238428773874e-08,-3.0207012812444043e-08
4,1.4362239075634366e-09,1.0953130600658816e-09,6.093111162116372e-10,2.281945450765891e-09,0.1916005713132543,0.08162476468570051,1.0842331393320768,1.1999954264144088,-9.387452303421656e-11,0.2193715684820469,0.7975104298271163,1.1638444162993842,-2.932651059586152e-10,-3.043292616479441e-10,-3.0634723273750667e-10
5,1.7006287688516957e-08,2.1291650380564965e-08,1.1027155072616475e-08,4.467274474570843e-08,0.19145115466535026,0.0804033709674196,1.0691808569576091,1.199699046402021,4.815082813687722e-09,0.2183356489179009,0.7961536335893743,1.1603746520619782,3.9243322732416034e-10,4.0900160233824384e-10,2.849691707227813e-10
6,3.8025975274527337e-08,4.7053287538090624e-08,2.3903376043727943e-08,9.700770456871972e-08,0.19382586182928693,0.07795647183422888,1.0673219411624753,1.1989940407442423,1.086986794645854e-08,0.2155484146370026,0.7835670431620735,1.1610157750573238,8.797919672442749e-10,9.154310601317296e-10,6.375140223399607e-10
7,9.019237943582177e-08,6.452990860301654e-08,3.879827147752425e-08,1.284086139852179e-07,0.1982571310256121,0.0757269077679213,1.083767273544273,1.1993048136306284,3.9430438918108094e-10,0.21455637729077348,0.7774075157103724,1.1624438232240477,-1.1988558340649732e-08,-1.3098585662459783e-08,-1.3875748875474698e-08
8,1.376117559553837e-07,7.752099908571839e-08,4.789040066102452e-08,1.1809091675186947e-07,0.2030012556193777,0.07421971151187437,1.1046287739175729,1.1999231901067482,-1.1905564193014704e-08,0.2133768036159852,0.7796379662646024,1.1676482507356334,-2.6022874191448184e-08,-2.7969246312416168e-08,-2.8902376698871328e-08
9,1.5147370272253515e-07,9.39177640824494e-08,4.838866645994344e-08,7.306995687725714e-08,0.2063865106001955,0.07437142687076259,1.115583458367484,1.1999822451424134,-9.535914150366049e-09,0.21052362598034435,0.7868558775157799,1.1783569302247543,-2.7870173693568527e-08,-2.9063401048258077e-08,-2.933510471667834e-08
10,1.809597368378235e-07,1.161045242213928e-07,6.278610917868267e-08,1.134748345205764e-07,0.2076063283431944,0.07912307792013235,1.1175457771677841,1.1999925259690385,-2.8555577916833393e-09,0.21286705022678964,0.7888431138670116,1.1847620913732555,-2.593720686779143e-08,-2.701214464244324e-08,-2.725374998115977e-08
