Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.414890626989109e-07,6.222835036643765e-07,6.425880436882825e-08,-2.1985967247009242e-08,0.2015840760142645,0.09604653730699583,1.1575103118126022,1.1999993256344577,5.892040185405663e-10,0.20580892649078067,0.9924794383051068,1.1781701537468825,-2.6627932830587654e-08,-2.8745454332168208e-08,-2.9986217448133065e-08
2,3.0586795136586773e-07,7.060519271620081e-07,8.255893037460837e-08,-2.4894650638819712e-08,0.2013530466746672,0.09287480208263206,1.160830800384417,1.1999993837627945,6.648027385440195e-09,0.20466401595895647,0.9835781050834416,1.1816275252038262,-3.0057590132478896e-08,-3.2210035985067405e-08,-3.3475792696184864e-08
3,3.3730767849430073e-07,7.692513235408602e-07,9.165196670762195e-08,-2.522357842789126e-08,0.2009673342186157,0.09416130080376774,1.161766611081265,1.199999468878775,1.0917216100389396e-08,0.2062755966114358,0.9811406903320375,1.1830393687597345,-3.1561298766928277e-08,-3.359351992313e-08,-3.468401798294385e-08
4,3.5346528736475955e-07,7.84077350710623e-07,9.735224508611592e-08,-2.351830358557672e-08,0.20179819011475456,0.09448781698319128,1.1671652743117764,1.199999483864047,9.951613462537102e-09,0.20743969079584304,0.9812281746238676,1.1844740662088904,-3.2643478927805794e-08,-3.4807145644997794e-08,-3.6089715693371025e-08
5,3.864694948075072e-09,7.787722608924113e-09,1.0916869903196807e-09,-1.5254544498514255e-10,0.2038079553555321,0.09444067992321052,1.1699828765898133,1.1999999949227589,1.2648098956806087e-10,0.20579481244562767,0.9846188489110984,1.1892248112645432,-3.366076779035081e-10,-3.598718655824922e-10,-3.754109794477409e-10
6,2.6807598706102714e-07,5.774617751680398e-07,7.556522550055209e-08,-2.547960562078314e-08,0.2010958822132964,0.09475195254753777,1.1692336277480586,1.199999516367685,-3.745041386973567e-10,0.2075228315309893,0.9801129354743044,1.177137743504482,-3.086945845434509e-08,-3.3361773338493174e-08,-3.485260193814004e-08
7,1.798922947074693e-07,3.8646230104249444e-07,5.073815797481253e-08,-1.7030127962285576e-08,0.20215664684138684,0.08944380336645667,1.1726489315981015,1.1999996758980753,-2.131955086748717e-10,0.20564119152197738,0.9781745476520141,1.1771837800033553,-2.067390911011047e-08,-2.2341912439749305e-08,-2.3339994882437807e-08
8,9.170860235391149e-08,1.9546282691694912e-07,2.591109044907296e-08,-8.580650303788016e-09,0.20321741146947725,0.08413565418537557,1.176064235448144,1.1999998354284656,-5.1886878652386733e-11,0.20375955151296546,0.9762361598297236,1.1772298165022286,-1.0478359765875853e-08,-1.1322051541005436e-08,-1.1827387826735578e-08
9,3.5249100003536797e-09,4.46335279140378e-09,1.0840229233334015e-09,-1.3117264529045754e-10,0.20427817609756768,0.07882750500429447,1.179479539298187,1.1999999949588558,1.0942175137009828e-10,0.20187791150395354,0.9742977720074332,1.1772758530011018,-2.828104216412393e-10,-3.0219064226156616e-10,-3.1478077103334617e-10
10,1.00073413014976e-08,1.1485517296180647e-08,4.1639398983871616e-09,5.356986870920581e-09,0.20512946889031447,0.0803845961952669,1.184690724658956,1.1999999851101744,1.4779114361793366e-09,0.201843905490975,0.977519019797135,1.1791969887269962,-1.461727421657159e-10,-1.6017676099206526e-10,-2.1532480269891044e-10
