Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.130852426939551e-09,1.3672121185427272e-10,1.4844465664146251e-09,5.093132667842957e-07,0.07971338890834724,3.561016948681941e-06,0.5008904801327215,0.5330528112497112,6.29245533415687e-10,0.2427154873240637,0.6615660356035787,0.8943382945678867,-2.628800280918898e-10,-2.728175722353369e-10,-2.069891449080232e-10
2,1.0108182407651969e-08,3.1377547206405027e-09,7.2369663372409985e-09,1.2551342930107793e-07,0.07892484968166938,3.1589308493888534e-05,0.4933500189221072,0.5255424985092271,2.7136270470805088e-09,0.24897311178240694,0.6533310533088496,0.8769208179425254,-9.125634996416245e-10,-9.449340553790488e-10,-7.169990270753571e-10
3,6.691084697246729e-09,1.0356451692879315e-09,4.644404990338332e-09,1.2855739044204181e-07,0.0798375599262953,1.401013043995441e-05,0.4910255706799546,0.5245677268424668,1.8534019255245115e-09,0.2481356905670397,0.6548134303049824,0.8757118365456508,-7.526948424729032e-10,-7.792015420691312e-10,-5.971390503414757e-10
4,2.740012730700225e-09,3.84294854870073e-11,1.8122136247062866e-09,1.734140481897456e-08,0.07984516580524284,1.5793793389430815e-06,0.4962989703687665,0.5227344030683272,8.086783903967159e-10,0.2503436932219836,0.6565540273972176,0.8749501646164793,-3.9026878655692106e-10,-4.0400626729791657e-10,-3.0712788552208687e-10
5,2.411192521205303e-07,9.210647528151986e-09,1.3794737331052785e-07,3.702260541150106e-06,0.07978484333974868,7.774577054210914e-05,0.5003318970891591,0.5226556094209253,7.803885166150321e-08,0.24911457762190625,0.6599896020629741,0.8812382164418446,-2.1260150933966282e-08,-2.2682321377350733e-08,-1.545884281534231e-08
6,2.0432192450030944e-07,8.955541605796786e-09,1.1239452694416883e-07,7.111400740826795e-06,0.0785526359129755,4.898368732826418e-05,0.4999323452089294,0.530787019533975,6.684033092971407e-08,0.2415720316823433,0.6673606507510609,0.8964917543387227,-1.5376401298485285e-08,-1.6598027042596807e-08,-1.0675937467722798e-08
7,1.360051881612916e-07,5.537830547687539e-09,7.626608416432827e-08,1.4993793798252787e-05,0.07798083410118703,1.6562915880559973e-05,0.4922840763883268,0.5214723877494025,4.383918479739916e-08,0.24866935876256285,0.6613302319569233,0.8817434738588109,-1.0855852521901558e-08,-1.1669680526103673e-08,-7.398269853648396e-09
8,2.136221653593196e-07,-5.481045653720938e-09,1.2233621790862596e-07,6.354946984600707e-06,0.07904149993963065,4.446071477455377e-05,0.4899691348711434,0.5128450444829512,6.192432832288883e-08,0.2463002316041893,0.663604564244333,0.8867198636554936,-2.6816868339275482e-08,-2.7923709223558235e-08,-2.117031158190614e-08
9,1.8639149947324444e-08,1.3236082641220362e-08,1.2698445043424087e-08,0.00014111277561860324,0.08036638281090433,1.1120930780383222e-07,0.490805238853102,0.5098856630536067,4.167126745498865e-09,0.2467700020065138,0.6637061325942772,0.8844822950545003,-6.426286266437551e-10,-6.612831913681549e-10,-5.060125047817482e-10
10,3.0707081593821706e-08,2.6038719790687808e-08,2.1581428009811187e-08,0.0006833038517570523,0.08063545071837817,1.2727593808753333e-07,0.4918357755752458,0.5070428048125253,6.444984345447508e-09,0.2521961193280289,0.6600419179417336,0.8631128641482928,-4.725926693607153e-10,-4.789297027834597e-10,-3.517088124704258e-10
11,2.4091224042192904e-08,1.9629393733133032e-08,1.6964403953356035e-08,0.00020077076434206004,0.08047345169791567,1.655288782598389e-07,0.4913732497806837,0.5122874795569538,5.247231981377666e-09,0.2546323485455089,0.657830818733047,0.8552886435374538,-2.701109732440969e-10,-2.8108275610898667e-10,-1.5503086098758185e-10
12,1.4193534798073503e-08,9.908940618205682e-09,9.668169777537792e-09,8.057197751802426e-05,0.08082403757171343,1.6454301135682659e-07,0.4927801665085367,0.5296643150559488,3.2371131245013416e-09,0.25267754675657644,0.6572601569408436,0.8584878934599023,-2.879964932510355e-10,-3.0483846770557925e-10,-1.735068239685826e-10
13,5.328104546542147e-09,2.806257866613444e-09,3.4206660711157136e-09,2.135199966876235e-05,0.08028667075482844,1.7873898399829732e-07,0.4984075271681505,0.5378622502852631,1.3130706423779867e-09,0.24802500567425065,0.6566284043310016,0.8758462737608149,-1.8538563359934614e-10,-1.97247349260581e-10,-1.2491681456209226e-10
