Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,2.224870289636125e-10,1.728376423453259e-10,1.8663397832390368e-10,8.396642032308403e-09,0.12871682073140722,0.051314282860074105,1.2623723264642932e-10,1.2979805453316984e-10,3.150027395038748e-11,2.379959897559735e-11,6.675884940423874e-11,7.756545171727773e-11,0.014898564786888016,0.001693780314872756,1.677439639998445e-10
2,1.96058183695703e-10,1.2615776022134152e-10,1.3434954085100486e-10,2.2042495745486788e-06,0.12748068600667656,0.050409778748417546,1.0219391793127144e-10,1.0780958429812987e-10,2.945229825523621e-11,2.1863401148620628e-11,5.7967593896067957e-11,7.064515704845509e-11,0.01364888119169697,0.003793509827104257,8.768084751274275e-11
3,2.339773981841472e-11,1.2916073544304053e-11,1.0139511130563946e-11,0.0009226702627525687,0.13127932021649608,0.050835076635201024,1.076268239609896e-11,9.759895149640717e-12,3.256017802654949e-12,2.822978172942939e-12,6.410466728871108e-12,6.376983101294652e-12,0.010046767916697041,0.01107414324339257,2.2075927103417842e-12
4,2.3189910429762413e-10,6.407441465187326e-11,2.3124243087033552e-10,0.00046223774895839845,0.1293936708264787,0.05082961428568782,6.241672445283576e-11,9.770210515483862e-11,3.934368820681374e-11,4.854989473572583e-11,-1.6486050105445392e-11,1.0773557469878256e-10,0.01772869046219716,0.007206559950761738,-6.047770592592834e-12
5,4.404004687768335e-10,1.1523275575944248e-10,4.523453506101071e-10,1.8052351642281811e-06,0.12750802143646134,0.05082415193617462,1.1407076650957256e-10,1.8564431516003653e-10,7.543135861097252e-11,9.427681129850872e-11,-3.9382566939761896e-11,2.0909416629627047e-10,0.025410613007697282,0.003338976658130907,-1.4303133895527452e-11
6,7.196946644611545e-10,2.8172666215298935e-10,6.145434048349345e-10,5.726121657628367e-06,0.1277633131673468,0.05112447826067437,2.542420073032024e-10,2.9795624516423366e-10,9.774859945829776e-11,1.0812351103020326e-10,4.908873793800948e-11,2.567851333806337e-10,0.027855994264207914,0.0016695816848330345,1.7838459429335772e-11
7,9.989888601454754e-10,4.482205685465362e-10,7.767414590597617e-10,9.647008151028552e-06,0.12801860489823222,0.05142480458517412,3.944132480968322e-10,4.102681751684308e-10,1.20065840305623e-10,1.219702107618978e-10,1.3756004281578085e-10,3.04476100464997e-10,0.030301375520718543,1.8671153516201087e-07,4.9980052754199e-11
8,5.368474990443857e-10,2.447664954382659e-10,4.160312250344803e-10,0.0005451615747908513,0.1273461524614546,0.055335018944351666,2.1697611042411688e-10,2.236883158855647e-10,6.471437708231625e-11,6.507990284796199e-11,8.062463219841241e-11,1.628067993980009e-10,0.02357277459883505,0.0025709324957007363,3.561910445590787e-11
9,7.470613794329612e-11,4.131242232999553e-11,5.5320991009198817e-11,0.0010806761414306738,0.12667370002467696,0.0592452333035292,3.953897275140158e-11,3.710845660269861e-11,9.362913859009489e-12,8.189594934026171e-12,2.3689221581043987e-11,2.113749833100479e-11,0.016844173676951558,0.00514167827986631,2.125815615761675e-11
10,3.7005898954568163e-09,1.65974584820834e-09,2.152672470390753e-09,0.004011982586940374,0.12661704269862273,0.06006181325039706,1.9806857881180357e-09,1.878552841737089e-09,4.794055910821066e-10,3.0215449350549164e-10,1.1181726544632822e-09,1.1017987979400156e-09,0.008422088064425903,0.016750305408590863,1.092509941756788e-08
