Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,9.448388625373283e-11,1.403666322160037e-10,5.57168383522685e-07,0.0409602951857244,0.5912365039452054,0.6157049795579894,2.1197182539264116e-10,1.0123007037353072e-07,4.371535508393431e-10,7.661335157220079e-11,1.0717088308945286e-10,1.3776227201764143e-10,3.4737627082191134e-10,0.031406620964632134,5.063996039389597e-10
2,3.850369261034664e-09,2.6157975025354633e-09,5.235018619963406e-07,0.03829473056794639,0.635459820459026,0.6531398288503506,2.573637996689143e-09,0.011396560296583652,1.2580427523113604e-09,7.584886774247189e-10,1.9739256286846006e-09,1.6421468735633161e-09,4.3976851132529026e-05,0.06928138831585924,8.658608571795965e-11
3,2.537202928863275e-09,5.096215189466332e-09,1.3187261014398849e-06,0.03965714120966466,0.6785809830306222,0.6849523161473857,5.227605650219553e-09,0.018301818316878767,-5.260107062242071e-10,9.803607516637842e-09,-1.194171327168125e-09,-2.7806069943384185e-10,2.3314371413574708e-08,0.0735241978489719,6.179556769707413e-09
4,2.448105207465529e-08,1.7942413579006463e-08,0.0007236084408140483,0.027768464233352767,0.7108672273620683,0.7077485130749379,3.48830340054794e-08,0.010392127580901085,6.932992667082049e-09,1.6245760348292498e-08,1.3342388181024364e-08,6.769327866713284e-09,2.8433374588966732e-08,0.06463356303647817,7.697295237879182e-09
5,1.5941226334021066e-08,1.3550289882129622e-08,0.0028088117066052357,0.021600271188118674,0.7373491030345861,0.7299657749492365,4.259830370498396e-08,0.0021038929344450795,-0.00390964250195121,3.105708904105871e-05,1.427727470085575e-08,6.392402541724956e-09,0.0016106449970776254,0.05126331668284276,-2.5755415584430785e-09
6,-3.310428027507523e-08,-1.3108310490311487e-08,0.00634629563101558,0.024898518993167352,0.7591670689563255,0.7531474749208962,1.922030402403597e-08,-0.0037931091429229177,-0.012399177649985877,9.845327604315753e-05,-4.406011335672004e-09,-4.572940917123562e-09,0.005096673806547143,0.03431130116961654,-2.5559069101374504e-08
7,-5.8499103701664785e-08,-2.7869269173039427e-08,0.013261898415528607,0.033524179183785974,0.777609306483667,0.774150724294128,-3.86707233967721e-09,-0.005195460541128789,-0.014689118423360443,0.00011662775603805775,-1.634160160582494e-08,-1.1014897750415335e-08,0.00603437289201862,0.01943492437269893,-3.333101146941103e-08
8,3.91312010522119e-09,3.431532199223276e-09,0.02548145826162784,0.043338223295261685,0.7939639969729907,0.7898326343731423,4.720067311531771e-09,2.568499015874125e-07,1.5265675992807435e-08,3.478297172229149e-09,4.836372213130892e-09,2.1783368012665624e-09,2.8372753159509417e-10,0.01229159416798931,2.0309072589514553e-09
9,1.0975081380117297e-07,5.64144342376734e-08,0.03768302980336954,0.05255085648592287,0.8085341112384876,0.7983170389277391,3.19185845191629e-08,0.009099923584939894,0.021629859674442028,1.3282057956913961e-05,4.165400732092575e-08,2.559328644636808e-08,5.3670181463500126e-08,0.010247625534564158,5.535356619549012e-08
10,3.3239732181126024e-08,8.50047973555916e-09,0.02325235017358291,0.051716383072923616,0.8221764646028176,0.7913168569635668,1.0702581119427758e-08,0.007853455058222695,7.9614180746413e-06,0.001352780853151345,5.421411567551668e-09,1.0495340053969511e-08,0.06695722122144482,7.04548771217318e-08,1.6361263873127986e-09
11,-2.6910388930967674e-08,-2.2495995939518764e-08,0.008771929977274048,0.046803448417694675,0.8294279705052547,0.7847754205715036,-3.873485822904059e-09,0.005054524218160341,-0.014677668818755412,0.0019318474829103827,-2.44141699375984e-08,-6.051498957055419e-09,0.11118021286013852,-0.006089783444026442,-2.8067214795135233e-08
12,-3.018433067371451e-08,-1.2875993661493075e-08,-0.00044082145706541556,0.03910512588741975,0.8293276193833123,0.7816626461383959,-4.566837206209547e-10,0.002617763130359275,-0.01238930196482277,0.0013585896145496103,-3.1699212542914006e-08,-1.6300983968302085e-08,0.11555273062528137,-0.0055227740541517216,-7.718570975409287e-09
13,-1.1079492228541383e-08,7.451637685745454e-09,-0.0004723508789291949,0.03540289275955639,0.8288671292603146,0.7837616580285692,6.7122905219759554e-09,0.0008354808987974476,-0.0039042988562612347,0.0004442294809447686,-2.50759973033478e-08,-1.8778236218282654e-08,0.09149426860306567,-0.0021943649533655916,2.2096291461991845e-08
14,-4.0932727768751774e-09,8.578049218306054e-09,0.012590894962189002,0.042478226311562055,0.8350382181595846,0.7928555806063481,3.392740000585556e-09,-1.3372547195723066e-08,-2.0329204593341e-08,-1.0685028403911603e-08,-1.3186805273852416e-08,-1.2008376945509285e-08,0.05042432087968352,-1.9719534920916323e-08,2.0791606132569387e-08
15,5.9883845206032035e-09,4.3657173277300505e-09,0.03312624601640358,0.054371493122197016,0.8467638509620332,0.8053420704272425,1.0676170861455618e-09,-2.1362853563626077e-11,1.5955149863193113e-09,4.13682691118965e-09,2.2446877699097552e-09,2.0249059382388703e-09,0.016301692054527545,3.695983833013449e-07,-3.932980099095913e-10
16,6.863366601481226e-08,5.0002026875998716e-08,0.03362528223627132,0.0446805136625234,0.8573585885176278,0.8056523219080427,2.1334870231046428e-08,8.013929245629794e-07,1.827297654802005e-08,4.914489531411865e-08,5.675306425571787e-09,8.492754097260368e-09,0.08093564175303096,0.0004784805100372627,1.5270559024748182e-08
17,1.3271199775714251e-08,1.4022759393654496e-08,0.04182786629728441,0.05677283666792299,0.8653136069708562,0.8222550896209028,6.135937569825398e-09,5.441474382229608e-08,5.497561175471737e-09,8.823270123264924e-09,5.153058275182229e-09,5.519176459276801e-09,2.1506924569577605e-08,0.04093221152962866,1.8111155850211282e-08
18,1.8875382716203084e-07,4.029317769039764e-09,0.03994318573624572,0.05916482013060252,0.8758511691455864,0.8359930337350621,1.193713535747334e-06,0.006497736002181727,0.0013504883580273577,0.010270602253201082,2.413472696587463e-07,9.618593433722237e-08,-0.018190008107487683,0.048622262917455944,1.7405171060210292e-08
19,6.227136815302923e-07,3.57808881747443e-08,0.027846669602174908,0.04841712327886939,0.8893057124034721,0.8436953590978541,2.9329737193086107e-06,0.018189199587029543,0.0036741651195845424,0.028067186008437623,5.864000328839233e-07,2.5955411963475027e-07,0.052197492890856546,0.018272895780530717,1.5144853769106926e-08
