Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,7.131945425548648e-08,7.437201750994783e-08,2.694839054930444e-08,0.02175409006554364,0.059113426589371736,0.028996293167537025,2.0321612414904068e-06,5.8556408366665746e-05,2.830926738704639e-09,3.950340456818601e-09,6.465750625553543e-06,0.2523176863118343,0.6956532767459279,0.08447998863139769,6.421823136581935e-10
2,4.8737018615557776e-08,5.123220651508642e-08,1.7784950985311176e-08,0.02082658011470331,0.057102204887658936,0.028662222664804112,7.511378820293345e-07,4.900425563091831e-07,1.890997757473537e-09,2.904896039049803e-09,0.0003718578285711065,0.25396230795352803,0.8066506395418168,1.6075687217705782e-08,4.121263744703072e-10
3,1.3779315759293243e-08,1.0044971325872098e-08,2.317836531058637e-09,0.020101273417621003,0.0601129890659977,0.02853129233767077,9.083410105375748e-07,1.2553872171120506e-06,5.342895776402823e-10,1.0817438989121603e-09,2.8708698964603834e-05,0.25717634051177896,0.8164322766793626,3.761052826777359e-09,6.80968687668952e-11
4,4.982217251010167e-08,4.698498380189847e-08,1.2614000652968894e-08,0.02004935332350329,0.06133858645912513,0.028453468185572917,3.5877240183946297e-06,2.9684159513274064e-06,1.6332354832607426e-09,2.6508297771894805e-09,0.00033745723607462046,0.2596537447178999,0.8324876129210679,1.1346668165461804e-08,3.255995717390018e-10
5,5.615915772012236e-09,4.956234167251255e-09,1.7014091776097827e-09,0.005152701088209662,0.06426255341285815,0.02428833704869966,3.2604050370505376e-07,9.303546100052796e-06,1.703063705355176e-10,2.2442874550968829e-10,4.3962544157892025e-08,0.2615228620465301,0.8533888399578721,1.425245597417024e-09,3.9602367716841705e-11
6,3.392459611783393e-08,2.989104655194639e-08,8.97349575208856e-09,0.0022755829311891683,0.06602636627218816,0.023859965885479388,6.772448116066749e-06,9.431877351967426e-05,8.882702598046751e-10,1.1484235997874485e-09,9.73404609158926e-08,0.2580890357623021,0.8589354901434549,7.035078121140801e-09,2.0900000243645727e-10
7,6.741394086563844e-08,5.798880666274233e-08,1.629909207707186e-08,0.0018730208252617864,0.06692112868103746,0.02283004841634092,0.002006359542932043,0.00012370825495504857,1.6341761954449245e-09,2.122230035833548e-09,3.8751101574859547e-07,0.2600354950622281,0.8625899787801642,1.1902682662624817e-08,3.809065566774239e-10
8,1.7241413718503622e-07,1.4346360341158915e-07,3.844491688211157e-08,0.0014105957599351287,0.06726618566419983,0.02268018853489857,0.0056690891559182475,0.0004245157055238497,3.855600845454617e-09,5.140576451441855e-09,0.003913442836548574,0.26260297086570245,0.8569368624221376,2.376432375538817e-08,9.036858432653001e-10
9,2.478394397485881e-07,2.914073131372018e-07,5.291558041525862e-08,0.00018594403806851376,0.06776257899514704,0.01924237892857748,0.008483170452135607,0.0004277716506364013,5.338138162629663e-09,7.072973523074505e-09,7.023229872273195e-05,0.2682103587600715,0.8676132047252942,3.295565164969248e-08,1.2444176985937274e-09
10,6.514170840037972e-07,5.53467491395827e-07,8.07092122819023e-08,4.737306972096417e-05,0.06945973926545587,0.016325154294509682,0.007182767081177272,8.487043173117935e-05,9.155212818539402e-09,1.384703418801601e-08,0.0007601549327860261,0.2595915239590938,0.8883107307723391,3.243967571492985e-08,1.9639608277786843e-09
