Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,5.904762933444249e-08,3.931483222495616e-08,2.1790422148967385e-10,-1.4386817574455044e-10,0.08372127976058702,0.013110542559974523,-1.5553841829985943e-10,-1.3231660525764426e-10,-5.1881444708992296e-11,5.463390038743027e-11,1.0869924169102295e-10,0.016731757545787512,0.09109236618838988,-5.685497190034353e-11,-1.1270912858029215e-10
2,7.22897106777144e-07,5.9833434749828275e-06,2.472004529314941e-10,6.862487885187447e-12,0.08558656783900304,0.01571598046337655,3.4584834285374773e-10,1.0510644302370783e-10,-1.1243445787623355e-11,1.1508187742277908e-10,2.050592652268016e-10,0.020351891885652056,0.10313591835595642,-2.292398162717895e-13,-1.0836399428883798e-10
3,0.007781601911369515,0.00696731957670599,2.2917496103697604e-10,-1.7199924697195267e-10,0.08975795218838374,0.02050998586546961,1.347475682463284e-09,1.5659908167819888e-10,-7.9551001177692e-11,6.13930737312615e-10,3.4068653199093863e-10,0.030024251929691995,0.12911930849715653,-2.861495837762658e-11,-2.1160844423466456e-10
4,0.008937058828942942,0.009938575983668057,1.9938030596163032e-10,-2.486878849901582e-10,0.09116932668216426,0.02193113323518347,8.441870446937974e-09,4.9392358154066545e-11,-8.870809956461131e-11,9.482699415906177e-10,4.35358183277292e-10,0.03123686068807415,0.13803107635120745,-4.362887837569748e-11,-2.3660389319674716e-10
5,0.00948927842334837,0.011288545350258795,1.8709979454022672e-10,-2.8584731703557737e-10,0.0922294703103294,0.021704076128484254,2.4597675674844743e-08,-4.8606030671869145e-11,-7.33837530099846e-11,1.759524373150444e-09,5.07476928416299e-10,0.02573964234296289,0.13513109374391571,-9.92344313642676e-11,-2.5708379994187167e-10
6,0.011810348898057377,0.012760249297349287,1.647700831455275e-10,-2.821805158064513e-10,0.0938021329460508,0.022175905696252825,1.922348960389916e-08,-1.0004331632745029e-10,-8.662496602530191e-11,1.892722594164127e-09,5.516660343726177e-10,0.027367417470395984,0.14263152179269772,-8.086709085904541e-11,-2.4694753332609843e-10
7,0.01908603285830356,0.012011825424042177,2.991121926804137e-10,3.644839372974857e-10,0.09657790000819658,0.02088708173398401,3.0095047400741998e-05,1.0874236851935197e-09,1.6308027049149747e-10,1.4920490012704026e-10,2.3933020058679267e-10,0.022018391764229636,0.1318456170727349,1.5759828930095854e-10,1.8554077545612227e-11
8,0.018080708231807012,0.008086921648989269,3.2294515470470426e-10,1.9619633008306544e-10,0.09526323158201752,0.01750745637436049,1.5061537574408567e-05,7.898910221302854e-10,1.0005836549461866e-10,7.575667319340201e-10,3.7806244870757847e-10,0.02221850607251169,0.1258041436920358,1.3602190792455498e-10,-6.921725126097201e-11
9,0.017075383605310468,0.004162017873936361,3.4677811672899483e-10,2.79087228686452e-11,0.09394856315583848,0.014127831014736969,2.802774807513576e-08,4.923583590670512e-10,3.7036460497739856e-11,1.365928563741e-09,5.167946968283643e-10,0.02241862038079374,0.11976267031133668,1.1444552654815141e-10,-1.5698858006755625e-10
10,0.010674182240483441,0.005102762918798471,2.051399913371714e-10,6.771284057040864e-11,0.08564749765402649,0.01417764744504985,4.5671579797115545e-09,8.286488930294477e-10,-2.2027390070318824e-11,3.6036834842222313e-09,4.2541147570633003e-10,0.01579158717306677,0.15307260490460795,-4.430908672665053e-11,-1.740892697080759e-10
