Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,7.429245667208552e-11,7.220077247019403e-07,2.4576597077611372e-11,0.03372379339546299,0.05825053455574203,1.0844879524703735e-11,1.27650589727816e-11,6.3560438929233385e-12,2.8323233848739836e-12,7.057948499492144e-13,6.794700208693949e-12,1.0137022400321334e-12,6.98703191592783e-13,2.6458523728537164e-13,1.0264768291230352e-13
2,1.6574830597409096e-07,0.0013428232363971234,1.8147853254804976e-11,0.034819260666626765,0.05768420139099744,7.823389161287133e-12,1.0765201969121457e-11,4.656962193397629e-12,2.1642499261888223e-12,5.036102711784982e-13,5.597822339214975e-12,7.066307681144578e-13,4.545063801903864e-13,1.8310512059213e-13,7.034825591549977e-14
3,0.00029507995362812987,0.0008702095594814762,1.2692054579296033e-11,0.036183232334175267,0.05793778570648919,5.548371624530831e-12,7.930657535022013e-12,3.247983408425503e-12,1.5191899781561097e-12,3.4884903240770654e-13,3.958778532995612e-12,4.853302176450454e-13,3.062470897980511e-13,1.259794717826281e-13,4.8158232753775026e-14
4,0.00040061846054666487,8.137668212958257e-09,7.375018198461184e-12,0.0293598213991128,0.05766638134166744,3.378877757258417e-12,4.512831551348065e-12,1.9036186231878508e-12,8.658190895576345e-13,2.0670996797988856e-13,2.1419167792830325e-12,2.9009901389540506e-13,1.8910251401507776e-13,7.592388234583829e-14,2.9054398190801917e-14
5,5.602237688790733e-10,3.51843149941926e-08,2.25355437577588e-12,0.01051083684013183,0.05637005771288287,1.08374111787332e-12,1.316766237951797e-12,6.161610865476408e-13,2.6836534194855217e-13,6.670068859378853e-14,6.426370495788024e-13,9.52424718528893e-14,6.276731721657649e-14,2.4593946710398656e-14,9.417328183902088e-15
6,1.6072802868526768e-11,1.0163498713229126e-08,1.1518638188427029e-12,0.005410776262251657,0.05821140555511468,5.172490273495741e-13,6.730875099432453e-13,3.123995230029809e-13,1.335475562526932e-13,3.31447656226681e-14,3.3441210191833487e-13,4.754878162493294e-14,3.3281068717156435e-14,1.197648910022904e-14,4.5292182142894156e-15
7,1.2558132380658919e-11,1.5147345680082522e-08,1.5463707293151408e-12,0.0064180532657678036,0.05884991668865978,6.767278809423921e-13,8.980820233040282e-13,4.1294448211475373e-13,1.7728220892498e-13,4.4258146577749526e-14,4.2337689803958976e-13,6.264944638332685e-14,4.3822956903958464e-14,1.5671734599571176e-14,5.91604266600668e-15
8,-2.7038046140972126e-06,9.280700327563678e-07,3.621119123518244e-11,0.007585712725173288,0.0589268839987397,1.4241753794379145e-11,2.325937583849872e-11,9.431415294958545e-12,3.952626112127754e-12,1.0370018950239783e-12,1.2709399057027206e-11,1.4341523334306065e-12,1.0436472243536207e-12,3.2550278556852324e-13,1.2223020950522758e-13
9,1.41762346395041e-09,5.314609981612389e-07,8.136027462285186e-11,0.0076713813304925375,0.059294383688521725,3.333086978988921e-11,5.231307989107322e-11,2.1778493043329615e-11,9.144681691731464e-12,2.414227110079696e-12,2.897665118949131e-11,3.3213783179580228e-12,2.3766738309998043e-12,7.618791289339307e-13,2.877456191045003e-13
10,4.6469774825271107e-07,7.257186629119388e-07,1.074915911592341e-10,0.006101898582482815,0.0605463993592322,4.784862137499658e-11,6.890550208669363e-11,3.038260487757824e-11,1.2818609175626769e-11,3.41570319914227e-12,3.895718811361277e-11,4.658504772575133e-12,3.2217694871233578e-12,1.0946308689936102e-12,4.1777067856189746e-13
11,9.897016334978333e-10,9.116149491460979e-07,1.0404519265129386e-10,0.007549279646058758,0.06119851487485317,4.840748120163159e-11,6.58795917560669e-11,3.0470336610364424e-11,1.2699180432932045e-11,3.415091128788171e-12,3.7780772940391696e-11,4.664375473767155e-12,3.242017982780936e-12,1.109913208643538e-12,4.2849510570247883e-13
12,-7.475257502926057e-08,4.899217790013462e-07,6.046113090599588e-11,0.016685539686135002,0.059766314099366676,2.5619921921724633e-11,3.6078298229899974e-11,1.7268274054348204e-11,6.5111673327656626e-12,1.7860518655938705e-12,2.057716878082819e-11,2.5578341980193053e-12,2.1005031080291958e-12,5.938813507796906e-13,2.361086183513042e-13
13,5.9147316871491845e-12,2.2187342016495803e-08,2.2897615490646665e-12,0.023477632358060184,0.05896625767988916,1.0251558149235064e-12,1.205310883954434e-12,5.778932251967381e-13,2.5443399492282345e-13,6.905844666512151e-14,6.776070385244812e-13,9.280980968450363e-14,5.531588562939955e-14,2.3036853623529497e-14,9.029515909803161e-15
14,5.666787119488851e-11,1.0163589517324073e-08,8.136338412022291e-12,0.02016666837433318,0.06071387214683266,1.8160021622051408e-12,5.436860519282032e-12,2.3161137791105602e-12,7.247400574414699e-13,1.941172056659968e-13,2.7713386378711107e-12,2.8632328480544397e-13,3.2375805497452447e-13,5.661513546093413e-14,1.1054445916159565e-14
