Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,9.79802464663884e-09,1.2390031587910526e-07,4.13659714919537e-08,0.00028246030609381344,0.7695836473472397,1.0740213575497626,2.3548307847785288e-07,0.017542828821365642,0.022405155611585167,1.2124164379720969e-08,0.020312080855630108,2.684250812544765e-09,1.1204737243234589e-08,3.984514814665541e-08,1.4539767227994795e-09
2,1.4597756236240276e-08,1.8090790344120468e-07,5.2632941476414326e-08,0.0010604044053705145,0.7691122251182473,1.0734426761652824,1.693551770020997e-07,0.01848373421497234,0.02473646159262576,1.06411282562836e-08,0.022247052922184558,3.6198265943940817e-09,1.5256391761535483e-08,6.026925794858606e-08,2.0698919356753527e-09
3,8.946410824896647e-09,1.2115450157900337e-07,3.31968594028305e-08,0.00348026916196676,0.768243943833528,1.077522927590963,1.1764386115259681e-07,0.017563263751207807,0.024437741761944926,8.59660324904274e-09,0.022056422571753977,2.3304058990753448e-09,9.860387743707191e-09,3.5026792729408274e-08,1.3147735621950467e-09
4,1.891052395629669e-09,4.549337405386824e-08,1.047286175383652e-08,0.00554160800833858,0.7677979725491395,1.0822300519750765,8.80764738397874e-08,0.017655768330618646,0.022860800972099717,7.079387832530162e-09,0.02170857616777884,8.033592961910899e-10,5.036257248604723e-09,1.1047145657796436e-08,3.789026628673043e-10
5,2.9366945933782026e-10,2.9097011582154554e-08,5.200648834425342e-09,0.005768271863507586,0.7681730943982048,1.0842674415551379,8.430139684381597e-08,0.020365580595205685,0.021193105843005444,6.833112866019272e-09,0.02248178160246908,5.283144960019254e-10,7.518834265620883e-09,2.0267489848810256e-08,1.6392978706528966e-10
6,2.275948638426565e-09,4.44148127001712e-08,1.1418176239024585e-08,0.004781301592757739,0.7680865488221112,1.0832802969256374,9.365116742363226e-08,0.02221696015278667,0.01996477006401056,7.220738747750038e-09,0.02289383288311245,1.0039277714007427e-09,1.0904160506299671e-08,3.4656118203050646e-08,4.1698343961985567e-10
7,4.65777020119998e-09,5.177100913790721e-08,1.9325990343210266e-08,0.003579660225455342,0.7664966654854806,1.0799744817066594,1.0390375659140595e-07,0.019860189040173504,0.01945958135304878,7.789207299839306e-09,0.02162226643633727,1.4790073245576565e-09,9.44736796701631e-09,2.821687175523273e-08,7.296421776418634e-10
8,7.792090888049585e-09,6.57122575801185e-08,3.04767453577173e-08,0.0025768095010337113,0.7650076786376078,1.0763567032636825,1.2093471489338104e-07,0.015529712044337778,0.01963337647296169,1.0202056500944858e-08,0.02074406225105613,2.1939405121193848e-09,1.31787420613196e-08,4.30646642909871e-08,1.2258068119045176e-09
9,1.00759238246006e-08,7.704219281751253e-08,3.758005416835322e-08,0.0022178174295879247,0.7648898107653834,1.0744617465854558,1.2612109259854915e-07,0.011860267918236238,0.020493080536589447,1.1733883171214198e-08,0.02223894145975031,2.7340426524324427e-09,2.489216093493395e-08,9.235806411192276e-08,1.7427625487562492e-09
10,3.915023369160838e-09,1.2861175746754687e-10,1.0386821386574235e-08,0.0031969549231776412,0.7641884993686491,1.074702203796866,4.356638309991731e-08,0.008259566109399813,0.02221990573386115,3.9364457838235735e-10,0.02454543297526067,8.031256113749288e-10,1.599473601703764e-08,5.971003015200403e-08,1.0582212332321437e-09
