Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,7.655267896436669e-10,8.122716277614208e-09,7.925898781265597e-09,1.45198328771094e-08,0.8319436901864591,1.132686239880749,8.020311131677649e-09,0.04874434858822208,1.521507307179239e-08,2.6121879339026917e-08,0.035572921470997734,8.761223397805468e-10,0.3670076013338913,8.519229529757248e-11,3.349492312777533e-09
2,6.470537343749592e-08,5.021151032488587e-07,5.574773700481514e-07,1.0478754329032482e-06,0.8343048084690889,1.134608415290164,6.490380534189941e-07,0.05274562940950762,1.5864277802682748e-06,2.122480401210099e-06,0.03865765243503188,7.38413810604642e-08,0.3741564610960221,8.110019460129612e-09,1.9174305415401927e-07
3,4.212270455869622e-08,3.275884289251137e-07,3.6410254858070807e-07,6.834399005344627e-07,0.832172123521454,1.1353730462397742,4.2307598707109577e-07,0.051358324951494755,1.035239192476363e-06,1.3864546395290765e-06,0.0371715581532162,4.818069781537733e-08,0.374901662138727,5.292830224629822e-09,1.2530793137019296e-07
4,5.9629818614035e-10,6.935654310957866e-09,8.233135530412341e-09,1.3173380565865588e-08,0.8285453193229254,1.1356952516356134,7.25305720694237e-09,0.04864913674929691,1.8469172405154136e-08,3.0172918050042497e-08,0.034504802683919346,9.231726892344132e-10,0.3739314823420439,1.0146834123229518e-10,3.250002273223433e-09
5,6.039676929024817e-10,7.484721647256333e-09,9.145156223011272e-09,1.3870346654998851e-08,0.8264997459031224,1.1359774400292688,7.442698166463067e-09,0.04828897586456897,1.861111358609133e-08,3.2577076561770335e-08,0.03383492258383713,9.781310503669784e-10,0.3755230927086924,1.0973671445979208e-10,3.73518648410582e-09
6,6.854523092594721e-10,7.869668883951507e-09,9.88954738541737e-09,1.3581826006650358e-08,0.8262453827802788,1.1346026691972906,7.82919382261856e-09,0.0477950617344436,1.8031999423154667e-08,3.2631049550982937e-08,0.03332668741498886,9.572196289997806e-10,0.3749898413837452,1.0104543563158352e-10,4.055732078331129e-09
7,6.129505106293698e-10,7.170380450656514e-09,9.22058327965422e-09,1.1412471664494043e-08,0.8263937953051204,1.132814148204658,7.111124679243867e-09,0.046123377552765965,1.2360151558121276e-08,2.5645382723857368e-08,0.029410677108039317,7.224338798855551e-10,0.3586005579437658,6.728472956006339e-11,4.3636816913910356e-09
8,8.639904549163794e-10,8.90819480459369e-09,1.106433682959763e-08,1.5019272713013516e-08,0.826990195996027,1.1312007653263176,9.703995072523428e-09,0.0438121203327041,1.5675111787544667e-08,2.9360125340895384e-08,0.02561403663233517,8.921798719430968e-10,0.3377228492462523,8.260729820268699e-11,5.500255077823677e-09
9,8.173015983041674e-10,7.98678452554538e-09,9.833968983674652e-09,1.3736998715830925e-08,0.8283930870210656,1.1301276363539334,8.988562778803943e-09,0.04191528959686165,1.443299827686809e-08,2.4757645483252872e-08,0.0255705462283456,7.942854938592717e-10,0.32518909574182964,7.695365760387805e-11,5.007554735577701e-09
10,7.532548657091819e-10,6.845057542197889e-09,8.361957976946308e-09,1.1902656729021386e-08,0.8310181055788353,1.1298080458072346,8.700439721924634e-09,0.042879474069155946,1.2848060058861328e-08,1.9788885746341504e-08,0.026563224955143093,6.670518353782206e-10,0.3164678754431407,7.098176500917729e-11,4.282878451537721e-09
11,7.220655032365685e-10,6.058974799655419e-09,7.328028447141317e-09,1.0541295535344403e-08,0.8342061540114648,1.1301416493665861,9.312045321903131e-09,0.04629210196584651,1.181801606326463e-08,1.629870087682743e-08,0.028043935802843704,5.646878075250337e-10,0.3123063826980005,6.844414326592778e-11,3.6767805594133935e-09
12,7.44654062600753e-10,6.645394039856906e-09,7.978049985570984e-09,1.1466200775281882e-08,0.833587009173129,1.130313096594448,9.922284175005996e-09,0.047231153860573236,1.2514930835749741e-08,1.7405276759295847e-08,0.02944083765307129,5.741457867061102e-10,0.3217192055806563,7.119797221264754e-11,3.895289274578037e-09
13,8.056750570735366e-10,8.45785263708048e-09,1.0112973423270016e-08,1.4457331599059502e-08,0.8295715994675797,1.1303464185437244,1.0486913441859414e-08,0.04541170998968135,1.4779646742122597e-08,2.273913913767118e-08,0.03044913910216676,6.885648379015962e-10,0.3425224723719626,7.897218854619404e-11,4.857131016728942e-09
14,7.921350145712975e-10,9.600717095055986e-09,1.1292634155135341e-08,1.6381157267549402e-08,0.8289957184631546,1.1312011519693848,1.1641571489953915e-08,0.044046271197602405,1.6485153431547088e-08,2.6965256590914767e-08,0.029811932846551835,7.798269745859696e-10,0.35259836468279837,8.828323260919465e-11,5.368636088676523e-09
15,7.084697923010505e-10,9.877272794095647e-09,1.1320331861375158e-08,1.6933656712053963e-08,0.832261574640378,1.1326947369432792,1.339137816221779e-08,0.04383369071277402,1.724480750771696e-08,2.9216999740400746e-08,0.027772471790199104,8.298042838627814e-10,0.3500069422770982,9.780840494079545e-11,5.336709056462566e-09
16,6.942880055885036e-10,1.000286551234293e-08,1.1456029228341722e-08,1.7424234259515344e-08,0.8349466253140566,1.1327722771415392,1.513141414873025e-08,0.04575458706139048,1.6865758943630837e-08,2.962962373541256e-08,0.02704718066052244,8.57847274878858e-10,0.34522638212758994,1.0309506843324584e-10,5.3964470135273554e-09
17,7.634033481416305e-10,1.0077108537620725e-08,1.1808270209615e-08,1.7999099083483458e-08,0.8363127510503091,1.1313895641239158,1.6575982296099355e-08,0.04900690170961567,1.590973132668485e-08,2.8647211073584736e-08,0.02795256416742481,8.699544524990564e-10,0.3405714957859389,1.035767743793324e-10,5.592753514186164e-09
18,8.590893668825655e-10,9.982335818722877e-09,1.1768355840322579e-08,1.822610189831558e-08,0.8363537779310407,1.130336243572777,1.6615818993894305e-08,0.047797664928238545,1.7939916208257165e-08,2.879900159144094e-08,0.029671225842910147,8.827663367656919e-10,0.3394529755894086,1.003074676435253e-10,5.559952790890357e-09
19,9.606366643950653e-10,9.676785910067762e-09,1.1221692771551493e-08,1.794456334806634e-08,0.8354147062813867,1.129718994345102,1.5293137237387178e-08,0.04274207538506629,2.232966595035879e-08,2.983874255448098e-08,0.0319052717196279,8.892873922989958e-10,0.34173620182592745,9.386569247005903e-11,5.256112670215795e-09
20,1.0005153092595317e-09,9.027556189371795e-09,1.0089419874696373e-08,1.6622556582706215e-08,0.8355717119702571,1.1283882439003958,1.3970478608641275e-08,0.04332429481615314,2.175590317367753e-08,2.775967771917999e-08,0.03368473446147078,8.309038867780394e-10,0.3432027638858016,8.666876945987052e-11,4.795315879166282e-09
