Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.0143095145487546e-08,1.1010550510080472e-08,1.660809928161789e-07,1.4185795864200415e-08,0.8591702883341085,0.7569745750828083,1.1278395330289071e-08,1.7507726037288692e-08,1.3510558235388791e-08,2.243012988269196e-08,2.024175736879657e-08,3.629856178894645e-09,0.0002461799144947458,3.23198945407631e-08,-7.508084081848363e-10
2,1.0076074445014031e-09,2.4075101943009085e-09,5.7734817381632724e-08,5.547746176223038e-10,0.8565958628172489,0.7609620613910069,3.1130341124614154e-10,3.465881587025659e-10,-5.746123075900453e-10,-4.2772030754023895e-10,2.1212706554083867e-09,-6.460009426905137e-10,-1.0000411591195347e-09,-1.0762310472947317e-09,-7.994733583203721e-10
3,1.9529395381338922e-09,2.435812051309752e-09,1.0152719368689092e-07,3.792774455933482e-09,0.8605752078329421,0.7569683302746145,2.3644711505275147e-09,-1.2946070651640192e-10,4.0573556860788295e-09,1.2855047359122116e-08,-2.2365766023114143e-10,6.395359537611497e-10,-7.269913560066027e-10,-4.41115121203251e-10,-9.032043457205406e-10
4,8.115396239320918e-09,8.092589232750663e-09,5.889054858602692e-08,9.057568556671529e-09,0.8692133002240193,0.7645666651042119,7.420405980466634e-09,1.5469405832840875e-08,5.174414144090167e-09,3.169726102109253e-09,1.9002862599509833e-08,1.7340629484353653e-09,1.8302033159451548e-08,2.521998358673609e-09,-1.5461537120272493e-09
5,3.289993970726335e-08,2.5855031931517726e-08,1.7354282091680736e-07,4.0674721274405143e-08,0.8776562931442422,0.7745821770297301,3.88095386905474e-08,8.004636066921448e-08,4.14986738603075e-08,4.218953570178602e-08,1.002423592238301e-06,1.2838521503617631e-08,-7.647720002937762e-05,7.013425643391024e-09,1.3539289431040502e-10
6,4.194427100442399e-08,3.0442511913154056e-08,2.282959081484076e-07,5.421515723978095e-08,0.8843880256462496,0.7841770717866311,5.177334645060578e-08,1.0540980959583132e-07,5.7843076053554235e-08,6.34950336529313e-08,1.3889020480147447e-06,1.8052113734364408e-08,4.554333498101488e-07,1.0159458034677731e-08,1.728362024530521e-09
7,1.0760060539999464e-08,7.475033413289669e-09,4.6387078876219236e-08,1.487218237416875e-08,0.8884640027122791,0.7922757276708366,1.1835822170574953e-08,2.4304836263215884e-08,9.995069403185087e-09,6.789790315148762e-09,3.98841716376477e-08,4.254179764803122e-09,0.00034332536194714176,8.09413638228914e-09,6.042209542316861e-10
8,1.3212861790210492e-08,2.9533421196283897e-08,1.6194716662997322e-07,7.94504664188621e-09,0.8886465528478772,0.7966587315072242,6.406359257535878e-09,-3.7006274482576812e-09,7.441363729899966e-09,-7.3341699004254075e-09,4.594257713187067e-07,-3.9592903175004484e-10,0.00021101086683253677,-5.237320598955394e-10,-1.5012536645464826e-09
9,2.223911036865996e-08,4.519028876858086e-08,2.922369696066032e-07,1.7273271088336896e-08,0.8887143827571703,0.8000377555517889,1.539628843929596e-08,3.97258500124568e-09,2.2792925646925328e-08,1.401422549290616e-08,1.0706406179549395e-06,1.1281658992595164e-09,1.6756531726449468e-08,-4.6387315919397485e-09,-2.990676230129379e-09
10,4.009451315812321e-09,4.953495240417902e-09,1.2377886807905052e-07,1.2401331800011881e-08,0.8908069436569687,0.8039468554294851,6.781690631477131e-09,3.058474936878355e-09,1.283784302890712e-08,3.302078912488162e-08,1.5136101022898735e-07,1.0541487208352198e-09,-1.4173207506676835e-09,-2.32049141693087e-09,-1.9098999994264307e-09
