Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.5333754662737568e-08,1.5566438938127545e-08,0.001972983953605088,8.200145771531596e-07,1.0232638391506632,1.1094383707500457,1.950368220899373e-08,3.5478343726355603e-07,2.4987471651641827e-08,1.0305409949381677e-08,0.012113710391146408,4.85240125475539e-09,2.699825334386307e-10,7.081611674857408e-10,-6.553997643653167e-10
2,4.524526272247937e-09,5.120707937373499e-09,0.005360500605460668,2.2871543409928038e-06,1.02519001927324,1.0959504221596572,8.955811670815995e-09,1.0096696419473047e-07,5.5729967487848e-09,4.787883284245006e-09,0.017797396744558425,8.692944080559816e-10,-7.085013607638899e-10,-2.2264642186591307e-09,-1.501272346176569e-09
3,8.228652216569156e-09,8.453929536666221e-09,0.003780884735252412,1.95336198419915e-06,1.0268994777242186,1.0996209401868013,1.2584825030511897e-08,8.60117597203968e-08,1.020800856190576e-08,6.229289694151114e-09,0.01591298882596384,2.0030195181102988e-09,-7.735802380102032e-10,-1.4406645453600653e-09,-1.537457745273002e-09
4,1.5314103082351644e-08,1.4928739743301786e-08,0.0011946760004861875,1.3232186449632679e-06,1.0282963747836138,1.1069944084903764,1.944698513000523e-08,1.5918901747605194e-07,2.106483813759708e-08,9.181598973417827e-09,0.012824749195973793,4.3986408533884055e-09,-3.9612475120178407e-10,3.175616638360329e-10,-1.228379652215142e-09
5,1.6948740757979882e-08,1.61801048527658e-08,0.0005676657727988173,1.538473048486106e-06,1.0292933519344414,1.1080829477630403,2.088470292445621e-08,1.9932189254602525e-07,2.3917881643983177e-08,9.48158646960924e-09,0.013063801985374296,4.977959280603074e-09,-1.0403008299317115e-10,8.53694108223543e-10,-1.0268452992597445e-09
6,1.3499992338774607e-08,1.2932312313301976e-08,0.0008866522803509555,2.289544268008134e-06,1.029836975471722,1.1067692268324891,1.7384981821970692e-08,2.0344138580997557e-07,1.894979573531653e-08,8.105249743274552e-09,0.013828717605650787,3.769722059437915e-09,-6.532895350511549e-10,1.871253784619699e-10,-1.339196085448474e-09
7,7.909633414322794e-09,8.238415554405081e-09,0.0006233533061463874,2.980916690896115e-06,1.029927499856891,1.1083718732577104,1.1975788071588948e-08,1.9391504496623883e-07,1.0397343903712066e-08,6.997138638348723e-09,0.011844305216604036,1.714710787853878e-09,-2.3988717445902625e-09,-1.052088739254724e-09,-2.332551410887963e-09
8,4.217268344340192e-09,5.37721077781592e-09,0.00016815799603760943,3.324665612982474e-06,1.029746007405035,1.1100828013878214,8.70434683314324e-09,1.7624875919252956e-07,4.305456506606383e-09,6.8367899193246765e-09,0.00927288269059676,2.9489802395044085e-10,-3.8635485720037065e-09,-2.0051525679598747e-09,-3.263608513159796e-09
9,6.736958681074727e-09,7.683929878336808e-09,0.0003911233365892937,3.1097640572160512e-06,1.0295187873946543,1.107062247269471,1.1872697994163825e-08,1.5173300303640713e-07,7.171105617766483e-09,7.987487080834824e-09,0.009636145078132154,1.1275540658617108e-09,-3.112042683479374e-09,-1.7560854579936456e-09,-3.1614590892143e-09
10,1.4893355018749368e-08,1.4417441230709932e-08,0.001466749493301418,2.3846137099328133e-06,1.0296293379883978,1.0980805840265941,2.0493969038250176e-08,1.1471060343009169e-07,1.898962131039943e-08,9.626299900398712e-09,0.01376029622188445,4.088818175893039e-09,7.29384302652617e-11,-2.0930015325702458e-10,-1.7882489691896774e-09
11,1.4052302661075517e-08,1.3233236070342408e-08,0.0014941063984479498,1.962886720564593e-06,1.0307497017906417,1.0931286186779239,1.859065239772202e-08,5.110618753059695e-08,2.0811647163873474e-08,7.91574911344819e-09,0.014314758525726582,4.008992309998482e-09,7.680381669774027e-10,2.603347293517066e-10,-1.1739958238626587e-09
12,6.685590120092818e-09,6.518749876202989e-09,0.000703895367369244,1.8279071401197838e-06,1.0323479659104455,1.0929268376620884,9.556386358741874e-09,1.73862976241947e-08,1.5433710790600775e-08,4.7533650437574195e-09,0.011774196755760847,1.6519947361582629e-09,-7.42924153793227e-10,-2.979720156424919e-10,-1.4243926887458735e-09
13,7.638444494291843e-10,1.363495068165873e-09,3.3614766438426147e-05,1.6905548291541362e-06,1.0335519263620017,1.094975613003366,2.9498237719156453e-09,8.938986668330599e-08,1.2714221311394426e-08,3.766983841464344e-09,0.009238459070604116,-2.995694406836698e-10,-2.4448390259138755e-09,-1.0238938924686426e-09,-1.980787907238956e-09
