Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.5333754662737568e-08,1.5566438938127545e-08,0.001972983953605088,8.200145771531596e-07,1.0232638391506632,1.1094383707500457,1.950368220899373e-08,3.5478343726355603e-07,2.4987471651641827e-08,1.0305409949381677e-08,0.012113710391146408,4.85240125475539e-09,2.699825334386307e-10,7.081611674857408e-10,-6.553997643653167e-10
2,4.524526272247937e-09,5.120707937373499e-09,0.005360500605460668,2.2871543409928038e-06,1.02519001927324,1.0959504221596572,8.955811670815995e-09,1.0096696419473047e-07,5.5729967487848e-09,4.787883284245006e-09,0.017797396744558425,8.692944080559816e-10,-7.085013607638899e-10,-2.2264642186591307e-09,-1.501272346176569e-09
3,9.91931467729979e-09,1.0024723840337641e-08,0.003277588302973428,1.8051864929780357e-06,1.0267431970284269,1.1014724153250168,1.4201398400410613e-08,1.300779908353912e-07,1.331891744319094e-08,6.984741128831416e-09,0.015311072970266109,2.6339676307221938e-09,-5.52313055982837e-10,-9.544512774115489e-10,-1.3648259991958556e-09
4,1.5314103082351644e-08,1.4928739743301786e-08,0.0011946760004861875,1.3232186449632679e-06,1.0282963747836138,1.1069944084903764,1.944698513000523e-08,1.5918901747605194e-07,2.106483813759708e-08,9.181598973417827e-09,0.012824749195973793,4.3986408533884055e-09,-3.9612475120178407e-10,3.175616638360329e-10,-1.228379652215142e-09
5,1.4407047710563124e-08,1.393052602830188e-08,0.0010406641404185715,1.8063814564857008e-06,1.0290666751276678,1.1068818176614328,1.8415983475987963e-08,1.8131520164301375e-07,2.0007316936456806e-08,8.643424358346188e-09,0.01332673340081229,4.0841814564131606e-09,-5.247071431264696e-10,2.523435211490014e-10,-1.283787868831808e-09
6,1.3499992338774607e-08,1.2932312313301976e-08,0.0008866522803509555,2.289544268008134e-06,1.029836975471722,1.1067692268324891,1.7384981821970692e-08,2.0344138580997557e-07,1.894979573531653e-08,8.105249743274552e-09,0.013828717605650787,3.769722059437915e-09,-6.532895350511549e-10,1.871253784619699e-10,-1.339196085448474e-09
7,1.124564778620798e-08,1.118285150164692e-08,0.0007214759657637349,2.562950864410773e-06,1.0297309127793661,1.106866900311483,1.5547553879368405e-08,1.862052582187861e-07,1.502356569613318e-08,8.06599552246131e-09,0.012431193429811242,2.8889993949125134e-09,-1.4728739178605612e-09,-4.6061156702323525e-10,-1.9466170867037495e-09
8,8.991303233641354e-09,9.433390689991864e-09,0.0005562996511765143,2.836357460813412e-06,1.0296248500870102,1.106964573790477,1.3710125936766114e-08,1.689691306275966e-07,1.1097335656949831e-08,8.026741301648066e-09,0.011033669253971699,2.008276730387112e-09,-2.2924583006699675e-09,-1.1083485125084405e-09,-2.5540380879590245e-09
9,6.736958681074727e-09,7.683929878336808e-09,0.0003911233365892937,3.1097640572160512e-06,1.0295187873946543,1.107062247269471,1.1872697994163825e-08,1.5173300303640713e-07,7.171105617766483e-09,7.987487080834824e-09,0.009636145078132154,1.1275540658617108e-09,-3.112042683479374e-09,-1.7560854579936456e-09,-3.1614590892143e-09
10,1.4893355018749368e-08,1.4417441230709932e-08,0.001466749493301418,2.3846137099328133e-06,1.0296293379883978,1.0980805840265941,2.0493969038250176e-08,1.1471060343009169e-07,1.898962131039943e-08,9.626299900398712e-09,0.01376029622188445,4.088818175893039e-09,7.29384302652617e-11,-2.0930015325702458e-10,-1.7882489691896774e-09
11,1.0183518162309306e-08,1.0066125843195245e-08,0.0009890379176804207,2.1532607496732544e-06,1.0309368674462658,1.0970455936855181,1.4645920616138666e-08,1.0627035784782979e-07,1.6897821310731095e-08,7.67319454742059e-09,0.012253017171457672,2.6260223037008022e-09,-7.663207217944507e-10,-4.808313996608972e-10,-1.8524286152061035e-09
12,5.473681305869246e-09,5.714810455680559e-09,0.0005113263420594234,1.921907789413695e-06,1.0322443969041337,1.0960106033444421,8.797872194027156e-09,9.783011226556789e-08,1.4806021311062762e-08,5.720089194442467e-09,0.010745738121030893,1.163226431508566e-09,-1.605579873854163e-09,-7.523626460647698e-10,-1.9166082612225297e-09
13,7.638444494291843e-10,1.363495068165873e-09,3.3614766438426147e-05,1.6905548291541362e-06,1.0335519263620017,1.094975613003366,2.9498237719156453e-09,8.938986668330599e-08,1.2714221311394426e-08,3.766983841464344e-09,0.009238459070604116,-2.995694406836698e-10,-2.4448390259138755e-09,-1.0238938924686426e-09,-1.980787907238956e-09
