Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.199998046094369,1.1999726704973803,1.1999998118766648,0.9563605766628656,1.5585242134849914e-07,7.692463816309587e-07,6.250386339331801e-08,6.782585383713505e-08,9.492120125413018e-09,4.076888149768646e-09,9.729325069729388e-09,5.925533415555281e-09,1.9051411842377304e-09,3.874445721084235e-09,1.1999999482368842
2,1.1999978286654862,1.1999529509291833,1.1999998032786343,0.9580412359408864,1.6336796556605006e-07,8.983311471112463e-07,6.436712543850372e-08,6.291692783809067e-08,1.0093449907380548e-08,4.274232518376851e-09,1.0342597516737941e-08,6.234615575422243e-09,1.979077813664343e-09,4.062356994664165e-09,1.1999999428686428
3,1.1999966519049177,1.1999199969439154,1.1999997134353153,0.9600128026189582,2.473580536620865e-07,1.6128501159619025e-06,9.095583854887608e-08,1.7695344578695312e-07,1.5502590047680624e-08,5.964133259277249e-09,1.4410914474718846e-08,8.560482347520691e-09,2.6094803498436956e-09,5.785959625531828e-09,1.199999857652086
4,1.1999953261820924,1.1999003527368441,1.1999996162065643,0.9622387857422781,3.405621940405255e-07,2.2837018576588537e-06,1.2359878678221408e-07,3.045131891752809e-07,2.1098217727787538e-08,7.764533444108136e-09,1.8823324604300198e-08,1.1044306431112241e-08,3.27572713235887e-09,7.646189514853606e-09,1.1999997602646453
5,1.19999466186644,1.1999205625032392,1.1999995854522385,0.9646826943560436,3.757198951052843e-07,2.2817849416780272e-06,1.4362475419629668e-07,3.4017393949463273e-07,2.22590101291756e-08,8.293376144507814e-09,2.0468876566110112e-08,1.182726052545851e-08,3.4571965007929504e-09,8.243982563795885e-09,1.1999997183837532
6,1.1999950448035817,1.1999724455597751,1.1999996442520575,0.9678084617376186,3.2861557884694283e-07,1.5568289896713362e-06,1.442098094780749e-07,2.516730847200088e-07,1.7712169000316186e-08,7.165197493362731e-09,1.840886832419831e-08,1.038610328335562e-08,3.016176172340241e-09,7.166332553112792e-09,1.1999997580288435
7,1.1999953914387234,1.1999636129690576,1.1999996645254776,0.9718449082874264,3.063472097543847e-07,1.592968313163579e-06,1.5261474303885328e-07,2.21881533073529e-07,1.5889010665495427e-08,6.868105347464508e-09,1.7992807040605736e-08,1.0038588800908244e-08,2.9096899155980928e-09,6.858779996149745e-09,1.1999997787788632
8,1.1999952358194963,1.1999588754601638,1.1999996628256262,0.9710410697855001,3.0377478819620203e-07,1.6571351608723019e-06,1.594931439295017e-07,2.190005897894742e-07,1.4970932114262723e-08,6.796759489377693e-09,1.792818966408833e-08,9.932788277811668e-09,2.8778733136414155e-09,6.7567397778041505e-09,1.199999789531044
9,1.1999948500761837,1.1999703730378175,1.199999657956588,0.9672772936857311,3.0761848143838264e-07,1.5459221040479296e-06,1.6124690912748325e-07,2.2248830751671088e-07,1.4095310111836431e-08,6.677662976077537e-09,1.767729531200492e-08,9.715923076427817e-09,2.8151935826382474e-09,6.5961645372256615e-09,1.1999998002152015
10,1.1999946336860272,1.1999834052105778,1.1999996562951167,0.9649009578118759,3.127800264333504e-07,1.3835666742818701e-06,1.5904111678999306e-07,2.339931521794135e-07,1.3561012290395567e-08,6.598479813413821e-09,1.749129564778885e-08,9.535339192492627e-09,2.763926211790373e-09,6.459562548566917e-09,1.1999998109714225
