Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.199998046094369,1.1999726704973803,1.1999998118766648,0.9563605766628656,1.5585242134849914e-07,7.692463816309587e-07,6.250386339331801e-08,6.782585383713505e-08,9.492120125413018e-09,4.076888149768646e-09,9.729325069729388e-09,5.925533415555281e-09,1.9051411842377304e-09,3.874445721084235e-09,1.1999999482368842
2,1.1999978286654862,1.1999529509291833,1.1999998032786343,0.9580412359408864,1.6336796556605006e-07,8.983311471112463e-07,6.436712543850372e-08,6.291692783809067e-08,1.0093449907380548e-08,4.274232518376851e-09,1.0342597516737941e-08,6.234615575422243e-09,1.979077813664343e-09,4.062356994664165e-09,1.1999999428686428
3,1.1999968256507019,1.199926932159908,1.1999997300408558,0.9599626472664847,2.3241378968270573e-07,1.4626552388764055e-06,8.679477259291803e-08,1.5318192913678958e-07,1.4452262215404264e-08,5.650180317197985e-09,1.3707859621460156e-08,8.138354257500347e-09,2.4907646036031963e-09,5.469397392235478e-09,1.1999998726201855
4,1.199995281383684,1.199901788132345,1.1999996139195719,0.9621420293391749,3.4305918453090533e-07,2.282747939194957e-06,1.24262530630657e-07,3.076142161629224e-07,2.1214854351656983e-08,7.79978598390191e-09,1.8911169579680984e-08,1.1092022721474985e-08,3.2879579802515485e-09,7.684802136514135e-09,1.1999997575916377
5,1.19999466186644,1.1999205625032392,1.1999995854522385,0.9646826943560436,3.757198951052843e-07,2.2817849416780272e-06,1.4362475419629668e-07,3.4017393949463273e-07,2.22590101291756e-08,8.293376144507814e-09,2.0468876566110112e-08,1.182726052545851e-08,3.4571965007929504e-09,8.243982563795885e-09,1.1999997183837532
6,1.1999950448035817,1.1999724455597751,1.1999996442520575,0.9678084617376186,3.2861557884694283e-07,1.5568289896713362e-06,1.442098094780749e-07,2.516730847200088e-07,1.7712169000316186e-08,7.165197493362731e-09,1.840886832419831e-08,1.038610328335562e-08,3.016176172340241e-09,7.166332553112792e-09,1.1999997580288435
7,1.1999953914387234,1.1999636129690576,1.1999996645254776,0.9718449082874264,3.063472097543847e-07,1.592968313163579e-06,1.5261474303885328e-07,2.21881533073529e-07,1.5889010665495427e-08,6.868105347464508e-09,1.7992807040605736e-08,1.0038588800908244e-08,2.9096899155980928e-09,6.858779996149745e-09,1.1999997787788632
8,1.1999953012504796,1.199960546679904,1.199999666517587,0.9715144695911393,3.012578005154868e-07,1.6220611543848676e-06,1.5857941976083685e-07,2.1576662141814438e-07,1.4837638070798715e-08,6.747502625098972e-09,1.7826631666989344e-08,9.868261514891875e-09,2.858609922749104e-09,6.707339271952258e-09,1.1999997915190028
9,1.1999948397266136,1.1999739308932826,1.1999996594534277,0.9670020185616747,3.0716477456512626e-07,1.4974168539374472e-06,1.5996387726287423e-07,2.213922546208891e-07,1.401113154783942e-08,6.6332698844946266e-09,1.7567171803581907e-08,9.649893952295031e-09,2.7954017598295856e-09,6.550079819347264e-09,1.1999998013553501
10,1.1999946336860272,1.1999834052105778,1.1999996562951167,0.9649009578118759,3.127800264333504e-07,1.3835666742818701e-06,1.5904111678999306e-07,2.339931521794135e-07,1.3561012290395567e-08,6.598479813413821e-09,1.749129564778885e-08,9.535339192492627e-09,2.763926211790373e-09,6.459562548566917e-09,1.1999998109714225
