Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.199999997296102,1.1999999976477331,1.1999999979567142,1.1999999943517363,1.4112540776472025e-09,2.330038662264187e-09,0.27345353648437354,0.14372389671327312,3.6370165376299495e-09,7.282145099361672e-10,1.5441590871816226e-09,6.050513560645463e-10,1.5294393432439268e-10,1.8679222206369558e-10,1.1920577533697372
2,1.1999999941317503,1.1999999948786066,1.199999995674026,1.1999998984924438,2.381232625154841e-09,2.8355719924020134e-12,0.26689157388100243,0.1383423001076562,3.9231380549556795e-09,-2.1953308452475087e-11,3.0963895247634025e-09,6.358210953571326e-10,-1.552901216071536e-09,-1.916250570673733e-10,1.1920346314948784
3,1.1999999694143724,1.1999999724737649,1.199999977570529,1.1999998533097547,1.7817890558300746e-08,2.993511245983604e-08,0.2683470678292185,0.1468736835628029,3.281695383763375e-08,7.2638237722969535e-09,1.5821212379528598e-08,6.021382996743426e-09,-1.7963930101434716e-09,2.5072365586148305e-10,1.1920402427225874
4,1.1999999446969942,1.1999999500689231,1.1999999594670323,1.1999998081270655,3.325454849144665e-08,5.986738934767968e-08,0.2698025617774346,0.1554050670179496,6.171076962031182e-08,1.4549600853046381e-08,2.8546035234293794e-08,1.1406944898129718e-08,-2.039884804215407e-09,6.930723687903394e-10,1.1920458539502965
5,1.1999996346249833,1.199999666694418,1.1999997204394388,1.1999972335721023,1.8955543172126913e-07,3.339575733652634e-07,0.2692475847643008,0.1584342957402488,1.0721940734268293e-06,8.720879931108924e-08,2.519537233645675e-07,8.514211859355565e-08,1.9062576445044965e-08,2.539844135572481e-08,1.1904460717241374
6,1.1999993245529723,1.199999383319913,1.1999994814118453,1.1999946590171389,3.458563149510916e-07,6.080477573828471e-07,0.2686926077511669,0.161463524462548,2.0826773772333465e-06,1.5986799776913212e-07,4.753614114948413e-07,1.5887729228898157e-07,4.016503769430534e-08,5.010381034265928e-08,1.1888462894979783
7,1.1999990144809614,1.1999990999454078,1.1999992423842518,1.1999920844621756,5.021571981809141e-07,8.821379414004309e-07,0.26813763073803304,0.1644927531848472,3.0931606810398638e-06,2.32527196227175e-07,6.98769099625115e-07,2.3261246598440751e-07,6.126749894356571e-08,7.480917932959375e-08,1.1872465072718192
8,1.1999999978392342,1.1999999980837452,1.1999999983745164,1.1999999937624792,1.1513884614487358e-09,2.05098500900849e-09,0.2668310905733102,0.14958446100203115,3.0040444302622303e-09,5.968522344390392e-10,1.213825506685701e-09,4.828686735778264e-10,1.039180499398663e-10,1.3734247805622472e-10,1.187607839315908
9,1.199999995649724,1.1999999961547325,1.1999999967290509,1.1999999885844308,2.2094639256260206e-09,3.946752030133777e-09,0.26281582654150737,0.14228665204362562,5.5343151426405514e-09,1.084391211992099e-09,2.421082921069261e-09,9.43378791658521e-10,2.377825853549743e-10,2.994767749489059e-10,1.186811853971369
10,1.1999999934602141,1.1999999942257198,1.1999999950835856,1.1999999834063826,3.2675393898033056e-09,5.842519051259064e-09,0.2588005625097045,0.13498884308522008,8.064585855018871e-09,1.571930189545159e-09,3.6283403354528213e-09,1.4038889097392155e-09,3.716471207700823e-10,4.6161107184158713e-10,1.18601586862683
