Frame,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
1,1.1999887661216402,1.1516783779721498,1.1042227276992231,0.9546055160239404,0.03156904858004892,0.03613857946705777,5.108868224387265e-09,7.701161806549473e-07,-4.459441061631909e-09,-1.2315362558034032e-08,-1.0555730729034791e-08,-1.0221866416741567e-08,-1.948965736729798e-08,-2.5152306840543364e-09,1.2000000091904552
2,1.1999845517015173,1.153653336807747,1.1042191648783621,0.9394268501276528,0.03149823278367154,0.044816304083757835,3.942894040658103e-09,6.364746072874406e-07,-3.968728085960642e-09,-1.2808227212984364e-08,-1.1038382475221104e-08,-1.0680938629326493e-08,-2.0323222050072515e-08,-3.2318297736375123e-09,1.2000000089801277
3,1.199981760778685,1.1432677648963983,1.1036724635078756,0.9451285166048629,0.03247501227432747,0.03738188196869312,1.3005352337115572e-08,6.466937834723876e-07,-7.074823120730591e-09,-1.636420397666577e-08,-1.3920766528574135e-08,-1.3300573274968144e-08,-2.5755959824383616e-08,-2.337069715362445e-09,1.200000012865378
4,1.199980894343348,1.1313090449809358,1.1030657196702858,0.9538066396790736,0.03413623821618198,0.02667156506354605,2.1091902892150068e-08,5.76968848774866e-07,-8.994889553055297e-09,-1.872228954267908e-08,-1.5719742261564302e-08,-1.5083064372053565e-08,-2.948704093615341e-08,-6.629349112316667e-10,1.200000016214376
5,1.199981479316383,1.127114662071188,1.1027686430247932,0.9496151677825386,0.03594170032264943,0.02428051579545753,1.9835458280942497e-08,2.747225139759933e-07,-6.184694796791754e-09,-1.6745417982322614e-08,-1.3903646723596644e-08,-1.3795634736572996e-08,-2.688021896443904e-08,8.660031519434708e-10,1.2000000153702104
6,1.1999776712818135,1.1219852297691357,1.1021009150314711,0.9449010461677632,0.036829029889224305,0.022762197077178453,2.6259535284235966e-08,1.6732020637201247e-07,-6.075863012400702e-09,-1.717721356178136e-08,-1.4181345976278866e-08,-1.4027857154145652e-08,-2.7922993908050593e-08,1.6942219653100417e-09,1.2000000161823947
7,1.1999709277890909,1.1165421918826988,1.1021615248414158,0.942016691972482,0.03739721844198152,0.02097656613435338,4.515606403939867e-08,1.940326656598389e-07,-8.039706876140131e-09,-1.9088769981132896e-08,-1.553250808986467e-08,-1.5037715051278684e-08,-3.1399442102975685e-08,2.610022498583499e-09,1.2000000182320836
8,1.1999632525883392,1.1126146993226993,1.1040541143142502,0.9410713516613284,0.038339355800583806,0.018949745770741367,7.650605896688019e-08,2.2491221399060392e-07,-9.910021528876453e-09,-2.05714568606816e-08,-1.611544124658906e-08,-1.5467392837024606e-08,-3.458149798055172e-08,4.290542958366657e-09,1.2000000201752654
9,1.1999520784676228,1.1087496083085322,1.1071262811612095,0.9409529464481994,0.03915766302205256,0.016232192367780163,1.0846754254591204e-07,2.720137733858436e-07,-9.893325918720878e-09,-2.249055398797326e-08,-1.671085217994757e-08,-1.621166919227482e-08,-3.838381011168751e-08,5.513284257130751e-09,1.2000000223104588
10,1.199932544727148,1.1050521212396671,1.1110645836493394,0.9413559960748142,0.0397500886137031,0.01290133280965107,1.4984638663113947e-07,3.52463744231233e-07,-8.173341477881956e-09,-2.5209410969073546e-08,-1.740045326835841e-08,-1.730211905884395e-08,-4.360250653782218e-08,6.44792164114528e-09,1.2000000250569895
