,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
1,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
2,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
3,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
4,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
5,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
6,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
7,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
8,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
9,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
10,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
11,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
12,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
13,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
14,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
15,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
16,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
17,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
18,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
19,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
20,-0.2040573,-0.1568064,-0.19838262,-0.06743876,1.0353428,1.1326306,0.06755711,0.036661096,0.13032159,0.15856302,0.21007825,0.017960355,0.10658994,0.07468,-0.08414757
21,-0.09008324,-0.041065287,-0.098646656,0.029675951,1.048435,1.2570432,0.041069873,-0.0049314126,0.10295662,0.090366535,0.13743465,-0.024441853,0.19150366,0.08653617,-0.012975052
22,0.03298018,0.045927197,0.021417879,0.090569094,1.0045296,1.2613659,0.08779028,0.047041245,0.0947433,0.06585415,0.11608896,-0.0019472241,0.23601691,0.07341974,0.02762486
23,0.0006379187,0.008527536,-0.0029913634,0.05074764,0.9568878,1.2273152,0.07363608,0.05122204,0.12715378,0.047814894,0.10733729,0.043156967,0.2482629,0.08482417,0.00453946
24,-0.032618567,-0.018486705,-0.031609386,0.024647854,0.944277,1.2222733,0.045654804,0.042323582,0.13364758,0.04240698,0.10198869,0.060273424,0.251319,0.08865231,-0.01295808
25,-0.029886998,-0.01561432,-0.028909445,0.024636947,0.94609225,1.2293555,0.028123938,0.043716572,0.12757866,0.042139173,0.09775026,0.065088734,0.25253683,0.083500415,-0.014022589
26,-0.021940723,-0.009683132,-0.021388471,0.026626257,0.9445383,1.2294978,0.018234544,0.05054251,0.12274458,0.041461714,0.09572227,0.07380602,0.251979,0.07711819,-0.012039244
27,-0.018830597,-0.006780889,-0.018046193,0.026459986,0.94174725,1.2275907,0.0115522,0.05628545,0.123171225,0.03717873,0.09339497,0.08598657,0.25038743,0.074501194,-0.009552538
28,-0.01857593,-0.005849831,-0.01721508,0.024924044,0.9394781,1.227598,0.006909676,0.060912274,0.12585473,0.030488508,0.090195514,0.09794745,0.24995516,0.074101664,-0.0067111105
29,-0.018629856,-0.005789321,-0.016676947,0.022420472,0.9378641,1.2296994,0.0042341202,0.06593769,0.12784812,0.023608705,0.08694573,0.10792005,0.25102866,0.073491134,-0.0041760355
30,-0.017978303,-0.0059339963,-0.015574165,0.019428307,0.93681514,1.2326925,0.0031239986,0.07166962,0.12850875,0.017844027,0.08423165,0.11561912,0.25228572,0.071844846,-0.002230078
31,-0.01660809,-0.0058862083,-0.013907582,0.016564203,0.9359475,1.2351605,0.0029257163,0.07744111,0.1285486,0.0133268405,0.08196251,0.12146788,0.2524541,0.06956663,-0.00058059394
32,-0.014983177,-0.0055699237,-0.01206962,0.014151063,0.93475187,1.2362418,0.003220804,0.08260418,0.12864104,0.0095787775,0.07973409,0.12608425,0.25141543,0.067301854,0.0011086166
33,-0.013740785,-0.005283773,-0.010599494,0.0119764805,0.932992,1.235907,0.00393451,0.0870054,0.12878773,0.006243885,0.07733314,0.129862,0.24995919,0.06529805,0.0027435496
34,-0.0132378265,-0.005387474,-0.009806581,0.009582479,0.9308099,1.2345839,0.005169578,0.09088638,0.1285222,0.0033932687,0.07491235,0.13284948,0.248865,0.06334608,0.0039087012
35,-0.013062499,-0.0057738014,-0.009322874,0.006870389,0.9284355,1.2324349,0.007040441,0.094541416,0.12755969,0.0012738002,0.072729185,0.13501458,0.24828757,0.061140105,0.004463114
36,-0.01267384,-0.0060348175,-0.008627474,0.0042387545,0.9257866,1.2289183,0.009524323,0.097823426,0.12659147,-0.0002635601,0.07073332,0.13679184,0.24763279,0.05888009,0.004876092
37,-0.012884311,-0.006485317,-0.008389689,0.0018375069,0.9232335,1.224388,0.012210213,0.100023255,0.12674621,-0.0016718186,0.06861292,0.13873008,0.24634086,0.057215925,0.0054652616
38,-0.014722362,-0.0078591965,-0.009524956,-0.00067707896,0.92234826,1.2213689,0.014374137,0.10082949,0.12770705,-0.0028447001,0.06634517,0.14029714,0.24471821,0.056138933,0.005743623
39,-0.016909778,-0.00951051,-0.010924868,-0.0029355139,0.92382044,1.221255,0.015741229,0.100881286,0.12835349,-0.0034090444,0.06425111,0.14077413,0.24285544,0.05501422,0.005693108
40,-0.017622769,-0.010273773,-0.01099401,-0.004184626,0.92681736,1.2231185,0.016464628,0.100872435,0.12823299,-0.0033230348,0.062566616,0.1402247,0.24046437,0.053484056,0.00587596
41,-0.02088873,-0.0126612,-0.013593525,-0.006878555,0.929252,1.2249119,0.017247356,0.100858845,0.12694517,-0.0027022096,0.061970077,0.1393514,0.23782061,0.052021656,0.004436977
42,-0.020465434,-0.012299839,-0.012895703,-0.0068684407,0.93137914,1.2258645,0.017509624,0.100322984,0.12678501,-0.0023668031,0.06101036,0.13832727,0.23363958,0.05088633,0.005095683
43,-0.017434575,-0.010296162,-0.00974907,-0.005231872,0.9345868,1.2283026,0.01722201,0.10004312,0.12643099,-0.0020808424,0.059760027,0.13706377,0.23057015,0.049628515,0.0069151
44,-0.014593817,-0.008460145,-0.006799735,-0.003759496,0.93710643,1.2302464,0.016906574,0.10021858,0.12576292,-0.0019858791,0.058973297,0.13639455,0.22827686,0.048570808,0.008570269
45,-0.013762094,-0.007839959,-0.005773142,-0.003200248,0.938258,1.2306381,0.016414031,0.09996828,0.12568617,-0.0023046057,0.058424123,0.13642183,0.22567312,0.048246514,0.009561032
46,-0.014203683,-0.007975254,-0.006002836,-0.0031719394,0.93887365,1.2305708,0.015596025,0.0991523,0.1259536,-0.002878075,0.057738185,0.13649921,0.2230487,0.048437864,0.01010555
47,-0.014740862,-0.008204911,-0.006384887,-0.0032619834,0.93940353,1.2306912,0.014611252,0.098215826,0.12593362,-0.0034358888,0.05694773,0.13633768,0.22079988,0.04862615,0.01042448
48,-0.01481998,-0.008215416,-0.006401524,-0.0032918975,0.93978065,1.2308353,0.013613194,0.097426035,0.12548524,-0.0038740742,0.056184575,0.13604201,0.21885417,0.048594676,0.010652773
