,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
1,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
2,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
3,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
4,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
5,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
6,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
7,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
8,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
9,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
10,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
11,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
12,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
13,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
14,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
15,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
16,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
17,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
18,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
19,1.0670192e-07,3.2528797e-07,0.1298285,0.06965097,1.1999997,1.1706918,0.21467979,0.046555728,0.042598587,0.45429298,0.40182564,8.596738e-07,4.7000665e-08,1.2655897e-08,1.0064053e-08
20,-0.27128145,-0.20288074,-0.2593164,-0.1013433,0.92534673,0.8730041,0.082229085,0.1968326,0.04539717,0.18602158,0.3397917,0.1481199,-0.043007117,0.0019047186,-0.15136863
21,-0.11250256,-0.045309577,-0.12860781,0.04942464,1.0695009,1.0283113,0.048821688,0.19359064,-0.07268757,0.18736279,0.29510713,0.086693674,0.051097527,-0.016012892,-0.03651686
22,0.02455816,0.0550383,0.010070831,0.120214105,0.9911532,0.933792,0.03023126,0.17201927,-0.040787205,0.15135552,0.25758594,0.114991054,0.043650553,0.007530898,0.06474483
23,-0.0070551783,0.016992789,-0.008645758,0.08710742,1.0029641,0.9314834,0.025805451,0.16753818,-0.013833672,0.14738043,0.2649843,0.15030487,0.038906068,0.011374237,0.0493351
24,-0.015639886,0.008248653,-0.010746583,0.07709865,1.0171975,0.9459692,0.022457354,0.17304479,-0.013101459,0.1454443,0.27373514,0.16420269,0.044819094,0.008916512,0.042633057
25,-0.021207891,0.0024282373,-0.010916948,0.07030514,1.0305448,0.96238095,0.01705008,0.17676958,-0.0130912885,0.14479151,0.28023726,0.17032823,0.050007775,0.004976511,0.03697908
26,-0.020068884,0.0014636554,-0.006246567,0.06663807,1.0407715,0.9766907,0.011842877,0.17833751,-0.010028079,0.1412614,0.2834403,0.17434283,0.051767632,0.002448488,0.035062924
27,-0.017389573,0.0015826002,-0.0014395416,0.06393174,1.0506878,0.99122465,0.006194718,0.17811328,-0.006587364,0.1368144,0.28589004,0.17715207,0.05237925,0.0006368384,0.033717602
28,-0.013567187,0.0027064644,0.0035901517,0.062113307,1.0599123,1.0053691,0.00021550804,0.17688356,-0.003126882,0.13144904,0.28768283,0.17917575,0.052433625,-0.00035046786,0.032782286
29,-0.009682745,0.004023019,0.008248955,0.060508367,1.0685378,1.0189759,-0.005956985,0.17501244,8.6955726e-05,0.12560691,0.28887427,0.18034865,0.052463718,-0.0008474067,0.031676218
30,-0.0056139827,0.0057299323,0.012911424,0.05917807,1.0763738,1.0317543,-0.012142628,0.17267734,0.0030216426,0.1193982,0.28919238,0.18047275,0.052612245,-0.0010509118,0.030611359
31,-0.001476638,0.007774595,0.017622896,0.058017306,1.0834229,1.0436699,-0.018296339,0.16991086,0.0057044476,0.11294188,0.28842297,0.17936586,0.052896842,-0.0011494756,0.02963125
32,0.0028211921,0.0102373175,0.022511125,0.056993045,1.0896719,1.0547427,-0.024419405,0.1667713,0.0082754195,0.106191956,0.28635424,0.17695126,0.05318652,-0.0012143925,0.028846785
33,0.007256709,0.013068613,0.027521797,0.05597185,1.0951884,1.065102,-0.030580781,0.16335985,0.010863721,0.09908769,0.28289017,0.17323574,0.053354017,-0.0012729242,0.028220788
34,0.011684328,0.016115073,0.032460444,0.054784276,1.1001297,1.0749369,-0.036882214,0.15980199,0.013578132,0.09164682,0.27807286,0.16827369,0.053280286,-0.0013079196,0.027592734
35,0.015746988,0.019080874,0.036962777,0.0532592,1.1048634,1.0845749,-0.04337407,0.15619883,0.016466454,0.084095515,0.27204937,0.16210522,0.052889362,-0.0012998916,0.026668847
36,0.019197654,0.021811206,0.040796515,0.051435083,1.1097941,1.0943468,-0.049935125,0.15259182,0.019499294,0.07680271,0.26489052,0.15470731,0.052157626,-0.0012428388,0.025265157
37,0.02220565,0.024519732,0.04409717,0.049649283,1.1150254,1.1043282,-0.05626204,0.14897564,0.02256184,0.07009164,0.25647375,0.14600638,0.05113685,-0.0011454746,0.023506247
38,0.025250252,0.027646398,0.04723202,0.048321955,1.1202706,1.1142868,-0.061976604,0.14538994,0.025496237,0.06409166,0.2465802,0.13597721,0.049952507,-0.0010166019,0.02171491
39,0.028620534,0.03140056,0.050376493,0.04756859,1.1251943,1.1239651,-0.06674562,0.14198977,0.028253138,0.05873213,0.23509091,0.124774285,0.04870245,-0.00084566325,0.020051867
40,0.03227813,0.03566654,0.053431027,0.047196798,1.1295702,1.1331744,-0.070428185,0.13893883,0.030964375,0.053828105,0.22209139,0.11272402,0.047352836,-0.0005726032,0.018445149
41,0.042137556,0.045407377,0.06016816,0.04939147,1.1286808,1.1384159,-0.07308147,0.13812013,0.030079067,0.048580114,0.20870233,0.09954296,0.048780143,-0.0006863475,0.019323185
42,0.0545287,0.055733867,0.06779468,0.050797224,1.1218754,1.1374445,-0.0787551,0.13464263,0.031503893,0.04126275,0.19395313,0.08673124,0.04867688,0.0009790361,0.021107644
43,0.05136929,0.05231297,0.06335521,0.042464584,1.1288296,1.1480019,-0.08436974,0.13035221,0.039329983,0.03427337,0.17811345,0.07646724,0.044376194,0.0031077042,0.012891807
44,0.052584056,0.054518156,0.06284137,0.040285595,1.1346015,1.1576138,-0.088067345,0.12604418,0.0434716,0.029648988,0.16203925,0.06513861,0.041662037,0.005044505,0.008490168
45,0.05418063,0.057937838,0.06288831,0.04013001,1.1387333,1.1655997,-0.08999162,0.12150153,0.043392956,0.027754692,0.14567894,0.052683905,0.04209937,0.005662434,0.005315788
46,0.056450885,0.06194893,0.064028226,0.04064099,1.1401516,1.1701509,-0.09040745,0.11697592,0.04400018,0.02624301,0.12952077,0.041363552,0.041953474,0.006579373,0.0035990477
47,0.058511987,0.065558314,0.06518018,0.041077614,1.1403797,1.1728001,-0.09044852,0.11226954,0.04600365,0.024456574,0.11413784,0.031717405,0.04089003,0.007939823,0.0024231002
48,0.06063678,0.06913636,0.06635677,0.041930072,1.1400458,1.1744049,-0.090438806,0.10757863,0.048077635,0.022624562,0.09997758,0.023646504,0.03997259,0.009425495,0.0017102733
49,0.06272213,0.07259507,0.06749016,0.04312759,1.1394199,1.1752788,-0.0904206,0.10298925,0.049552307,0.020980092,0.08720537,0.016919658,0.039682798,0.010778712,0.0013046116
