,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
1,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
2,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
3,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
4,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
5,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
6,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
7,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
8,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
9,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
10,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
11,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
12,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
13,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
14,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
15,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
16,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
17,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
18,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
19,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
20,0.21540901,0.1875035,0.22852036,0.21388686,0.6067945,0.515069,-0.09037504,-0.09726513,-0.1919248,0.27114943,-0.012483507,-0.1264262,0.18120842,-0.10481941,0.17288914
21,0.12641874,0.09267697,0.18929186,0.16771266,0.6051226,0.4760242,-0.17461956,-0.18014225,-0.004130073,0.17565237,-0.025447845,-0.024958268,0.1071489,-0.02062232,0.15674123
22,0.007818647,-0.018312473,0.119761005,0.083183825,0.59418136,0.44411892,-0.15794784,-0.16224751,0.12247176,0.10591417,0.015279576,0.11084589,0.032125942,0.031099489,0.08909347
23,-0.027520314,-0.035052437,0.08725398,0.07705442,0.57497495,0.4185375,-0.1502187,-0.15615433,0.10277252,0.113887765,0.037012547,0.15329346,0.04607155,0.02977248,0.060248137
24,-0.028335147,-0.020277161,0.07252477,0.09225271,0.54610574,0.382214,-0.14656079,-0.14763245,0.06875648,0.1381967,0.061150596,0.1822759,0.07170592,0.020950552,0.052656174
25,-0.023891762,-0.008227188,0.06538513,0.09906024,0.49982876,0.3278054,-0.13259733,-0.12822825,0.06697561,0.14736632,0.09587051,0.23282734,0.07313307,0.023466105,0.046395674
26,-0.019403554,-0.00047871843,0.06020852,0.101371035,0.4494754,0.27204096,-0.11550083,-0.109837435,0.068659306,0.15390818,0.12924118,0.28357714,0.068262264,0.027486056,0.039181054
27,-0.015380748,0.0058006644,0.05436323,0.102816515,0.40369004,0.22370143,-0.09971868,-0.09544281,0.063563004,0.16412887,0.15686117,0.32526344,0.06545614,0.028827537,0.03330969
28,-0.01221209,0.0104376,0.04848654,0.10246606,0.3660949,0.18537906,-0.08399928,-0.08220256,0.057751004,0.17547625,0.17997645,0.36104417,0.062104806,0.029175842,0.029267706
29,-0.010149375,0.013005737,0.043341078,0.09974351,0.33776188,0.15776965,-0.06656163,-0.06786419,0.054375738,0.18627807,0.20012984,0.39343968,0.056894623,0.029546812,0.026360974
30,-0.009596646,0.013634261,0.03858292,0.095363885,0.31878245,0.14077708,-0.047717653,-0.052363224,0.05207093,0.19723234,0.21790378,0.42194712,0.051377118,0.029547583,0.023654938
31,-0.0106845945,0.012759108,0.03380043,0.09037259,0.30831158,0.1331215,-0.028879859,-0.03663782,0.049515687,0.20894983,0.23372844,0.44598246,0.04692202,0.028851181,0.020558283
32,-0.013136163,0.010882024,0.028988957,0.08556918,0.30471796,0.13268782,-0.0110527575,-0.02148714,0.046649,0.22130147,0.2483492,0.4663154,0.043723695,0.027589098,0.016783103
33,-0.016354263,0.008647967,0.024399608,0.08163598,0.30624342,0.13740632,0.0052771643,-0.007521309,0.043686353,0.23401797,0.2625003,0.48426175,0.041557,0.026011508,0.012240335
34,-0.019467175,0.0069087744,0.020460792,0.07929059,0.31157643,0.14584309,0.019510217,0.0044247583,0.040580876,0.24689506,0.27646342,0.50057036,0.040351316,0.024288949,0.007116489
35,-0.021254674,0.006699711,0.017934315,0.079284914,0.32020122,0.15752456,0.030127063,0.012701802,0.037104115,0.25939295,0.28962743,0.51438,0.04029417,0.022526495,0.002086565
36,-0.019973487,0.009250477,0.018197611,0.08233656,0.33245212,0.17303692,0.034059737,0.014356524,0.032976277,0.27004525,0.30005804,0.52224195,0.041800186,0.020808402,-0.0013568103
37,-0.01503402,0.014364488,0.022015005,0.0874211,0.34695542,0.19118842,0.031056866,0.009274982,0.02898945,0.2770819,0.30722415,0.5238026,0.0441264,0.01948196,-0.0021385252
38,-0.010084182,0.018119399,0.026616283,0.089979544,0.3569737,0.20458283,0.030487917,0.006521344,0.027861618,0.28131646,0.31662744,0.5317361,0.04395675,0.01929968,-0.0025760382
39,-0.008408457,0.01761125,0.028993212,0.08695055,0.35712498,0.20705317,0.042980734,0.016115911,0.03096608,0.28588384,0.3338384,0.5588829,0.0387962,0.020545378,-0.0051673055
40,-0.013540551,0.010316942,0.025491476,0.076623216,0.34716216,0.1974976,0.0778376,0.046459563,0.03765817,0.2956228,0.3628059,0.61312395,0.028005928,0.022753019,-0.012395874
41,-0.03607457,-0.009393733,0.007321611,0.061691113,0.34889388,0.19601016,0.119280934,0.08231363,0.0379804,0.31285414,0.38888437,0.65328836,0.020996392,0.022604614,-0.028866023
42,-0.035778694,-0.009209026,0.009375818,0.06239628,0.35182542,0.19449438,0.165567,0.12002471,0.03780079,0.326154,0.41203356,0.69082624,0.014122292,0.022570048,-0.027854368
43,-0.029248282,-0.0019757114,0.014293015,0.070185736,0.36719716,0.2082364,0.18574211,0.13383165,0.02668649,0.33968213,0.4216004,0.69889534,0.018569976,0.019330272,-0.022614121
44,-0.031215638,-0.00226783,0.013394095,0.07213997,0.3865853,0.22645152,0.2048245,0.1471108,0.020683043,0.3503752,0.43419263,0.7091431,0.019703671,0.016842835,-0.023511842
45,-0.031418256,-0.0025831424,0.015157707,0.07346021,0.40458262,0.24284653,0.22384766,0.15977043,0.02071625,0.3553685,0.44665697,0.72231615,0.016362555,0.016051043,-0.023725167
46,-0.030224413,-0.0018790327,0.017514385,0.07563517,0.42273992,0.2593971,0.23967692,0.16941571,0.019880883,0.35898605,0.45708,0.7335914,0.013938613,0.015256681,-0.023723707
47,-0.028884634,-0.00075816736,0.019162476,0.078385465,0.44208664,0.2770291,0.25141463,0.17575648,0.017597474,0.36225855,0.46569762,0.74246395,0.013154507,0.014253635,-0.023969606
48,-0.027561925,0.00015356764,0.020398937,0.08087773,0.46202302,0.29493967,0.2599446,0.17964959,0.01609087,0.36415544,0.47318852,0.7510245,0.012224428,0.013625836,-0.02438283
49,-0.02611804,0.00081338733,0.02143722,0.08302378,0.48236924,0.31295842,0.26574823,0.18151559,0.0154412985,0.36487493,0.47974753,0.759817,0.0109649375,0.013373002,-0.024887249
50,-0.024524696,0.0014103241,0.022281297,0.085102774,0.503491,0.33153307,0.26885337,0.18139143,0.014914416,0.36508793,0.48537874,0.76829654,0.009943247,0.013271894,-0.025414914
51,-0.022812285,0.001976613,0.023030907,0.08716228,0.5255252,0.35085505,0.26952922,0.17947662,0.014524192,0.36496443,0.4902354,0.7763955,0.009138182,0.013294721,-0.025904551
52,-0.021024503,0.002421677,0.023827724,0.08907345,0.54840773,0.37093788,0.26832497,0.1762017,0.014569446,0.364491,0.49453977,0.78434646,0.00824336,0.013481209,-0.02635713
53,-0.019209206,0.002673205,0.024774574,0.090732306,0.5721085,0.3918708,0.26582912,0.17206107,0.015124977,0.36378473,0.49846372,0.79217565,0.007116884,0.013810145,-0.02679649
54,-0.017413974,0.0027076788,0.025942229,0.09210253,0.5966445,0.4138075,0.26244298,0.16741663,0.01607231,0.36303025,0.5020682,0.79957026,0.0058043897,0.014214024,-0.027210742
55,-0.015686661,0.0025247037,0.027397417,0.09318541,0.6220148,0.4368899,0.2583237,0.1624346,0.017272048,0.36234903,0.5053136,0.8059579,0.00440678,0.014623383,-0.027547196
56,-0.014062986,0.0021417588,0.029224768,0.09400736,0.6481661,0.46121508,0.25345224,0.15713325,0.018648073,0.36175084,0.5080957,0.8106098,0.0029973686,0.014986629,-0.027726337
57,-0.012556836,0.0016055033,0.031527035,0.09462607,0.67499113,0.4868313,0.24769834,0.15143505,0.0201727,0.36115578,0.51026666,0.8127012,0.0016205311,0.015267763,-0.027653784
58,-0.011196375,0.0009893291,0.03432066,0.09515524,0.70217603,0.5135112,0.24072117,0.14506692,0.021703698,0.36049566,0.51164436,0.811502,0.00042185932,0.015418995,-0.027239755
59,-0.010102704,0.00036130473,0.03740965,0.09579267,0.7292593,0.5407278,0.23172319,0.13729846,0.02292747,0.3597299,0.51199955,0.8065133,-0.00029197335,0.015370376,-0.026459202
60,-0.009370901,-0.00012104213,0.04058574,0.09688702,0.7562428,0.56837255,0.21937546,0.12684907,0.023652785,0.35860735,0.5109652,0.79705983,-0.0002689734,0.01508509,-0.02530016
61,-0.009017348,-0.00020256266,0.04370135,0.09882766,0.7833061,0.59652585,0.20224968,0.112337284,0.023887612,0.35666645,0.5081191,0.78258914,0.00057451427,0.014589045,-0.02370818
62,-0.009151004,-0.0005380027,0.047087394,0.100249015,0.8083837,0.623579,0.18293114,0.09639877,0.026236713,0.3525573,0.5042603,0.76580334,-0.0001399517,0.01457921,-0.02194117
63,-0.008929282,9.410828e-05,0.05087363,0.10271133,0.83256036,0.64999807,0.16113205,0.078645386,0.027392715,0.3482776,0.49902594,0.7458857,0.00021903962,0.01425489,-0.019531071
64,-0.008622013,0.0004562065,0.055259943,0.10403772,0.8520194,0.67226845,0.14049228,0.06262179,0.031105742,0.34179586,0.49367833,0.72736406,-0.0016278028,0.014663216,-0.016784728
