,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
1,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
2,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
3,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
4,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
5,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
6,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
7,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
8,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
9,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
10,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
11,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
12,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
13,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
14,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
15,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
16,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
17,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
18,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
19,0.11600817,0.1284656,0.04555017,0.07891884,1.1624705,1.129226,4.117963e-09,1.3139848e-08,0.37809724,0.0026277213,0.40521494,0.006900503,2.656952e-10,-8.4463947e-10,-9.975166e-10
20,-0.14971139,-0.0911717,-0.16412398,-0.08132703,0.79565203,0.79283047,-0.27457553,-0.3041908,-0.36115634,0.1520062,-0.13420418,-0.33475447,0.23260523,-0.16232339,0.01309143
21,-0.21461374,-0.06439307,-0.20491803,-0.059801385,1.0266777,1.0308217,-0.16897172,-0.16184756,-0.1165926,0.048657168,-0.058610916,-0.14610519,0.19989051,-0.054298185,-0.011734962
22,-0.04582435,0.034327216,-0.028060757,0.038632147,0.8270225,0.8339321,-0.045985915,-0.03667625,0.13555694,-0.06509478,-0.011118978,0.024115786,0.039515108,0.06366194,0.012339473
23,-0.005968526,0.034832355,0.032030866,0.04701697,0.7541649,0.76018727,-0.057429157,-0.053860985,0.09297269,-0.064603366,-0.021811247,0.03456466,0.06533505,0.061122976,0.027530909
24,-0.068114415,-0.020196702,-0.014480516,0.007719584,0.7498491,0.7631529,-0.10427552,-0.10383528,0.0019032806,-0.055361934,-0.047263533,-0.011051074,0.12725358,0.034846134,0.005982235
25,-0.08285421,-0.042437654,-0.02389732,-0.002464138,0.6953178,0.71301216,-0.089070685,-0.08573798,0.036814637,-0.09511615,-0.051878154,0.00732781,0.09982504,0.045664728,-0.018777713
26,-0.057013348,-0.032090414,-0.0029188693,0.008253198,0.6261739,0.6481013,-0.066173755,-0.059977822,0.041395046,-0.1094413,-0.050172836,0.024448797,0.08918147,0.04713794,-0.016741738
27,-0.05950421,-0.036883537,-0.006630346,0.00591065,0.59034705,0.6178303,-0.063378386,-0.05536645,0.010459475,-0.10865491,-0.057055965,0.0144640505,0.09954888,0.03639102,-0.019966811
28,-0.06903876,-0.04524507,-0.016809866,0.0010490306,0.57112086,0.6048637,-0.05474814,-0.043166317,0.004229769,-0.11896691,-0.06772049,0.0084258765,0.089233354,0.032037787,-0.03220497
29,-0.06752789,-0.042816047,-0.01855585,0.0018922761,0.5698183,0.60963136,-0.042523943,-0.027061097,0.0019194856,-0.1267576,-0.0810069,0.0032678992,0.07632375,0.027431492,-0.038745567
30,-0.06653106,-0.03749435,-0.020801634,0.0019518882,0.5955974,0.6412559,-0.03679829,-0.019586794,-0.007957183,-0.128521,-0.09905711,-0.010258555,0.0717746,0.019369723,-0.041130707
31,-0.06105192,-0.028051946,-0.01851333,0.003909368,0.6332574,0.6847731,-0.032050677,-0.015159555,-0.011343859,-0.13148181,-0.11985773,-0.02494049,0.06732844,0.01462706,-0.039416984
32,-0.043469526,-0.010223519,-0.0045741647,0.012529459,0.66528016,0.722411,-0.02346214,-0.008663885,-0.006820619,-0.13489509,-0.13821042,-0.034930542,0.06322877,0.014705297,-0.030610487
33,-0.019523695,0.010593817,0.016044796,0.024854809,0.68500763,0.74606556,-0.011780269,0.0003254488,0.0024533272,-0.13812144,-0.1508638,-0.037135765,0.05908735,0.017387075,-0.017620161
34,-0.007911086,0.01947568,0.026750088,0.029210819,0.6974177,0.75962573,-0.0051329285,0.006386213,0.009157777,-0.14161943,-0.15802252,-0.034413457,0.05389659,0.017509354,-0.009296641
35,-0.021075085,0.008409243,0.016418919,0.018817386,0.7128014,0.7749052,-0.008753024,0.0051586404,0.010249481,-0.14598309,-0.16330957,-0.034765497,0.04887674,0.013949396,-0.013647109
36,-0.039154455,-0.006022509,0.0009634197,0.0063686855,0.72993547,0.7921112,-0.014911838,0.0015904084,0.0085622,-0.14984292,-0.16759402,-0.037371412,0.04564181,0.010037165,-0.021602526
37,-0.046562493,-0.011735074,-0.0063458085,0.0009772852,0.74388987,0.8060895,-0.017981924,-0.0008483976,0.0055140927,-0.15060198,-0.1693986,-0.039751932,0.04489197,0.007266378,-0.024116784
38,-0.04338342,-0.009347755,-0.004899636,0.0021340102,0.75409144,0.81574345,-0.017468221,-0.0015565977,0.0027037784,-0.14866802,-0.16909817,-0.041181132,0.045137502,0.005804181,-0.020788178
39,-0.037983023,-0.005817335,-0.0012903363,0.0046328045,0.7620639,0.82235783,-0.015299447,-0.0010075644,0.001871407,-0.14624211,-0.16766548,-0.04133904,0.04416118,0.0053019,-0.016529009
40,-0.03590858,-0.00545419,-0.00037261844,0.005088184,0.7692694,0.8274991,-0.013607569,-0.0002790764,0.0014335066,-0.14400622,-0.16517282,-0.040288523,0.042320162,0.004373893,-0.014260545
41,-0.04153888,-0.011832692,-0.0063572973,0.00052865595,0.7751931,0.8304797,-0.015627705,-0.0015326589,-0.004200235,-0.1414458,-0.16023651,-0.03768584,0.041683257,0.00030127168,-0.015265599
42,-0.056761563,-0.025927383,-0.020381033,-0.009344794,0.7843662,0.835825,-0.018234484,-0.0025113001,-0.006063223,-0.14101242,-0.15534878,-0.034208506,0.037391335,-0.0024044663,-0.02359125
43,-0.052125692,-0.023459744,-0.018473163,-0.0062980354,0.7955073,0.8430389,-0.01526434,-0.0009762868,-0.007795289,-0.13711612,-0.14973891,-0.029671058,0.035610884,-0.004082199,-0.020557389
44,-0.039074585,-0.014183048,-0.009524092,0.0012247115,0.80627537,0.84946465,-0.010387637,0.00070565194,-0.013094991,-0.12970413,-0.14377278,-0.026478857,0.03762891,-0.0070539005,-0.011448622
45,-0.03527552,-0.013046969,-0.007953152,0.0026140064,0.8159753,0.85442305,-0.0070631877,0.0022539124,-0.016459584,-0.124677144,-0.1384682,-0.022883072,0.036890984,-0.009998724,-0.008368894
46,-0.036987126,-0.016611759,-0.011203788,0.0011514574,0.82556075,0.85904247,-0.0045932382,0.004485354,-0.016031004,-0.12261758,-0.13275301,-0.016215727,0.032460675,-0.012349196,-0.009469315
47,-0.037781395,-0.018689211,-0.014021218,0.0007195771,0.8374121,0.865954,-0.003051497,0.0057543665,-0.017333493,-0.119406775,-0.12625223,-0.009430945,0.029956564,-0.015742376,-0.0095603615
48,-0.038642824,-0.020056982,-0.016893364,0.00035365298,0.8505525,0.8743629,-0.0025792196,0.005672537,-0.02096501,-0.11486836,-0.11993921,-0.0042342395,0.029591203,-0.019872956,-0.009237364
49,-0.0389342,-0.020612705,-0.019076109,0.00048969686,0.86266,0.8821608,-0.0023117736,0.0054744408,-0.023381472,-0.11110295,-0.11436775,0.0007638782,0.028300665,-0.023286015,-0.0087084025
50,-0.037231028,-0.019143749,-0.019236073,0.002034586,0.87374794,0.88950896,-0.0022526905,0.0051336065,-0.024275139,-0.10816196,-0.10947105,0.0057697,0.026358783,-0.026034072,-0.0069007725
51,-0.035167053,-0.016789678,-0.018532835,0.0038771704,0.88454413,0.89710444,-0.0029781982,0.004063472,-0.025060937,-0.10542457,-0.10525395,0.009842619,0.02502966,-0.028695934,-0.004577592
52,-0.033898175,-0.014534,-0.017825738,0.0053075887,0.8944027,0.9042752,-0.0043544844,0.0024971515,-0.025668621,-0.103065975,-0.10175088,0.012907222,0.023968056,-0.031082638,-0.0025981069
53,-0.03289044,-0.012054589,-0.016701639,0.006685689,0.90276086,0.91043866,-0.005991079,0.00072876364,-0.025846034,-0.101030625,-0.09886345,0.015112221,0.022930004,-0.032976672,-0.0007750988
54,-0.031493433,-0.008935854,-0.014717415,0.008397188,0.90968984,0.9155861,-0.007605098,-0.0011565909,-0.025842652,-0.09893937,-0.09651902,0.016346782,0.022189543,-0.03444141,0.0012151152
55,-0.030145466,-0.005706135,-0.012382068,0.010151759,0.9152696,0.9196249,-0.009004541,-0.0029724166,-0.025723279,-0.09672984,-0.09459433,0.016802147,0.021645397,-0.035565212,0.0030031502
56,-0.030698664,-0.0040242225,-0.01143086,0.010865279,0.9195328,0.92230856,-0.010258757,-0.0044838265,-0.02510044,-0.09481977,-0.092660844,0.017382398,0.02058366,-0.03636682,0.0033914074
57,-0.033777893,-0.004367739,-0.012509085,0.010245632,0.9230144,0.924025,-0.011703819,-0.0059027,-0.024033174,-0.093197174,-0.09036121,0.01848133,0.01891616,-0.03689994,0.002073221
58,-0.03784786,-0.005401369,-0.014334276,0.009205135,0.9264567,0.9255611,-0.0134053305,-0.0076351687,-0.023325622,-0.091079056,-0.08780491,0.019331321,0.017506078,-0.037321143,4.953146e-05
59,-0.040719733,-0.0054433458,-0.015040182,0.008936619,0.92983156,0.9270369,-0.014865421,-0.009586535,-0.023370743,-0.08793161,-0.08539961,0.019154742,0.016875498,-0.037650317,-0.0014413595
60,-0.04131402,-0.003856834,-0.013739698,0.009976521,0.93247736,0.92792696,-0.015515827,-0.011213936,-0.023570314,-0.08413705,-0.08337967,0.018196896,0.016597852,-0.03774692,-0.0018960834
61,-0.04031997,-0.0013445504,-0.011050083,0.011885747,0.9341195,0.92796683,-0.015348457,-0.012199469,-0.023206115,-0.08042664,-0.081606224,0.017278433,0.016060606,-0.03759183,-0.001766935
