,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
1,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
2,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
3,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
4,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
5,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
6,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
7,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
8,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
9,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
10,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
11,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
12,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
13,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
14,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
15,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
16,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
17,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
18,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
19,1.3183411e-09,0.0073411707,6.5606404e-10,6.1564237e-10,0.055342384,0.03196605,4.0290735e-07,0.05242905,2.121624e-09,3.9356847e-09,4.3908e-12,0.066482075,0.08107495,4.8730764e-10,0.020535033
20,0.16176745,0.10439159,0.22869618,0.1514864,0.29847467,0.18972977,0.09448441,0.036475755,0.018660769,0.17260468,0.08183149,0.1943055,0.011964887,-0.0011329725,0.12536131
21,0.099401355,0.0484012,0.1807605,0.11753357,0.2670002,0.15303637,0.09762628,0.037530884,0.058665432,0.18459933,0.12939051,0.28301364,0.0015579611,0.027750209,0.11297946
22,0.0551833,0.0176919,0.14451817,0.10024416,0.26293838,0.14433658,0.09329344,0.035008334,0.06314082,0.189865,0.15020102,0.30707544,0.0039862245,0.032391883,0.093814686
23,0.01945129,0.0009887628,0.108202115,0.09218254,0.28178966,0.15905924,0.07684368,0.027441062,0.04852584,0.20257446,0.15922153,0.30595157,0.020679034,0.025402758,0.07312201
24,-0.008550659,-0.011200938,0.07680213,0.083413824,0.29875946,0.16926852,0.060872085,0.023680575,0.044995297,0.2095766,0.17003722,0.31786454,0.02896645,0.02133732,0.052561685
