,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
1,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
2,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
3,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
4,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
5,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
6,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
7,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
8,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
9,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
10,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
11,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
12,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
13,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
14,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
15,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
16,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
17,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
18,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
19,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
20,1.2176473,1.2123705,1.2154835,1.1580555,0.0064335167,0.035151273,0.14378703,0.119335584,0.016914934,0.072591074,-0.04121752,-0.031769946,-0.019822046,0.026223013,1.2434613
21,1.1274328,1.097912,1.1296663,1.102167,0.04665892,0.092140034,0.04969084,0.034307636,0.060780775,0.033147722,0.008608222,0.095707536,-0.047859244,0.06447566,1.1178081
22,1.0593994,1.1103531,1.0996106,1.0828395,0.109772906,0.14469543,-0.023740396,-0.0037883744,0.03699982,0.050171364,0.03613081,0.05900596,-0.039388176,0.019777574,1.085665
23,1.0784123,1.1138783,1.1466388,1.0402169,-0.019446313,-0.010254018,-0.012271874,0.0069277883,0.1133526,0.0038087019,0.033132873,0.069234416,-0.08515912,0.020449422,1.1401036
24,1.1184375,1.1389117,1.1546015,1.062893,0.0039991885,-0.0037903786,0.023199745,0.018638782,0.063513,0.04406598,0.017183311,0.044890583,-0.041383296,0.006882623,1.1779193
25,1.145016,1.1447217,1.1629026,1.054708,0.020405084,-0.0030317232,0.040549494,0.025060944,0.074506894,0.031993236,0.0061489344,0.0516672,-0.04440605,0.014826929,1.1922853
26,1.1517594,1.13752,1.1590472,1.0439457,0.031064406,-0.00016227365,0.04647532,0.027914323,0.08384624,0.01947573,-0.0020193458,0.049092606,-0.053795375,0.023382956,1.1906054
27,1.15342,1.1354256,1.1478937,1.0425552,0.040721186,0.0047765635,0.041110292,0.024305679,0.06850234,0.02176189,-0.007904232,0.0332229,-0.046785038,0.022536695,1.1911856
28,1.1601899,1.1386251,1.1445099,1.0424907,0.04746996,0.007059969,0.034129094,0.021680675,0.05717567,0.019783696,-0.010332093,0.021690056,-0.04115054,0.020516094,1.1954272
29,1.1650882,1.1384317,1.1436929,1.0388635,0.0542344,0.011548698,0.027328022,0.020742036,0.051272813,0.015348718,-0.0090652555,0.014441967,-0.038241036,0.017734785,1.197152
30,1.1647601,1.1341465,1.1412097,1.032358,0.06357623,0.020679533,0.02124723,0.020412453,0.043441154,0.0149719585,-0.006171018,0.0069123656,-0.032694343,0.012361864,1.1961901
31,1.1603754,1.1278578,1.1400352,1.0231965,0.07147038,0.029081933,0.019504726,0.022106506,0.040553443,0.014733715,-0.0028435737,0.0025511086,-0.029498816,0.008042779,1.1934946
32,1.1526144,1.1213888,1.1402198,1.0137315,0.07456129,0.033027973,0.021024548,0.02453623,0.043839984,0.013490558,0.00043801963,0.0008736998,-0.03103431,0.0063848123,1.1901852
33,1.1432633,1.1167659,1.13971,1.0071751,0.07489056,0.03440947,0.022057347,0.025293075,0.046090078,0.01477797,0.0033621937,-0.0020429194,-0.033034705,0.0050863214,1.1877972
34,1.1357367,1.1156211,1.1399597,1.0045784,0.07385126,0.0341718,0.022057422,0.024656385,0.046610072,0.017673668,0.0061677396,-0.004790306,-0.034132823,0.0039529875,1.1871619
35,1.1315141,1.1176898,1.1424631,1.0053276,0.07133871,0.03212415,0.021562196,0.023474239,0.047850404,0.019733096,0.008992046,-0.005078256,-0.035440717,0.003948875,1.1880033
36,1.1295216,1.12144,1.1459808,1.0084804,0.06809814,0.029272541,0.020188577,0.021701217,0.048894763,0.021268494,0.011505224,-0.0038668513,-0.03638605,0.004486747,1.1896945
37,1.1288793,1.1259012,1.1494306,1.01327,0.06490077,0.026499685,0.01794044,0.019515507,0.048743054,0.022858713,0.013404481,-0.0024453253,-0.036311947,0.0047797896,1.1920904
38,1.1293056,1.1304926,1.1528367,1.0188801,0.061885864,0.023942195,0.015544787,0.017464072,0.048243906,0.023972498,0.014763676,-0.00073215365,-0.03574677,0.0049463846,1.1949266
39,1.1302419,1.134537,1.1560228,1.0245124,0.059119105,0.02173791,0.013516694,0.0158078,0.047988124,0.02436074,0.015790462,0.0014407933,-0.035144944,0.005192999,1.1976494
40,1.1311779,1.1376992,1.1586213,1.0297183,0.056769446,0.020119436,0.011952154,0.014522828,0.047693238,0.024384731,0.01660309,0.003807366,-0.03441898,0.005404178,1.1999769
41,1.1320419,1.1401328,1.1606504,1.0343844,0.05478263,0.018983811,0.010835037,0.013567306,0.04722862,0.024230398,0.017181285,0.006086126,-0.033548098,0.005519189,1.2020068
42,1.1328804,1.1421397,1.1623317,1.0385442,0.052697733,0.01775369,0.010090761,0.012877218,0.04692653,0.02370647,0.017365456,0.008050665,-0.032822266,0.005660467,1.2040212
43,1.1334455,1.1433825,1.1635132,1.0418646,0.0512712,0.017326947,0.009855621,0.012467511,0.046746336,0.023161052,0.017793112,0.010426715,-0.032181006,0.005807027,1.2055123
44,1.133929,1.1446141,1.1642984,1.0449558,0.04937108,0.016266122,0.009565569,0.012044482,0.046223402,0.02255184,0.017438456,0.011550024,-0.031465657,0.0058434196,1.2072952
45,1.1343358,1.1453322,1.164817,1.0473205,0.04836019,0.01617153,0.009699598,0.0118220225,0.04581682,0.022021575,0.017505854,0.013199106,-0.030773386,0.005890414,1.2086463
46,1.1345375,1.1456671,1.1650555,1.0490437,0.047341123,0.016065478,0.010081537,0.011776812,0.04548999,0.021393098,0.017481416,0.014771104,-0.030193094,0.0059927925,1.2097015
47,1.1347854,1.146021,1.1652362,1.0504352,0.046179295,0.0157395,0.010435097,0.011697173,0.045121938,0.020725315,0.017210588,0.015937865,-0.029677011,0.0061003454,1.2108448
48,1.1349149,1.1461047,1.1652048,1.05135,0.04538112,0.015784338,0.010878682,0.0116418,0.04468201,0.020180548,0.017075673,0.01715301,-0.029131852,0.0061741993,1.2117616
49,1.1348801,1.1458422,1.1649457,1.0517238,0.044926926,0.01621117,0.011472188,0.011678956,0.044143476,0.019765237,0.017121948,0.018526748,-0.02852007,0.0062108748,1.2123493
50,1.1347759,1.1453593,1.1645985,1.0516194,0.044640705,0.016831055,0.012171887,0.011801936,0.043554343,0.019411892,0.0172773,0.0199956,-0.027886339,0.006231021,1.2127081
51,1.134563,1.144603,1.1641426,1.0510231,0.044641152,0.017788887,0.012972295,0.012007512,0.042858146,0.019193182,0.017632753,0.021612152,-0.027184054,0.0062054694,1.2127718
52,1.134289,1.1436927,1.1636769,1.0500139,0.044699132,0.018825036,0.013831891,0.012287669,0.04214908,0.019009164,0.018083118,0.023280382,-0.026483499,0.006176587,1.2126435
53,1.1340623,1.1428611,1.1633492,1.0487866,0.044500254,0.019558802,0.014625318,0.01255431,0.041562073,0.018721828,0.018433526,0.024781302,-0.025908109,0.0062079765,1.2125579
54,1.133843,1.1421103,1.1630757,1.0474397,0.04414293,0.020078227,0.015272349,0.012720577,0.041008376,0.018412996,0.018684842,0.026039049,-0.025400672,0.006265335,1.2125435
