,AU1L,AU1R,AU2L,AU2R,AU4L,AU4R,AU6L,AU6R,AU9,AU10,AU13L,AU13R,AU18,AU22,AU27
0,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
1,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
2,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
3,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
4,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
5,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
6,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
7,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
8,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
9,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
10,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
11,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
12,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
13,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
14,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
15,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
16,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
17,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
18,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
19,1.1999999,1.1999999,1.1999999,1.1488723,4.5956416e-08,1.7807415e-07,4.9286406e-05,3.610487e-05,9.383047e-08,-1.32880995e-08,2.0094676e-08,-1.4430245e-09,-2.4141231e-08,5.907091e-09,1.2
20,0.8695104,0.93449354,0.8512039,0.91676605,0.071196064,0.0879519,0.09960281,0.13352354,0.04028207,-0.0734804,0.010685563,0.0072549284,-0.036608197,0.034506142,0.9112608
21,0.99581224,1.126311,0.9132278,1.0861175,-0.032012522,-0.018963456,-0.041671477,0.044016972,0.018243387,-0.12185819,-0.0014282465,0.02053386,-0.02440796,0.01896089,1.0229962
22,0.9991878,1.1523108,0.8882592,1.068103,-0.05273792,-0.02801796,-0.08919435,0.0067187026,0.098635904,-0.115100235,0.028316766,0.08342682,-0.09278161,0.023905788,1.038383
23,0.97415406,1.1309531,0.8432466,1.0378608,-0.044490233,-0.017165713,-0.055872254,0.027957156,0.08536714,-0.046661478,0.05293937,0.093644,-0.09610361,0.0031050444,1.0033363
24,0.98159593,1.1302055,0.83785355,1.0221673,-0.0407954,-0.019102976,-0.0010222718,0.06715076,0.06421648,0.0006621131,0.065882236,0.08795716,-0.08650015,-0.017635405,1.0002806
25,0.99465865,1.1252126,0.84831953,1.0016804,-0.040664673,-0.026888676,0.045978386,0.10134247,0.06261885,0.009254446,0.06745632,0.08466734,-0.08572295,-0.02681069,1.0046092
26,1.0019956,1.1175089,0.8551737,0.98107076,-0.041430876,-0.03543845,0.08491036,0.13265054,0.058768187,0.007938849,0.06837696,0.084306166,-0.08268461,-0.032507293,1.0040696
27,1.0082945,1.1160444,0.86045706,0.9658461,-0.042026445,-0.043763615,0.12087503,0.16682008,0.045521755,0.009185845,0.074170165,0.08851393,-0.071692534,-0.038968913,1.0028734
28,1.0109332,1.1151602,0.86443496,0.9506505,-0.03979191,-0.04867105,0.15924218,0.20656669,0.03217289,0.011391701,0.08610503,0.10298461,-0.05724021,-0.04375287,0.9994465
29,1.005089,1.1079018,0.8640678,0.9316038,-0.03537321,-0.04986947,0.20132813,0.24982464,0.026260197,0.012067238,0.102366075,0.12752733,-0.045776665,-0.04425188,0.99148715
30,0.9925371,1.0967079,0.8590201,0.91215557,-0.032701775,-0.050960034,0.24304384,0.2917521,0.026668914,0.011777572,0.11971694,0.15479618,-0.04025329,-0.041776873,0.9818397
31,0.97828954,1.087673,0.8513311,0.8977687,-0.032936633,-0.05373335,0.28018916,0.32943314,0.02744019,0.01315343,0.13596672,0.17728053,-0.038105957,-0.039285034,0.97358173
32,0.9660066,1.0837154,0.84357893,0.89037085,-0.035086542,-0.057956472,0.31152844,0.36212218,0.026535556,0.016110208,0.15030318,0.19348793,-0.036826946,-0.0375046,0.96778303
33,0.95680714,1.0839102,0.83724856,0.8883873,-0.038507044,-0.063401565,0.33724952,0.38943228,0.02564399,0.018437391,0.16224161,0.20548962,-0.036364734,-0.035495453,0.9641843
34,0.94969434,1.0858024,0.8317579,0.8894036,-0.042504087,-0.069536954,0.35789773,0.41144958,0.025168061,0.019560045,0.1717554,0.21496236,-0.036431957,-0.032961458,0.9614726
35,0.9436491,1.0876615,0.8262844,0.8917275,-0.046191692,-0.07545555,0.37409553,0.42860776,0.0244219,0.020074585,0.1791403,0.2226861,-0.036234494,-0.030291691,0.95864195
36,0.9384631,1.0887063,0.82085836,0.894236,-0.048984647,-0.08046588,0.38619423,0.44109347,0.023338601,0.020192178,0.18447852,0.2289721,-0.03555414,-0.02779068,0.95557237
37,0.93420583,1.0886282,0.81581473,0.8961376,-0.05062811,-0.0842119,0.39449137,0.44911972,0.02221696,0.019892765,0.18785383,0.23402685,-0.03458883,-0.025611669,0.9524911
38,0.93094087,1.0874646,0.81142604,0.89701265,-0.051103845,-0.086598665,0.39953294,0.45328316,0.021240205,0.019262547,0.1895924,0.2381913,-0.03352444,-0.023857083,0.94962883
39,0.9286625,1.0854516,0.8078203,0.89671165,-0.050592706,-0.087762445,0.40199825,0.45444202,0.020398334,0.01850972,0.1901225,0.24177653,-0.032426998,-0.022611875,0.9471289
40,0.92729944,1.0828882,0.8050102,0.89522904,-0.049367905,-0.08795722,0.40255877,0.45349494,0.019617558,0.017855406,0.18985426,0.24498628,-0.031310234,-0.02192057,0.9450643
41,0.9270634,1.0803542,0.80318975,0.892683,-0.048070326,-0.08784215,0.4014511,0.4509174,0.018965304,0.017312182,0.18886858,0.2475959,-0.03040608,-0.021722347,0.94375026
42,0.9273667,1.0777327,0.8018557,0.8891218,-0.046451956,-0.087167636,0.39957482,0.44775268,0.018188082,0.017231414,0.18778083,0.25001007,-0.029441126,-0.022029828,0.9427781
43,0.9290774,1.0758604,0.8017231,0.8845109,-0.046066478,-0.08759576,0.39611763,0.44326952,0.018077299,0.016810786,0.18574362,0.2512339,-0.02946382,-0.022450909,0.9430578
44,0.9310664,1.074432,0.80163395,0.87934583,-0.045481175,-0.087697476,0.39238876,0.43902144,0.017253548,0.017352354,0.18402556,0.25190765,-0.029185686,-0.023346279,0.94349825
45,0.9331733,1.0733788,0.80167603,0.8738162,-0.04439488,-0.08712228,0.3891063,0.435464,0.016141906,0.018479405,0.18294759,0.25288308,-0.028613962,-0.024492525,0.94399625
46,0.9353912,1.072385,0.80198693,0.867507,-0.0435075,-0.08661911,0.385871,0.4320487,0.015560985,0.019424532,0.18195942,0.2539806,-0.028515026,-0.025555298,0.94473624
47,0.93731177,1.0712452,0.8020433,0.8604363,-0.0428102,-0.08623539,0.38261673,0.42886823,0.014962308,0.02063972,0.18114078,0.25488186,-0.02859702,-0.026695214,0.9454305
48,0.9387632,1.0700675,0.80166066,0.8530176,-0.041801676,-0.08544573,0.37974304,0.42632416,0.013901599,0.022507966,0.18089205,0.25587666,-0.028354641,-0.028061248,0.945907
49,0.93973297,1.068742,0.8009794,0.8452582,-0.040403813,-0.0841447,0.37738103,0.42437318,0.01279401,0.024680052,0.18121544,0.25734884,-0.027970262,-0.029510736,0.94621617
50,0.9402053,1.0670357,0.8000194,0.83684266,-0.039068893,-0.08281927,0.3751665,0.42260328,0.012045704,0.026804183,0.1817646,0.2591247,-0.027871754,-0.030898102,0.9464646
51,0.9402716,1.0650305,0.79871964,0.82770526,-0.038166717,-0.08189574,0.37268838,0.42071766,0.011514895,0.028991492,0.18229781,0.26071864,-0.028133195,-0.03226348,0.9467835
52,0.9400821,1.0630033,0.7970892,0.8180513,-0.037649676,-0.081352696,0.36985517,0.4187141,0.010900572,0.03150533,0.18284646,0.26192015,-0.028556526,-0.0337008,0.94726706
53,0.93969697,1.0610396,0.7951827,0.8079711,-0.037353322,-0.08103116,0.36675632,0.41665745,0.010201499,0.034371115,0.18349503,0.2628513,-0.029072668,-0.03519825,0.9479369
